,Unnamed: 0,date,open,high,low,close,volume,tic,day
0,0,2011-01-03,140.73614501953125,141.68260192871094,140.66921997070312,91.15473175048828,4815575,IBM,0
1,1,2011-01-04,141.07073974609375,141.70172119140625,140.1912078857422,91.25362396240234,5292865,IBM,1
2,2,2011-01-05,140.8604278564453,140.9942626953125,140.27725219726562,90.88896942138672,4871640,IBM,2
3,3,2011-01-06,140.65965270996094,142.2466583251953,140.36329650878906,91.8840560913086,5260543,IBM,3
4,4,2011-01-07,142.2466583251953,142.31358337402344,140.47801208496094,91.43287658691406,4325942,IBM,4
5,5,2011-01-10,141.08985900878906,141.5487518310547,140.75526428222656,91.25362396240234,3800536,IBM,0
6,6,2011-01-11,141.68260192871094,141.8260040283203,140.29637145996094,91.03111267089844,4355126,IBM,1
7,7,2011-01-12,141.48184204101562,142.72467041015625,141.1759033203125,92.15599060058594,4279709,IBM,2
8,8,2011-01-13,142.67686462402344,142.72467041015625,141.73040771484375,91.98294830322266,3604307,IBM,3
9,9,2011-01-14,142.34225463867188,143.4034423828125,141.9407196044922,92.71226501464844,4753233,IBM,4
10,10,2011-01-18,143.23135375976562,144.7992401123047,142.81069946289062,93.11402130126952,9599037,IBM,1
11,11,2011-01-19,146.52008056640625,149.26385498046875,146.10899353027344,96.22915649414062,12699486,IBM,2
12,12,2011-01-20,147.73422241210938,149.10133361816406,147.65774536132812,96.29717254638672,7782135,IBM,3
13,13,2011-01-21,149.52198791503906,149.88528442382812,148.1453094482422,96.11172485351562,7331414,IBM,4
14,14,2011-01-24,148.5850830078125,152.76290893554688,148.49903869628906,98.66441345214844,7620215,IBM,0
15,15,2011-01-25,152.2084197998047,157.12237548828125,152.0076446533203,99.78313446044922,8640797,IBM,1
16,16,2011-01-26,154.5602264404297,154.78012084960938,153.36520385742188,99.53594207763672,5599343,IBM,2
17,17,2011-01-27,154.33078002929688,155.0478057861328,153.78585815429688,99.5544891357422,5102702,IBM,3
18,18,2011-01-28,153.96749877929688,154.7992401123047,151.69215393066406,98.40482330322266,7034978,IBM,4
19,19,2011-01-31,152.1797332763672,154.87571716308594,151.70172119140625,100.12930297851562,7528271,IBM,0
20,20,2011-02-01,154.9808807373047,156.73040771484375,154.87571716308594,101.09349060058594,6099540,IBM,1
21,21,2011-02-02,156.21414184570312,156.4053497314453,155.45889282226562,100.93279266357422,4083584,IBM,2
22,22,2011-02-03,155.98471069335938,156.97897338867188,155.6501007080078,101.0749282836914,4898836,IBM,3
23,23,2011-02-04,156.29063415527344,156.92160034179688,156.0420684814453,101.36542510986328,3927939,IBM,4
24,24,2011-02-07,156.86424255371094,157.73422241210938,156.806884765625,101.8722686767578,5154793,IBM,0
25,25,2011-02-08,157.5717010498047,158.93881225585938,157.09368896484375,103.0388641357422,5870780,IBM,1
26,26,2011-02-09,158.33651733398438,158.67112731933594,156.88336181640625,102.1701202392578,4846746,IBM,2
27,27,2011-02-10,156.69215393066406,157.74378967285156,156.0038299560547,101.82262420654295,6001739,IBM,3
28,28,2011-02-11,156.76864624023438,157.7533416748047,156.12811279296875,101.67374420166016,5423719,IBM,4
29,29,2011-02-14,156.95985412597656,157.1510467529297,155.68833923339844,101.28277587890624,4319771,IBM,0
30,30,2011-02-15,155.72657775878906,156.37667846679688,155.3728485107422,101.04694366455078,3942060,IBM,1
31,31,2011-02-16,156.14723205566406,156.4053497314453,155.5927276611328,101.39444732666016,3363936,IBM,2
32,32,2011-02-17,156.11854553222656,157.4282989501953,155.68833923339844,101.91570281982422,3379103,IBM,3
33,33,2011-02-18,157.2275390625,157.5908203125,156.88336181640625,102.28800964355467,4440270,IBM,4
34,34,2011-02-22,156.37667846679688,157.0363311767578,154.66539001464844,100.49468994140624,5448928,IBM,1
35,35,2011-02-23,154.69407653808594,155.52581787109375,153.09751892089844,99.3963851928711,6274013,IBM,2
36,36,2011-02-24,152.6099395751953,154.17782592773438,152.0363311767578,99.76248168945312,5970045,IBM,3
37,37,2011-02-25,153.97705078125,155.2007598876953,153.78585815429688,100.69945526123048,4726246,IBM,4
38,38,2011-02-28,155.21987915039062,155.82217407226562,154.14913940429688,100.45125579833984,4992558,IBM,0
39,39,2011-03-01,155.9751434326172,155.9751434326172,152.8489532470703,99.26607513427734,4584409,IBM,1
40,40,2011-03-02,152.41873168945312,154.0248565673828,152.3996124267578,99.38396453857422,3569998,IBM,2
41,41,2011-03-03,154.32122802734375,156.7877655029297,154.17782592773438,101.444091796875,4244459,IBM,3
42,42,2011-03-04,156.21414184570312,157.08413696289062,153.5850830078125,100.4202117919922,5136592,IBM,4
43,43,2011-03-07,154.49330139160156,155.8126220703125,151.86424255371094,99.24121856689452,5556352,IBM,0
44,44,2011-03-08,152.67686462402344,156.24282836914062,152.2084197998047,100.69945526123048,5632501,IBM,1
45,45,2011-03-09,156.28106689453125,160.3441619873047,156.09942626953125,102.92098236083984,9504584,IBM,2
46,46,2011-03-10,157.3996124267578,157.4282989501953,154.28298950195312,100.53816223144533,7365304,IBM,3
47,47,2011-03-11,155.2581329345703,156.06118774414062,153.7667236328125,100.79254913330078,4467466,IBM,4
48,48,2011-03-14,154.07266235351562,154.85659790039062,153.04971313476562,100.14718627929688,4498323,IBM,0
49,49,2011-03-15,150.43020629882812,152.6195068359375,149.9808807373047,98.676513671875,6773687,IBM,1
50,50,2011-03-16,149.63670349121094,150.07647705078125,145.03823852539062,94.94095611572266,12756284,IBM,2
51,51,2011-03-17,147.2275390625,147.70555114746094,145.98471069335938,95.67318725585938,7715714,IBM,3
52,52,2011-03-18,149.61758422851562,150.0478057861328,147.53346252441406,96.73426055908205,11976700,IBM,4
53,53,2011-03-21,150.70745849609375,152.6099395751953,150.1625213623047,97.84500885009766,6050064,IBM,0
