,date,account_value
0,2018-11-20,1000000.0
1,2018-11-21,1000097.3128166199
2,2018-11-23,999873.7169097901
3,2018-11-26,1000416.8808753968
4,2018-11-27,1000553.629825592
5,2018-11-28,1001697.7832153321
6,2018-11-29,1000979.8261795044
7,2018-11-30,1002487.3862281799
8,2018-12-03,1003123.9798988343
9,2018-12-04,1000520.6833709717
10,2018-12-06,1002305.519102478
11,2018-12-07,998391.1931671143
12,2018-12-10,1000050.38046875
13,2018-12-11,999798.6201690674
14,2018-12-12,1000082.8335594177
15,2018-12-13,999572.4230117798
16,2018-12-14,998531.5389671326
17,2018-12-17,993504.4034736634
18,2018-12-18,994264.3734489442
19,2018-12-19,993930.6346260072
20,2018-12-20,988624.1513557435
21,2018-12-21,985222.5472152712
22,2018-12-24,979455.1271598818
23,2018-12-26,986271.281856537
24,2018-12-27,990718.0434608461
25,2018-12-28,989252.7923355104
26,2018-12-31,990536.5344032289
27,2019-01-02,993757.3971687318
28,2019-01-03,988746.2082481385
29,2019-01-04,998671.2743339541
30,2019-01-07,1000596.3274635316
31,2019-01-08,1004632.3909500123
32,2019-01-09,1006760.7296455385
33,2019-01-10,1009570.9526809694
34,2019-01-11,1008689.9624969484
35,2019-01-14,1005771.6497711183
36,2019-01-15,1009509.2680870057
37,2019-01-16,1009183.650606537
38,2019-01-17,1010856.6500694277
39,2019-01-18,1015785.0305198671
40,2019-01-22,1011736.2892715456
41,2019-01-23,1044751.8358604433
42,2019-01-24,1043567.0248054506
43,2019-01-25,1048366.4763336182
44,2019-01-28,1049381.3113075257
45,2019-01-29,1049580.6177619935
46,2019-01-30,1049748.8534240723
47,2019-01-31,1049884.3940093997
48,2019-02-01,1048680.8377082828
49,2019-02-04,1052819.0771987918
50,2019-02-05,1054206.8154579164
51,2019-02-06,1057246.4735366823
52,2019-02-07,1050861.4891357424
53,2019-02-08,1053016.7640380862
54,2019-02-11,1054194.3460998537
55,2019-02-12,1063086.9505630494
56,2019-02-13,1069545.02196579
57,2019-02-14,1064875.9163925173
58,2019-02-15,1071929.561000824
59,2019-02-19,1075024.956215668
60,2019-02-20,1071713.7184295654
61,2019-02-21,1070935.9531600955
62,2019-02-22,1077794.495781708
63,2019-02-25,1078823.251551056
64,2019-02-26,1080119.8123199465
65,2019-02-27,1077299.6976905826
66,2019-02-28,1071895.0422332766
67,2019-03-01,1077517.377373505
68,2019-03-04,1073392.1049377443
69,2019-03-05,1070399.063874817
70,2019-03-06,1065437.728781891
71,2019-03-07,1056388.7546020509
72,2019-03-08,1054850.469091797
73,2019-03-11,1069869.0361587526
74,2019-03-12,1073172.8358840945
75,2019-03-13,1074812.0362213138
76,2019-03-14,1076174.6009407046
77,2019-03-15,1080036.1946769715
78,2019-03-18,1084806.094596863
79,2019-03-19,1086533.3276329043
80,2019-03-20,1080927.4393005373
81,2019-03-21,1092627.82665329
82,2019-03-22,1079794.0774169923
83,2019-03-25,1078022.2063560488
84,2019-03-26,1084875.9393966675
85,2019-03-27,1078319.3009506227
86,2019-03-28,1082903.5514320375
87,2019-03-29,1090959.7966682434
88,2019-04-01,1106161.5935562134
89,2019-04-02,1104052.3769638063
90,2019-04-03,1108496.9200584413
91,2019-04-04,1102407.3957000733
92,2019-04-05,1106010.6322273256
93,2019-04-08,1106803.2749626162
94,2019-04-09,1097337.2161216736
95,2019-04-10,1104119.311605072
96,2019-04-11,1109841.2518096925
97,2019-04-12,1114174.7205810547
98,2019-04-15,1110698.027220917
99,2019-04-16,1120266.0546119234
100,2019-04-17,1073725.7569434664
101,2019-04-18,1083141.6792304537
102,2019-04-22,1072027.6342170257
103,2019-04-23,1083990.6281898043
104,2019-04-24,1080208.8374640963
105,2019-04-25,1070020.8504645845
106,2019-04-26,1076272.5288856048
107,2019-04-29,1073262.578064682
108,2019-04-30,1082678.4254157564
109,2019-05-01,1084917.0608832857
110,2019-05-02,1077430.2138068695
111,2019-05-03,1082524.1323707127
112,2019-05-06,1083527.7490546724
113,2019-05-07,1062380.08502269
114,2019-05-08,1065158.5588080902
115,2019-05-09,1057036.2551887056
116,2019-05-10,1056880.1636817476
117,2019-05-13,1026422.0121924898
118,2019-05-14,1041182.5136725924
119,2019-05-15,1049695.1584632418
120,2019-05-16,1061253.7233130953
121,2019-05-17,1049070.2678840181
122,2019-05-20,1055318.2744452974
123,2019-05-21,1065705.1413581392
124,2019-05-22,1064924.234207871
125,2019-05-23,1033997.5084540864
126,2019-05-24,1033138.2932746431
127,2019-05-28,1018924.5991523287
128,2019-05-29,1012910.8422553561
129,2019-05-30,1011973.6187903902
130,2019-05-31,991824.4758002778
131,2019-06-03,1001821.0764777681
132,2019-06-04,1036340.2299048922
133,2019-06-05,1026968.5198066256
134,2019-06-06,1032669.7939460299
135,2019-06-07,1041182.5136725924
136,2019-06-10,1052350.3626716158
137,2019-06-11,1061800.155991318
138,2019-06-12,1053365.74429393
139,2019-06-13,1060316.4249122164
140,2019-06-14,1055552.449173691
141,2019-06-17,1053990.4850013277
142,2019-06-18,1065158.4838721773
143,2019-06-19,1070625.2086036226
144,2019-06-20,1084448.7114264986
145,2019-06-21,1087182.0737922213
146,2019-06-24,1088353.6218574068
147,2019-06-25,1080621.8842170257
148,2019-06-26,1081871.740311386
149,2019-06-27,1081871.740311386
150,2019-06-28,1077029.456543686
151,2019-07-01,1092492.7819526214
152,2019-07-02,1095148.1360328216
153,2019-07-03,1105457.2194678804
154,2019-07-05,1104207.5132453463
155,2019-07-08,1097881.4983985445
156,2019-07-09,1088197.4554145357
157,2019-07-10,1097100.5912482757
158,2019-07-11,1103114.1982734224
159,2019-07-12,1114828.7047584078
160,2019-07-15,1119358.3558967132
161,2019-07-16,1120998.7030341648
162,2019-07-17,1117405.900681259
163,2019-07-18,1168638.0857398529
164,2019-07-19,1169029.0263984224
165,2019-07-22,1169497.4507911226
166,2019-07-23,1174495.5263221285
167,2019-07-24,1171762.4637000584
168,2019-07-25,1174573.8343513033
169,2019-07-26,1182149.4804847261
170,2019-07-29,1178400.5866248629
171,2019-07-30,1169732.0751349945
172,2019-07-31,1157782.794434311
173,2019-08-01,1174027.1768653414
174,2019-08-02,1150051.2816016695
175,2019-08-05,1099365.5292212984
176,2019-08-06,1099131.2046210787
177,2019-08-07,1086479.3997352147
178,2019-08-08,1107103.0369269869
179,2019-08-09,1075732.8404395601
180,2019-08-12,1056294.3896491549
181,2019-08-13,1073046.3130195162
182,2019-08-14,1037171.8686683199
183,2019-08-15,1042466.0159919283
184,2019-08-16,1057005.5314643402
185,2019-08-19,1067119.7065894627
186,2019-08-20,1051000.2423255465
187,2019-08-21,1060877.3951575777
188,2019-08-22,1061430.3472602388
189,2019-08-23,1023896.7468574068
190,2019-08-26,1027215.5085761568
191,2019-08-27,1036539.709305527
192,2019-08-28,1049103.6143653414
193,2019-08-29,1065855.4627997898
194,2019-08-30,1070991.795090439
195,2019-09-03,1059692.058884384
196,2019-09-04,1077234.1814582369
197,2019-09-05,1113977.6575934908
198,2019-09-06,1110816.8607795257
199,2019-09-09,1126857.4924628756
200,2019-09-10,1146217.0357368013
201,2019-09-11,1134759.4844977877
202,2019-09-12,1134917.524338486
203,2019-09-13,1135312.661408188
204,2019-09-16,1125909.178482773
205,2019-09-17,1123696.995392563
206,2019-09-18,1123854.735489609
207,2019-09-19,1129781.1920478363
208,2019-09-20,1121168.208069565
209,2019-09-23,1122669.5490882418
210,2019-09-24,1119588.0344703216
211,2019-09-25,1131282.4581306002
212,2019-09-26,1134364.2724921724
213,2019-09-27,1131914.6924293065
214,2019-09-30,1149140.510514023
215,2019-10-01,1135233.4541480565
216,2019-10-02,1119667.0169227147
217,2019-10-03,1122274.6368262789
218,2019-10-04,1129939.2318885347
219,2019-10-07,1116427.237656357
220,2019-10-08,1093511.9853065035
221,2019-10-09,1103705.2178199315
222,2019-10-10,1115242.0512549898
223,2019-10-11,1128121.8111884613
224,2019-10-14,1122432.601731064
225,2019-10-15,1130018.3642127535
226,2019-10-16,1122985.7037055513
227,2019-10-17,1060956.3776099703
228,2019-10-18,1059613.0764319918
229,2019-10-21,1047681.2557990571
230,2019-10-22,1058585.8549354097
231,2019-10-23,1061904.6166541597
232,2019-10-24,1059455.0365912938
233,2019-10-25,1070280.5783393402
234,2019-10-28,1074468.446778061
235,2019-10-29,1057479.576050522
236,2019-10-30,1068779.2373206636
237,2019-10-31,1056768.5841071627
238,2019-11-01,1070991.795090439
239,2019-11-04,1087901.533493759
240,2019-11-05,1089640.0466773529
241,2019-11-06,1096672.5573127293
242,2019-11-07,1100910.0333259127
243,2019-11-08,1100270.4553077242
244,2019-11-11,1083160.7878882904
245,2019-11-12,1084120.267319443
246,2019-11-13,1075245.5321967625
247,2019-11-14,1071407.914215805
248,2019-11-15,1074606.1040504002
249,2019-11-18,1073886.3446052095
250,2019-11-19,1075565.5834815523
251,2019-11-20,1065011.8342902681
252,2019-11-21,1070128.7581794283
253,2019-11-22,1074126.3643348236
254,2019-11-25,1087158.319107773
255,2019-11-26,1080122.6611640474
256,2019-11-27,1069569.0618445897
257,2019-11-29,1075005.8871467132
258,2019-12-02,1062693.167267563
259,2019-12-03,1056376.9690253756
260,2019-12-04,1055337.6828467867
261,2019-12-05,1054697.954956772
262,2019-12-06,1065171.7475287938
263,2019-12-09,1070768.4111335299
264,2019-12-10,1070688.4545142672
265,2019-12-11,1069489.1801612398
266,2019-12-12,1081961.5884711763
267,2019-12-13,1073087.0032203216
268,2019-12-16,1072447.200394394
269,2019-12-17,1073166.8849036715
270,2019-12-18,1074685.9107978363
271,2019-12-19,1075885.1102149507
272,2019-12-20,1084120.267319443
273,2019-12-23,1083800.515778305
274,2019-12-24,1079243.1383521578
275,2019-12-26,1078683.516953232
276,2019-12-27,1081561.8053748629
277,2019-12-30,1061893.7509467625
278,2019-12-31,1071727.7406928563
279,2020-01-02,1082761.0797278902
280,2020-01-03,1074126.3643348236
281,2020-01-06,1072207.405472519
282,2020-01-07,1072926.865174057
283,2020-01-08,1081881.7817237398
284,2020-01-09,1093314.753983261
285,2020-01-10,1092914.8959510347
286,2020-01-13,1092195.2863776705
287,2020-01-14,1085958.8948829195
288,2020-01-15,1092355.274552109
289,2020-01-16,1103228.5504767918
290,2020-01-17,1105867.0439765474
291,2020-01-21,1112742.8636176607
292,2020-01-22,1150479.989960434
293,2020-01-23,1142324.8644111175
294,2020-01-24,1123856.1592719576
295,2020-01-27,1108345.5493018648
296,2020-01-28,1115780.9903419039
297,2020-01-29,1100910.0333259127
298,2020-01-30,1093554.548905136
299,2020-01-31,1149200.9088599703
300,2020-02-03,1169508.3914344334
301,2020-02-04,1192214.7224586029
302,2020-02-05,1249939.7297065277
303,2020-02-06,1253377.4147193453
304,2020-02-07,1239401.6421210787
305,2020-02-10,1247641.8948676607
306,2020-02-11,1239967.4082648775
307,2020-02-12,1254750.6902625584
308,2020-02-13,1246672.2990882418
309,2020-02-14,1217508.5905616304
310,2020-02-18,1220739.902069809
