,raw_actions
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,0.3111572
72,0.11710286
73,0.48476812
74,0.8582019
75,0.7728177
76,0.7029305
77,0.9318473
78,0.6820898
79,0.9114715
80,0.48595884
81,0.6693657
82,0.60466915
83,0.2964096
84,0.5275182
85,0.084507346
86,0.06666734
87,0.25806552
88,0.69370985
89,0.72574514
90,0.6619319
91,0.36831963
92,0.2119525
93,0.1400411
94,-0.3591812
95,-0.2802319
96,-0.17218994
97,-0.14860637
98,-0.39004406
99,-0.21390551
100,-0.76856756
101,-0.7885232
102,-0.75519294
103,-0.8749125
104,-0.94045204
105,-0.6400034
106,-0.655692
107,-0.63996816
108,-0.8794809
109,-1.0
110,-0.9876674
111,-0.9608437
112,-0.61344665
113,-0.3090033
114,-0.2804087
115,0.17666201
116,0.28960624
117,0.5301155
118,0.33033258
119,0.29784277
120,-0.124322444
121,0.04525274
122,0.19665356
123,-0.21543238
124,-0.16741222
125,0.56811357
126,0.605327
127,0.7749435
128,0.9439341
129,0.99355364
130,1.0
131,1.0
132,0.09539728
133,0.017842185
134,0.03487563
135,-0.36029336
136,-0.43990564
137,-0.5690638
138,-0.4439433
139,-0.4704932
140,-0.29481316
141,-0.27757886
142,-0.23985668
143,0.060490362
144,0.31577986
145,0.25599572
146,0.33873698
147,0.0057918616
148,-0.01309479
149,-0.21323614
150,-0.2776199
151,0.21271144
152,0.13533942
153,0.34992248
154,0.100986555
155,0.070112325
156,-0.35367194
157,-0.1831865
158,-0.24337699
159,0.00860188
160,0.07242498
161,0.13995464
162,-0.33341724
163,0.50350696
164,0.6523448
165,0.5558407
166,-0.036789846
167,-0.033422027
168,-0.3549777
