,date,account_value
0,2018-12-06,1000000.0
1,2018-12-07,999635.4024581909
2,2018-12-10,999904.2089004517
3,2018-12-11,999838.8728561401
4,2018-12-12,999913.3694496155
5,2018-12-13,999736.9585357666
6,2018-12-14,999340.7659584045
7,2018-12-17,997265.2906211853
8,2018-12-18,997598.0450202943
9,2018-12-19,997435.1893760682
10,2018-12-20,994777.4258934022
11,2018-12-21,992991.4528564455
12,2018-12-24,989841.6704353334
13,2018-12-26,993690.646787262
14,2018-12-27,996280.9859672547
15,2018-12-28,995398.3001495362
16,2018-12-31,996184.918498993
17,2019-01-02,998209.5990135194
18,2019-01-03,994984.9243751527
19,2019-01-04,1001484.5296455384
20,2019-01-07,1002764.8607902528
21,2019-01-08,1005496.0078948976
22,2019-01-09,1006956.3320640565
23,2019-01-10,1008912.1315765382
24,2019-01-11,1008287.4737899782
25,2019-01-14,1006200.2691574098
26,2019-01-15,1008897.0625831605
27,2019-01-16,1008656.8943214418
28,2019-01-17,1009887.1447608949
29,2019-01-18,1013549.4043006899
30,2019-01-22,1010510.4439361573
31,2019-01-23,1035471.0970314029
32,2019-01-24,1034565.9261741639
33,2019-01-25,1038246.8321701051
34,2019-01-28,1039028.6578056336
35,2019-01-29,1039181.35628891
36,2019-01-30,1039310.7507034303
37,2019-01-31,1039415.2320236207
38,2019-02-01,1038460.2413963319
39,2019-02-04,1041751.81645813
40,2019-02-05,1042859.9068901064
41,2019-02-06,1045301.489102173
42,2019-02-07,1040142.3500381472
43,2019-02-08,1041888.9945693973
44,2019-02-11,1042846.5601516726
45,2019-02-12,1050120.4130889894
46,2019-02-13,1055423.3483833314
47,2019-02-14,1051572.4136021195
48,2019-02-15,1057400.1810332565
49,2019-02-19,1059961.2290712814
50,2019-02-20,1057219.2844054871
51,2019-02-21,1056575.7162596283
52,2019-02-22,1062252.7951456986
53,2019-02-25,1063104.2407765123
54,2019-02-26,1064176.549142044
55,2019-02-27,1061852.9493751756
56,2019-02-28,1057409.477893326
57,2019-03-01,1062025.922780716
58,2019-03-04,1058648.14227771
59,2019-03-05,1056202.9335013123
60,2019-03-06,1052156.3397479325
61,2019-03-07,1044782.7619374543
62,2019-03-08,1043530.2802209016
63,2019-03-11,1055765.1061696778
64,2019-03-12,1058456.0735775148
65,2019-03-13,1059790.6407488557
66,2019-03-14,1060898.768770325
67,2019-03-15,1064030.5921014405
68,2019-03-18,1067889.7251940765
69,2019-03-19,1069284.496395172
70,2019-03-20,1064781.8227398912
71,2019-03-21,1074158.6753428192
72,2019-03-22,1063912.8859420167
73,2019-03-25,1062505.6567025757
74,2019-03-26,1067941.5267465592
75,2019-03-27,1062762.5561094133
76,2019-03-28,1066375.4097112198
77,2019-03-29,1072700.7551212234
78,2019-04-01,1084587.0814080506
79,2019-04-02,1082949.8514906007
80,2019-04-03,1086392.3748514252
81,2019-04-04,1081717.2031920014
82,2019-04-05,1084475.080088028
83,2019-04-08,1085081.8977045899
84,2019-04-09,1077940.8178305358
85,2019-04-10,1083034.939903412
86,2019-04-11,1087309.391039238
87,2019-04-12,1090528.6307077254
88,2019-04-15,1087972.7511298982
89,2019-04-16,1095027.6988000413
90,2019-04-17,1060610.616114342
91,2019-04-18,1067598.8172127458
92,2019-04-22,1059301.746663246
93,2019-04-23,1068281.5422208025
94,2019-04-24,1065419.3591585772
95,2019-04-25,1057667.918104866
96,2019-04-26,1062444.4941491776
97,2019-04-29,1060121.6414853744
98,2019-04-30,1067410.0144449694
99,2019-05-01,1069149.447890465
100,2019-05-02,1063273.275069664
101,2019-05-03,1067286.9320060657
102,2019-05-06,1068078.3432137682
103,2019-05-07,1051188.8362392045
104,2019-05-08,1053415.7638333207
105,2019-05-09,1046839.7897223283
106,2019-05-10,1046706.1172275164
107,2019-05-13,1021689.9900511552
108,2019-05-14,1033905.1565900042
109,2019-05-15,1041008.7291312029
110,2019-05-16,1050744.6478977967
111,2019-05-17,1040388.9745102312
112,2019-05-20,1045730.5600662614
113,2019-05-21,1054682.9119080584
114,2019-05-22,1053997.117625374
115,2019-05-23,1026930.8400304719
116,2019-05-24,1026166.5201011965
