,date,actions
0,2018-12-06,[100]
1,2018-12-07,[100]
2,2018-12-10,[100]
3,2018-12-11,[100]
4,2018-12-12,[100]
5,2018-12-13,[100]
6,2018-12-14,[100]
7,2018-12-17,[100]
8,2018-12-18,[100]
9,2018-12-19,[100]
10,2018-12-20,[100]
11,2018-12-21,[100]
12,2018-12-24,[100]
13,2018-12-26,[100]
14,2018-12-27,[100]
15,2018-12-28,[100]
16,2018-12-31,[100]
17,2019-01-02,[100]
18,2019-01-03,[100]
19,2019-01-04,[100]
20,2019-01-07,[100]
21,2019-01-08,[100]
22,2019-01-09,[100]
23,2019-01-10,[100]
24,2019-01-11,[100]
25,2019-01-14,[100]
26,2019-01-15,[100]
27,2019-01-16,[100]
28,2019-01-17,[100]
29,2019-01-18,[100]
30,2019-01-22,[100]
31,2019-01-23,[100]
32,2019-01-24,[100]
33,2019-01-25,[100]
34,2019-01-28,[100]
35,2019-01-29,[100]
36,2019-01-30,[100]
37,2019-01-31,[100]
38,2019-02-01,[100]
39,2019-02-04,[100]
40,2019-02-05,[56]
41,2019-02-06,[48]
42,2019-02-07,[42]
43,2019-02-08,[39]
44,2019-02-11,[34]
45,2019-02-12,[26]
46,2019-02-13,[15]
47,2019-02-14,[11]
48,2019-02-15,[0]
49,2019-02-19,[-8]
50,2019-02-20,[-13]
51,2019-02-21,[-7]
52,2019-02-22,[-21]
53,2019-02-25,[-38]
54,2019-02-26,[-46]
55,2019-02-27,[-52]
56,2019-02-28,[-51]
57,2019-03-01,[-56]
58,2019-03-04,[-55]
59,2019-03-05,[-51]
60,2019-03-06,[-47]
61,2019-03-07,[-46]
62,2019-03-08,[-39]
63,2019-03-11,[-38]
64,2019-03-12,[-40]
65,2019-03-13,[-33]
66,2019-03-14,[-33]
67,2019-03-15,[-31]
68,2019-03-18,[-27]
69,2019-03-19,[-21]
70,2019-03-20,[-21]
71,2019-03-21,[-33]
72,2019-03-22,[-46]
73,2019-03-25,[-44]
74,2019-03-26,[-47]
75,2019-03-27,[-52]
76,2019-03-28,[-53]
77,2019-03-29,[-55]
78,2019-04-01,[-67]
79,2019-04-02,[-63]
80,2019-04-03,[-64]
81,2019-04-04,[-59]
82,2019-04-05,[-60]
83,2019-04-08,[-65]
84,2019-04-09,[-61]
85,2019-04-10,[-70]
86,2019-04-11,[-81]
87,2019-04-12,[-91]
88,2019-04-15,[-84]
89,2019-04-16,[-86]
90,2019-04-17,[-71]
91,2019-04-18,[-58]
92,2019-04-22,[-54]
93,2019-04-23,[-52]
94,2019-04-24,[-50]
95,2019-04-25,[-44]
96,2019-04-26,[-46]
97,2019-04-29,[-27]
98,2019-04-30,[-23]
99,2019-05-01,[3]
100,2019-05-02,[-1]
101,2019-05-03,[2]
102,2019-05-06,[-2]
103,2019-05-07,[5]
104,2019-05-08,[17]
105,2019-05-09,[12]
106,2019-05-10,[11]
107,2019-05-13,[23]
