,raw_actions
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,0.9998337
47,0.9413774
48,0.90703034
49,0.8571255
50,0.8171333
51,0.8300661
52,0.8128228
53,0.77639663
54,0.69759464
55,0.69860184
56,0.7206986
57,0.7054899
58,0.7011248
59,0.71626234
60,0.753852
61,0.7864554
62,0.8318671
63,0.80712974
64,0.77004397
65,0.70817435
66,0.6866094
67,0.6625377
68,0.6275413
69,0.5938356
70,0.6184728
71,0.5843452
72,0.56631756
73,0.5599059
74,0.5870168
75,0.5684471
76,0.55731654
77,0.5176981
78,0.45488238
79,0.38359514
80,0.32010612
81,0.36118904
82,0.33142993
83,0.33196333
84,0.33810234
85,0.3533067
86,0.31172308
87,0.25163627
88,0.23245037
89,0.20576292
90,0.3090424
91,0.36034667
92,0.4855455
93,0.44425622
94,0.472344
95,0.44304702
96,0.5069082
97,0.4608365
98,0.46530008
99,0.48060742
100,0.4700098
101,0.4837026
102,0.4534189
103,0.49951002
104,0.54686165
105,0.60258055
106,0.60829294
107,0.68128896
108,0.720441
109,0.75521624
110,0.63637173
111,0.65184844
112,0.6480839
113,0.65365696
114,0.5775206
115,0.6548275
116,0.75450754
117,0.8388152
118,0.84212744
119,0.89285386
120,0.95812106
121,0.9884225
122,0.9063473
123,0.8401468
124,0.81030166
125,0.8017769
126,0.75318265
127,0.67763805
128,0.64005065
129,0.67081666
130,0.63790965
131,0.59609616
132,0.600356
133,0.55041754
134,0.48094806
135,0.4015177
136,0.35912874
137,0.374476
138,0.36967626
139,0.39629817
140,0.39176455
141,0.36777315
142,0.3191088
143,0.2412301
144,0.20808423
145,0.19901708
146,0.25731024
147,0.2548869
148,0.25352648
149,0.18348767
150,0.12617427
151,0.075490676
152,0.0626563
153,-0.059735596
154,-0.17221873
155,-0.2799013
156,-0.27278143
157,-0.31564975
158,-0.3229907
159,-0.38386297
160,-0.3572495
161,-0.35728908
162,-0.3604379
163,-0.34610105
164,-0.31482273
165,-0.18082443
166,0.023657285
