,date,account_value
0,2018-12-06,1000000.0
1,2018-12-07,999635.4024581909
2,2018-12-10,999904.2089004517
3,2018-12-11,999838.8728561401
4,2018-12-12,999913.3694496155
5,2018-12-13,999736.9585357666
6,2018-12-14,999340.7659584045
7,2018-12-17,997265.2906211853
8,2018-12-18,997598.0450202943
9,2018-12-19,997435.1893760682
10,2018-12-20,994777.4258934022
11,2018-12-21,992991.4528564455
12,2018-12-24,989841.6704353334
13,2018-12-26,993690.646787262
14,2018-12-27,996280.9859672547
15,2018-12-28,995398.3001495362
16,2018-12-31,996184.918498993
17,2019-01-02,998209.5990135194
18,2019-01-03,994984.9243751527
19,2019-01-04,1001484.5296455384
20,2019-01-07,1002764.8607902528
21,2019-01-08,1005496.0078948976
22,2019-01-09,1006956.3320640565
23,2019-01-10,1008912.1315765382
24,2019-01-11,1008287.4737899782
25,2019-01-14,1006200.2691574098
26,2019-01-15,1008897.0625831605
27,2019-01-16,1008656.8943214418
28,2019-01-17,1009887.1447608949
29,2019-01-18,1013549.4043006899
30,2019-01-22,1010510.4439361573
31,2019-01-23,1035471.0970314029
32,2019-01-24,1034565.9261741639
33,2019-01-25,1038246.8321701051
34,2019-01-28,1039024.7893599701
35,2019-01-29,1039177.8201897431
36,2019-01-30,1039307.4386106645
37,2019-01-31,1039410.9713535538
38,2019-02-01,1038499.4453517762
39,2019-02-04,1041635.4023800507
40,2019-02-05,1042685.959496521
41,2019-02-06,1044976.0765975952
42,2019-02-07,1040204.8014896698
43,2019-02-08,1041808.7548588105
44,2019-02-11,1042680.5822736664
45,2019-02-12,1049208.4936782531
46,2019-02-13,1053911.5039063033
47,2019-02-14,1050553.4693015823
48,2019-02-15,1055577.7739764326
49,2019-02-19,1057755.579869316
50,2019-02-20,1055473.6238167037
51,2019-02-21,1054950.1356159742
52,2019-02-22,1059572.8258604964
53,2019-02-25,1060262.223150688
54,2019-02-26,1061117.4876057585
55,2019-02-27,1059307.107860275
56,2019-02-28,1055885.1461903378
57,2019-03-01,1059406.2014051436
58,2019-03-04,1056871.5412024534
59,2019-03-05,1055006.967996887
60,2019-03-06,1051892.16958609
61,2019-03-07,1046166.9654181517
62,2019-03-08,1045182.6648169555
63,2019-03-11,1054825.7256735838
64,2019-03-12,1056960.0017020265
65,2019-03-13,1058024.7589316405
66,2019-03-14,1058906.838644661
67,2019-03-15,1061402.4960711137
68,2019-03-18,1064445.7807663041
69,2019-03-19,1065534.9359376603
70,2019-03-20,1062075.4057595523
71,2019-03-21,1069215.7837217865
72,2019-03-22,1061512.8281005556
73,2019-03-25,1060469.0773131486
74,2019-03-26,1064475.6432441636
75,2019-03-27,1060703.824777916
76,2019-03-28,1063313.9751754839
77,2019-03-29,1067835.166509712
78,2019-04-01,1076231.263609955
79,2019-04-02,1075090.6650552368
80,2019-04-03,1077455.0020183183
81,2019-04-04,1074285.6739829713
82,2019-04-05,1076127.5332960053
83,2019-04-08,1076526.3556179507
84,2019-04-09,1071865.7623821108
85,2019-04-10,1075153.434984772
86,2019-04-11,1077880.489793961
87,2019-04-12,1079907.600000229
88,2019-04-15,1078315.279767937
89,2019-04-16,1082639.431647934
90,2019-04-17,1061836.5546642458
91,2019-04-18,1066113.743397751
92,2019-04-22,1060950.2884888765
93,2019-04-23,1066603.524571335
94,2019-04-24,1064768.0422099382
95,2019-04-25,1059743.6904242937
96,2019-04-26,1062865.8896683732
97,2019-04-29,1061324.458444565
98,2019-04-30,1066194.2556097873
99,2019-05-01,1067364.4930128024
100,2019-05-02,1063428.8494925234
101,2019-05-03,1066142.268635895
102,2019-05-06,1066674.9953418735
103,2019-05-07,1055204.1617058567
104,2019-05-08,1056727.4187889863
105,2019-05-09,1052149.3294991306
106,2019-05-10,1052049.2072808077
107,2019-05-13,1034291.3490799717
108,2019-05-14,1043031.7037590793
109,2019-05-15,1048154.5181130222
110,2019-05-16,1055231.7195298006
111,2019-05-17,1047625.7923027804
112,2019-05-20,1051573.7095848848
113,2019-05-21,1058249.6038430026
114,2019-05-22,1057746.6849776767
115,2019-05-23,1037874.5723156664
116,2019-05-24,1037303.2199917529
