,date,actions
0,2018-12-06,[100]
1,2018-12-07,[100]
2,2018-12-10,[100]
3,2018-12-11,[100]
4,2018-12-12,[100]
5,2018-12-13,[100]
6,2018-12-14,[100]
7,2018-12-17,[100]
8,2018-12-18,[100]
9,2018-12-19,[100]
10,2018-12-20,[100]
11,2018-12-21,[100]
12,2018-12-24,[100]
13,2018-12-26,[100]
14,2018-12-27,[100]
15,2018-12-28,[100]
16,2018-12-31,[100]
17,2019-01-02,[100]
18,2019-01-03,[100]
19,2019-01-04,[100]
20,2019-01-07,[100]
21,2019-01-08,[100]
22,2019-01-09,[100]
23,2019-01-10,[100]
24,2019-01-11,[100]
25,2019-01-14,[100]
26,2019-01-15,[100]
27,2019-01-16,[100]
28,2019-01-17,[100]
29,2019-01-18,[100]
30,2019-01-22,[100]
31,2019-01-23,[100]
32,2019-01-24,[100]
33,2019-01-25,[70]
34,2019-01-28,[70]
35,2019-01-29,[61]
36,2019-01-30,[71]
37,2019-01-31,[67]
38,2019-02-01,[74]
39,2019-02-04,[70]
40,2019-02-05,[56]
41,2019-02-06,[49]
42,2019-02-07,[50]
43,2019-02-08,[47]
44,2019-02-11,[51]
45,2019-02-12,[39]
46,2019-02-13,[30]
47,2019-02-14,[22]
48,2019-02-15,[12]
49,2019-02-19,[8]
50,2019-02-20,[9]
51,2019-02-21,[18]
52,2019-02-22,[10]
53,2019-02-25,[5]
54,2019-02-26,[0]
55,2019-02-27,[-2]
56,2019-02-28,[1]
57,2019-03-01,[1]
58,2019-03-04,[100]
59,2019-03-05,[100]
60,2019-03-06,[100]
61,2019-03-07,[100]
62,2019-03-08,[100]
63,2019-03-11,[100]
64,2019-03-12,[100]
65,2019-03-13,[-5]
66,2019-03-14,[100]
67,2019-03-15,[-16]
68,2019-03-18,[-12]
69,2019-03-19,[-11]
70,2019-03-20,[-6]
71,2019-03-21,[-14]
72,2019-03-22,[-11]
73,2019-03-25,[-10]
74,2019-03-26,[-7]
75,2019-03-27,[-10]
76,2019-03-28,[-10]
77,2019-03-29,[-19]
78,2019-04-01,[-37]
79,2019-04-02,[-37]
80,2019-04-03,[-47]
81,2019-04-04,[-38]
82,2019-04-05,[-37]
83,2019-04-08,[-32]
84,2019-04-09,[-28]
85,2019-04-10,[-30]
86,2019-04-11,[-37]
87,2019-04-12,[-47]
88,2019-04-15,[-45]
89,2019-04-16,[-54]
90,2019-04-17,[82]
91,2019-04-18,[84]
92,2019-04-22,[95]
93,2019-04-23,[91]
94,2019-04-24,[93]
95,2019-04-25,[86]
96,2019-04-26,[81]
97,2019-04-29,[89]
98,2019-04-30,[86]
99,2019-05-01,[-15]
100,2019-05-02,[90]
101,2019-05-03,[-18]
102,2019-05-06,[90]
103,2019-05-07,[100]
104,2019-05-08,[100]
105,2019-05-09,[100]
106,2019-05-10,[100]
107,2019-05-13,[100]
108,2019-05-14,[100]
109,2019-05-15,[100]
