,raw_actions
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,0.70294917
34,0.7005628
35,0.6118151
36,0.7176107
37,0.6723726
38,0.74785817
39,0.70809007
40,0.56440866
41,0.4970071
42,0.50533295
43,0.47705355
44,0.5148922
45,0.39645
46,0.3004181
47,0.22667
48,0.12749524
49,0.08972748
50,0.098522864
51,0.1833627
52,0.100904055
53,0.053303532
54,-0.008405106
55,-0.027888963
56,0.019514969
57,0.010509094
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,-0.052945398
66,1.0
67,-0.16708653
68,-0.12893334
69,-0.112876646
70,-0.0651746
71,-0.14381152
72,-0.11040088
73,-0.10826161
74,-0.07077398
75,-0.10657721
76,-0.10578791
77,-0.19189173
78,-0.37903392
79,-0.3798658
80,-0.4735842
81,-0.38692132
82,-0.37826404
83,-0.32242796
84,-0.28923813
85,-0.30213535
86,-0.3765018
87,-0.47728422
88,-0.45509228
89,-0.54397833
90,0.8266177
91,0.84531695
92,0.9595938
93,0.9128986
94,0.9311936
95,0.8643888
96,0.8160558
97,0.89084524
98,0.8630347
99,-0.15661785
100,0.9037025
101,-0.18672685
102,0.9028549
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,-0.07771
114,-0.053272143
115,1.0
116,0.22327138
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,0.15672314
126,0.05311618
127,0.11750793
128,0.09195245
129,0.088473596
130,0.1123338
131,0.02893505
132,0.053873844
133,-0.060636684
134,-0.20930648
135,-0.29725936
136,-0.3796525
137,-0.27668786
138,-0.25777858
139,-0.19183044
140,-0.197173
141,-0.27111325
142,-0.36192065
143,-0.5046674
144,-0.50551474
145,-0.51021063
146,-0.36446315
147,-0.3591081
148,-0.3729133
149,-0.47954392
150,-0.5909164
151,-0.6787946
152,-0.6572629
153,-0.8716907
154,-0.92567635
155,-1.0
156,-0.99035275
157,-1.0
158,-0.9443184
159,-0.9362508
160,-0.970314
161,-0.94418216
162,-0.19896236
163,-0.9691501
164,-0.059749655
