,account_value
0,1000000.0
1,1000000.0
2,1000179.4281005859
3,999469.482421875
4,999886.5966796875
5,999812.0269775391
6,999916.8853759766
7,999716.4855957031
8,999265.2015686035
9,996903.8734436035
10,997288.3674621582
11,997117.4842834473
12,994203.8925170898
13,992265.1351928711
14,988862.2062683105
15,993016.2559509277
16,995800.8895874023
17,994868.7850952148
18,995713.8954162598
19,997627.7870178223
20,994948.0155944824
21,1000428.7528991699
22,1001524.7802734375
23,1003873.6297607422
24,1005142.8573608398
25,1006851.7044067383
26,1006313.4063720703
27,1004484.9685668945
28,1006878.865814209
29,1006673.787689209
30,1007780.6602478027
31,1011072.5746154785
32,1008346.166229248
33,1030899.8680114746
34,1030088.9114379883
35,1033444.5480346679
36,1034166.8769836426
37,1034316.0224914551
38,1034444.1986083984
39,1034549.8001098633
40,1033679.8202514648
41,1036727.8121948242
42,1037762.5091552734
43,1040035.1974487305
44,1035254.4006347656
45,1036888.9221191406
46,1037790.9896850586
47,1044589.74609375
48,1049556.8313598633
49,1045960.9512329102
50,1051441.9273376465
51,1053863.7428283691
52,1051278.4774780273
53,1050674.998474121
54,1056104.0199279785
55,1056929.1770935059
56,1057971.1067199707
57,1055723.7983703613
58,1051392.4781799316
59,1055932.6606750488
60,1052604.8904418945
61,1050184.5840454102
62,1046153.4622192383
63,1038770.1354980469
64,1037518.3120727539
65,1049871.0647583008
66,1052603.3874511719
67,1053967.4423217773
68,1055105.9623718262
69,1058324.6635437012
70,1062308.7104797363
71,1063760.9199523926
72,1059075.234222412
73,1068906.990814209
74,1058117.212677002
75,1056632.105255127
76,1062434.3856811523
77,1056889.860534668
78,1060790.4304504395
79,1067652.220916748
80,1080617.7474975586
81,1078826.2344360352
82,1082638.4017944336
83,1077428.483581543
84,1080532.201385498
85,1081223.7297058105
86,1073076.5159606934
87,1078940.1741027832
88,1083896.9848632812
89,1087659.4635009766
90,1084653.8024902344
91,1093033.6059570312
92,1051809.7625732422
93,1060245.9381103516
94,1050175.178527832
95,1061136.9934082031
96,1057633.196258545
97,1048090.3861999512
98,1054009.8129272459
99,1051129.183959961
100,1060236.3464355469
101,1062424.3835449219
102,1055093.0360412595
103,1060081.1554412844
104,1061063.927307129
105,1040355.4939270021
106,1043076.2596435546
107,1035122.6538391113
108,1034969.8043060303
109,1005144.2595062256
110,1019598.1897888184
111,1027934.0294952391
112,1039252.526412964
113,1027322.1177062988
114,1033440.3550415039
115,1043611.4898376464
116,1042846.8018951416
117,1012562.4149780273
118,1011721.0454406738
119,997802.5654907227
120,991913.7125244142
121,990995.9549102782
122,971265.303588867
123,981054.2778625488
124,1014856.4788055419
125,1005679.4163208007
126,1011262.276702881
127,1019598.1897888184
128,1030534.0859069824
129,1039787.6098480223
130,1031528.3783569335
131,1038334.6954193115
132,1033669.6660308838
133,1032140.1433868408
134,1043076.186264038
135,1048429.3687591552
136,1061965.761566162
137,1064642.3528137207
138,1065789.5681762695
139,1058218.4164123533
140,1059442.313369751
141,1059442.313369751
142,1054700.6023864746
143,1069842.7591552732
144,1072442.9623260496
145,1082537.9291839597
146,1081314.1789855957
147,1075119.5535736084
148,1065636.6452636719
149,1074354.8656311033
150,1080243.571838379
151,1091714.7715301514
152,1096150.3431701658
153,1097756.6207885745
154,1094238.4398651123
155,1144406.5477752683
156,1144785.388458252
157,1145234.5455474854
158,1149976.1529388428
159,1147411.1589202883
160,1150021.0222473147
161,1156976.5482940671
162,1153572.6961822512
163,1145790.275665283
164,1135184.1028747559
165,1149437.217086792
166,1128644.4380340576
167,1085203.9306488037
168,1085000.7157287598
169,1073899.7938690188
170,1092205.3191223145
171,1064041.768661499
172,1046392.3994750977
173,1061773.0597229004
174,1028469.9459381104
175,1033438.5317687988
176,1047231.9755859373
177,1056930.1329193115
178,1041309.5810089111
179,1050981.5883331299
180,1051528.6855163572
181,1014346.652130127
182,1017634.3279113768
183,1026871.1913909913
184,1039317.413772583
185,1055912.3522033694
186,1061000.573867798
187,1049806.6792144773
188,1067184.4895019531
189,1103583.799499512
190,1100452.6090087888
191,1116342.9924621582
192,1135521.200164795
193,1124287.620605469
194,1124444.1801300049
195,1124835.6562881472
196,1115519.2958374023
197,1113327.6084365845
198,1113483.887084961
199,1119355.4355239866
200,1110822.250114441
201,1112309.6813354492
202,1109256.7166900632
203,1120842.792503357
204,1123896.0541152952
205,1121469.1692047121
206,1138535.3915405273
207,1124898.7737579348
208,1109476.5582580569
209,1112060.5497589111
210,1119655.6936950684
211,1106266.1355743408
212,1083558.5249938967
213,1093659.3936614993
214,1105091.6884918213
215,1117854.7411727903
216,1112217.0832977295
217,1119734.1089782717
218,1112765.173454285
219,1051297.913131714
220,1049966.783996582
221,1038143.0810623168
222,1048948.8704528809
223,1052237.5599060059
224,1049810.1762008667
225,1060537.6245651243
226,1064687.5455093384
227,1047852.6158828734
228,1059049.8876342776
229,1047148.0664443969
230,1061242.3967742922
231,1077998.9111175535
232,1079721.671127319
233,1086690.4581375124
234,1090889.5371475217
235,1090255.7545318604
236,1073301.1227874754
237,1074251.9080963132
238,1065457.589530945
239,1061654.745323181
240,1064823.9554290774
241,1064110.7179336548
242,1065774.740737915
243,1055316.6221389768
244,1060387.1800918581
245,1064348.562774658
246,1077262.431213379
247,1070290.5254135134
248,1059832.5553283691
249,1065220.1159744263
250,1053018.965232849
251,1046759.9999008179
252,1045730.1309967041
253,1045096.1998672485
254,1055475.086357117
255,1061021.0369644163
256,1060941.8048553464
257,1059753.3974761963
258,1072112.7896652222
259,1063318.6196136472
260,1062684.6142272947
261,1063397.7774658205
262,1064903.0390243528
263,1066091.3721466062
264,1074251.9080963132
265,1073935.053916931
266,1069418.9722137451
267,1068864.421707153
268,1071716.629119873
269,1052226.792655945
270,1061971.6737594607
271,1072905.0364990234
272,1064348.562774658
273,1062446.9921569824
274,1063159.9326248167
275,1072033.7060699465
276,1083363.0808410642
277,1082966.8460388184
278,1082253.75705719
279,1076073.8753204346
280,1082412.2955322268
281,1093187.0455398562
282,1095801.6308822634
283,1102615.1467208865
284,1140010.32598114
285,1132012.1255722044
286,1114086.838859558
287,1098874.692062378
288,1106242.758407593
289,1091498.9812316892
290,1084206.4026031492
291,1139376.8621063232
292,1159303.9153594973
293,1181353.7000579832
294,1236821.8957824705
295,1240090.1815338135
296,1226945.3854370117
297,1234611.7904052732
298,1227549.8875427246
299,1241002.6440582278
300,1233733.5724639893
301,1207788.5016937256
302,1210630.292449951
303,1208944.9311676025
304,1211443.524734497
305,1201979.3680114746
306,1178873.9124298096
307,1147280.4271697998
308,1134322.0712432861
309,1089877.112411499
310,1069820.682220459
311,1098281.537322998
312,1060804.1144866943
313,1098163.987625122
314,1064984.6092681885
315,1051904.1421966553
316,979792.7052612305
317,1030959.4684295653
318,980409.7066040039
319,866466.5043640137
320,905521.6379089355
321,837395.1743011475
322,896159.5270080566
323,871839.9265136719
324,846393.1123046875
325,807560.3567657471
326,802645.3973693848
327,888427.6438293457
328,891421.5566711426
329,948966.9075622559
330,909640.8776245117
331,948887.531768799
332,933033.1276550293
333,886657.7154541016
334,925983.8204498291
335,896066.703994751
336,966080.2070007324
337,967080.919921875
338,1002995.6879882812
339,1021060.4019622804
340,1018228.1640167237
