,date,actions
0,2021-01-04,[37]
1,2021-01-05,[37]
2,2021-01-06,[37]
3,2021-01-07,[37]
4,2021-01-08,[37]
5,2021-01-11,[37]
6,2021-01-12,[37]
7,2021-01-13,[37]
8,2021-01-14,[37]
9,2021-01-15,[37]
10,2021-01-19,[37]
11,2021-01-20,[37]
12,2021-01-21,[37]
13,2021-01-22,[37]
14,2021-01-25,[37]
15,2021-01-26,[37]
16,2021-01-27,[37]
17,2021-01-28,[37]
18,2021-01-29,[37]
19,2021-02-01,[37]
20,2021-02-02,[37]
21,2021-02-03,[37]
22,2021-02-04,[37]
23,2021-02-05,[37]
24,2021-02-08,[37]
25,2021-02-09,[37]
26,2021-02-10,[37]
27,2021-02-11,[37]
28,2021-02-12,[37]
29,2021-02-16,[37]
30,2021-02-17,[37]
31,2021-02-18,[37]
32,2021-02-19,[37]
33,2021-02-22,[37]
34,2021-02-23,[37]
35,2021-02-24,[37]
36,2021-02-25,[37]
37,2021-02-26,[37]
38,2021-03-01,[37]
39,2021-03-02,[37]
40,2021-03-03,[37]
41,2021-03-04,[37]
42,2021-03-05,[37]
43,2021-03-08,[37]
44,2021-03-09,[37]
45,2021-03-10,[37]
46,2021-03-11,[37]
47,2021-03-12,[37]
48,2021-03-15,[37]
49,2021-03-16,[37]
50,2021-03-17,[37]
51,2021-03-18,[37]
52,2021-03-19,[37]
53,2021-03-22,[37]
54,2021-03-23,[37]
55,2021-03-24,[37]
56,2021-03-25,[37]
57,2021-03-26,[37]
58,2021-03-29,[37]
59,2021-03-30,[37]
60,2021-03-31,[37]
61,2021-04-01,[37]
62,2021-04-05,[37]
63,2021-04-06,[37]
64,2021-04-07,[37]
65,2021-04-08,[37]
66,2021-04-09,[37]
67,2021-04-12,[37]
68,2021-04-13,[37]
69,2021-04-14,[37]
70,2021-04-15,[37]
71,2021-04-16,[37]
72,2021-04-19,[37]
73,2021-04-20,[37]
74,2021-04-21,[37]
75,2021-04-22,[37]
76,2021-04-23,[37]
77,2021-04-26,[37]
78,2021-04-27,[37]
79,2021-04-28,[37]
80,2021-04-29,[37]
81,2021-04-30,[37]
82,2021-05-03,[37]
83,2021-05-04,[37]
84,2021-05-05,[37]
85,2021-05-06,[37]
86,2021-05-07,[37]
87,2021-05-10,[37]
88,2021-05-11,[37]
89,2021-05-12,[37]
90,2021-05-13,[37]
91,2021-05-14,[37]
92,2021-05-17,[37]
93,2021-05-18,[37]
94,2021-05-19,[37]
95,2021-05-20,[37]
96,2021-05-21,[37]
97,2021-05-24,[37]
98,2021-05-25,[37]
99,2021-05-26,[37]
100,2021-05-27,[37]
101,2021-05-28,[37]
102,2021-06-01,[37]
103,2021-06-02,[37]
104,2021-06-03,[37]
105,2021-06-04,[37]
106,2021-06-07,[37]
107,2021-06-08,[37]
108,2021-06-09,[37]
109,2021-06-10,[37]
110,2021-06-11,[37]
111,2021-06-14,[37]
112,2021-06-15,[37]
113,2021-06-16,[37]
114,2021-06-17,[37]
115,2021-06-18,[37]
116,2021-06-21,[37]
117,2021-06-22,[37]
118,2021-06-23,[37]
119,2021-06-24,[37]
120,2021-06-25,[37]
121,2021-06-28,[37]
122,2021-06-29,[37]
123,2021-06-30,[37]
124,2021-07-01,[37]
125,2021-07-02,[37]
126,2021-07-06,[37]
127,2021-07-07,[37]
128,2021-07-08,[37]
129,2021-07-09,[37]
130,2021-07-12,[37]
131,2021-07-13,[37]
132,2021-07-14,[37]
133,2021-07-15,[37]
134,2021-07-16,[37]
135,2021-07-19,[37]
136,2021-07-20,[37]
137,2021-07-21,[37]
138,2021-07-22,[37]
139,2021-07-23,[37]
140,2021-07-26,[37]
141,2021-07-27,[37]
142,2021-07-28,[37]
143,2021-07-29,[37]
144,2021-07-30,[37]
145,2021-08-02,[37]
146,2021-08-03,[37]
147,2021-08-04,[37]
148,2021-08-05,[37]
149,2021-08-06,[37]
150,2021-08-09,[37]
151,2021-08-10,[37]
152,2021-08-11,[37]
153,2021-08-12,[37]
154,2021-08-13,[37]
155,2021-08-16,[37]
156,2021-08-17,[37]
157,2021-08-18,[37]
158,2021-08-19,[37]
159,2021-08-20,[37]
160,2021-08-23,[37]
161,2021-08-24,[37]
162,2021-08-25,[37]
163,2021-08-26,[37]
164,2021-08-27,[37]
165,2021-08-30,[37]
166,2021-08-31,[37]
167,2021-09-01,[37]
168,2021-09-02,[37]
169,2021-09-03,[37]
170,2021-09-07,[37]
171,2021-09-08,[37]
172,2021-09-09,[37]
173,2021-09-10,[37]
174,2021-09-13,[37]
175,2021-09-14,[37]
176,2021-09-15,[37]
177,2021-09-16,[37]
178,2021-09-17,[37]
179,2021-09-20,[37]
180,2021-09-21,[37]
181,2021-09-22,[37]
182,2021-09-23,[37]
183,2021-09-24,[37]
184,2021-09-27,[37]
185,2021-09-28,[37]
186,2021-09-29,[37]
187,2021-09-30,[37]
188,2021-10-01,[37]
189,2021-10-04,[37]
190,2021-10-05,[37]
191,2021-10-06,[37]
192,2021-10-07,[37]
193,2021-10-08,[37]
194,2021-10-11,[37]
195,2021-10-12,[37]
196,2021-10-13,[37]
197,2021-10-14,[37]
198,2021-10-15,[37]
199,2021-10-18,[37]
200,2021-10-19,[37]
201,2021-10-20,[37]
202,2021-10-21,[37]
203,2021-10-22,[37]
204,2021-10-25,[37]
205,2021-10-26,[37]
206,2021-10-27,[37]
207,2021-10-28,[37]
208,2021-10-29,[37]
209,2021-11-01,[37]
210,2021-11-02,[37]
211,2021-11-03,[37]
212,2021-11-04,[37]
213,2021-11-05,[37]
214,2021-11-08,[37]
215,2021-11-09,[37]
216,2021-11-10,[37]
217,2021-11-11,[37]
218,2021-11-12,[37]
219,2021-11-15,[37]
220,2021-11-16,[37]
221,2021-11-17,[37]
222,2021-11-18,[37]
223,2021-11-19,[37]
224,2021-11-22,[37]
225,2021-11-23,[37]
226,2021-11-24,[37]
227,2021-11-26,[37]
228,2021-11-29,[37]
229,2021-11-30,[37]
230,2021-12-01,[37]
231,2021-12-02,[37]
232,2021-12-03,[37]
233,2021-12-06,[37]
234,2021-12-07,[37]
235,2021-12-08,[37]
236,2021-12-09,[37]
237,2021-12-10,[37]
238,2021-12-13,[37]
239,2021-12-14,[37]
240,2021-12-15,[37]
241,2021-12-16,[37]
242,2021-12-17,[37]
243,2021-12-20,[37]
244,2021-12-21,[37]
245,2021-12-22,[37]
246,2021-12-23,[37]
247,2021-12-27,[37]
248,2021-12-28,[37]
249,2021-12-29,[37]
250,2021-12-30,[37]
251,2021-12-31,[37]
252,2022-01-03,[37]
253,2022-01-04,[37]
254,2022-01-05,[37]
255,2022-01-06,[37]
256,2022-01-07,[37]
257,2022-01-10,[37]
258,2022-01-11,[37]
259,2022-01-12,[37]
260,2022-01-13,[37]
261,2022-01-14,[37]
262,2022-01-18,[37]
263,2022-01-19,[37]
264,2022-01-20,[37]
265,2022-01-21,[37]
266,2022-01-24,[37]
267,2022-01-25,[37]
268,2022-01-26,[37]
269,2022-01-27,[37]
270,2022-01-28,[37]
271,2022-01-31,[37]
272,2022-02-01,[37]
273,2022-02-02,[37]
274,2022-02-03,[37]
275,2022-02-04,[37]
276,2022-02-07,[37]
277,2022-02-08,[37]
278,2022-02-09,[37]
279,2022-02-10,[37]
280,2022-02-11,[37]
281,2022-02-14,[37]
282,2022-02-15,[37]
283,2022-02-16,[37]
284,2022-02-17,[37]
285,2022-02-18,[37]
286,2022-02-22,[37]
287,2022-02-23,[37]
288,2022-02-24,[37]
289,2022-02-25,[37]
290,2022-02-28,[37]
291,2022-03-01,[37]
292,2022-03-02,[37]
293,2022-03-03,[37]
294,2022-03-04,[37]
295,2022-03-07,[37]
296,2022-03-08,[37]
297,2022-03-09,[37]
298,2022-03-10,[37]
299,2022-03-11,[37]
300,2022-03-14,[37]
301,2022-03-15,[37]
302,2022-03-16,[37]
303,2022-03-17,[37]
304,2022-03-18,[37]
305,2022-03-21,[37]
306,2022-03-22,[37]
307,2022-03-23,[37]
308,2022-03-24,[37]
309,2022-03-25,[37]
310,2022-03-28,[37]
311,2022-03-29,[37]
312,2022-03-30,[37]
313,2022-03-31,[37]
314,2022-04-01,[37]
315,2022-04-04,[37]
316,2022-04-05,[37]
317,2022-04-06,[37]
318,2022-04-07,[37]
319,2022-04-08,[37]
320,2022-04-11,[37]
321,2022-04-12,[37]
322,2022-04-13,[37]
323,2022-04-14,[37]
324,2022-04-18,[37]
325,2022-04-19,[37]
326,2022-04-20,[37]
327,2022-04-21,[37]
328,2022-04-22,[37]
329,2022-04-25,[37]
330,2022-04-26,[37]
331,2022-04-27,[37]
332,2022-04-28,[37]
333,2022-04-29,[37]
334,2022-05-02,[37]
335,2022-05-03,[37]
336,2022-05-04,[37]
337,2022-05-05,[37]
338,2022-05-06,[37]
339,2022-05-09,[37]
340,2022-05-10,[37]
341,2022-05-11,[37]
342,2022-05-12,[37]
343,2022-05-13,[37]
344,2022-05-16,[37]
345,2022-05-17,[37]
346,2022-05-18,[37]
347,2022-05-19,[37]
348,2022-05-20,[37]
349,2022-05-23,[37]
350,2022-05-24,[37]
351,2022-05-25,[37]
352,2022-05-26,[37]
353,2022-05-27,[37]
354,2022-05-31,[37]
355,2022-06-01,[37]
356,2022-06-02,[37]
357,2022-06-03,[37]
358,2022-06-06,[37]
359,2022-06-07,[37]
360,2022-06-08,[37]
361,2022-06-09,[37]
362,2022-06-10,[37]
363,2022-06-13,[37]
364,2022-06-14,[37]
365,2022-06-15,[37]
366,2022-06-16,[37]
367,2022-06-17,[37]
368,2022-06-21,[37]
369,2022-06-22,[37]
370,2022-06-23,[37]
371,2022-06-24,[37]
372,2022-06-27,[37]
373,2022-06-28,[37]
374,2022-06-29,[37]
375,2022-06-30,[37]
376,2022-07-01,[37]
377,2022-07-05,[37]
378,2022-07-06,[37]
379,2022-07-07,[37]
380,2022-07-08,[37]
381,2022-07-11,[37]
382,2022-07-12,[37]
383,2022-07-13,[37]
384,2022-07-14,[37]
385,2022-07-15,[37]
386,2022-07-18,[37]
387,2022-07-19,[37]
388,2022-07-20,[37]
389,2022-07-21,[37]
390,2022-07-22,[37]
391,2022-07-25,[37]
392,2022-07-26,[37]
393,2022-07-27,[37]
394,2022-07-28,[37]
395,2022-07-29,[37]
396,2022-08-01,[37]
397,2022-08-02,[37]
398,2022-08-03,[37]
399,2022-08-04,[37]
400,2022-08-05,[37]
401,2022-08-08,[37]
402,2022-08-09,[37]
403,2022-08-10,[37]
404,2022-08-11,[37]
405,2022-08-12,[37]
406,2022-08-15,[37]
407,2022-08-16,[37]
408,2022-08-17,[37]
409,2022-08-18,[37]
410,2022-08-19,[37]
411,2022-08-22,[37]
412,2022-08-23,[37]
413,2022-08-24,[37]
414,2022-08-25,[37]
415,2022-08-26,[37]
416,2022-08-29,[37]
417,2022-08-30,[37]
418,2022-08-31,[37]
419,2022-09-01,[37]
420,2022-09-02,[37]
421,2022-09-06,[37]
422,2022-09-07,[37]
423,2022-09-08,[37]
424,2022-09-09,[37]
425,2022-09-12,[37]
426,2022-09-13,[37]
427,2022-09-14,[37]
428,2022-09-15,[37]
429,2022-09-16,[37]
430,2022-09-19,[37]
431,2022-09-20,[37]
432,2022-09-21,[37]
433,2022-09-22,[37]
434,2022-09-23,[37]
435,2022-09-26,[37]
436,2022-09-27,[37]
437,2022-09-28,[37]
438,2022-09-29,[37]
439,2022-09-30,[37]
440,2022-10-03,[37]
441,2022-10-04,[37]
442,2022-10-05,[37]
443,2022-10-06,[37]
444,2022-10-07,[37]
445,2022-10-10,[37]
446,2022-10-11,[37]
447,2022-10-12,[37]
448,2022-10-13,[37]
449,2022-10-14,[37]
450,2022-10-17,[37]
451,2022-10-18,[37]
452,2022-10-19,[37]
453,2022-10-20,[37]
454,2022-10-21,[37]
455,2022-10-24,[37]
456,2022-10-25,[37]
457,2022-10-26,[37]
458,2022-10-27,[37]
459,2022-10-28,[37]
460,2022-10-31,[37]
461,2022-11-01,[37]
462,2022-11-02,[37]
463,2022-11-03,[37]
464,2022-11-04,[37]
465,2022-11-07,[37]
466,2022-11-08,[37]
467,2022-11-09,[37]
468,2022-11-10,[37]
469,2022-11-11,[37]
470,2022-11-14,[37]
471,2022-11-15,[37]
472,2022-11-16,[37]
473,2022-11-17,[37]
474,2022-11-18,[37]
475,2022-11-21,[37]
476,2022-11-22,[37]
477,2022-11-23,[37]
478,2022-11-25,[37]
479,2022-11-28,[37]
480,2022-11-29,[37]
481,2022-11-30,[37]
482,2022-12-01,[37]
483,2022-12-02,[37]
484,2022-12-05,[37]
485,2022-12-06,[37]
486,2022-12-07,[37]
487,2022-12-08,[37]
488,2022-12-09,[37]
489,2022-12-12,[37]
490,2022-12-13,[37]
491,2022-12-14,[37]
492,2022-12-15,[37]
493,2022-12-16,[37]
494,2022-12-19,[37]
495,2022-12-20,[37]
496,2022-12-21,[37]
497,2022-12-22,[37]
498,2022-12-23,[37]
499,2022-12-27,[37]
500,2022-12-28,[37]
501,2022-12-29,[37]
502,2022-12-30,[37]
503,2023-01-03,[37]
504,2023-01-04,[37]
505,2023-01-05,[37]
506,2023-01-06,[37]
507,2023-01-09,[37]
508,2023-01-10,[37]
509,2023-01-11,[37]
510,2023-01-12,[37]
511,2023-01-13,[37]
512,2023-01-17,[37]
513,2023-01-18,[37]
514,2023-01-19,[37]
515,2023-01-20,[37]
516,2023-01-23,[37]
517,2023-01-24,[37]
518,2023-01-25,[37]
519,2023-01-26,[37]
520,2023-01-27,[37]
521,2023-01-30,[37]
522,2023-01-31,[37]
523,2023-02-01,[37]
524,2023-02-02,[37]
525,2023-02-03,[37]
526,2023-02-06,[37]
527,2023-02-07,[37]
528,2023-02-08,[37]
529,2023-02-09,[37]
530,2023-02-10,[37]
531,2023-02-13,[37]
532,2023-02-14,[37]
533,2023-02-15,[37]
534,2023-02-16,[37]
535,2023-02-17,[37]
536,2023-02-21,[37]
537,2023-02-22,[37]
538,2023-02-23,[37]
539,2023-02-24,[37]
540,2023-02-27,[37]
541,2023-02-28,[37]
542,2023-03-01,[37]
543,2023-03-02,[37]
544,2023-03-03,[37]
545,2023-03-06,[37]
546,2023-03-07,[37]
547,2023-03-08,[37]
548,2023-03-09,[37]
549,2023-03-10,[37]
550,2023-03-13,[37]
551,2023-03-14,[37]
552,2023-03-15,[37]
553,2023-03-16,[37]
554,2023-03-17,[37]
555,2023-03-20,[37]
556,2023-03-21,[37]
557,2023-03-22,[37]
558,2023-03-23,[37]
559,2023-03-24,[37]
560,2023-03-27,[37]
561,2023-03-28,[37]
562,2023-03-29,[37]
