,raw_actions
0,0.37943545
1,0.37943545
2,0.37943545
3,0.37943545
4,0.37943545
5,0.37943545
6,0.37943545
7,0.37943545
8,0.37943545
9,0.37943545
10,0.37943545
11,0.37943545
12,0.37943545
13,0.37943545
14,0.37943545
15,0.37943545
16,0.37943545
17,0.37943545
18,0.37943545
19,0.37943545
20,0.37943545
21,0.37943545
22,0.37943545
23,0.37943545
24,0.37943545
25,0.37943545
26,0.37943545
27,0.37943545
28,0.37943545
29,0.37943545
30,0.37943545
31,0.37943545
32,0.37943545
33,0.37943545
34,0.37943545
35,0.37943545
36,0.37943545
37,0.37943545
38,0.37943545
39,0.37943545
40,0.37943545
41,0.37943545
42,0.37943545
43,0.37943545
44,0.37943545
45,0.37943545
46,0.37943545
47,0.37943545
48,0.37943545
49,0.37943545
50,0.37943545
51,0.37943545
52,0.37943545
53,0.37943545
54,0.37943545
55,0.37943545
56,0.37943545
57,0.37943545
58,0.37943545
59,0.37943545
60,0.37943545
61,0.37943545
62,0.37943545
63,0.37943545
64,0.37943545
65,0.37943545
66,0.37943545
67,0.37943545
68,0.37943545
69,0.37943545
70,0.37943545
71,0.37943545
72,0.37943545
73,0.37943545
74,0.37943545
75,0.37943545
76,0.37943545
77,0.37943545
78,0.37943545
79,0.37943545
80,0.37943545
81,0.37943545
82,0.37943545
83,0.37943545
84,0.37943545
85,0.37943545
86,0.37943545
87,0.37943545
88,0.37943545
89,0.37943545
90,0.37943545
91,0.37943545
92,0.37943545
93,0.37943545
94,0.37943545
95,0.37943545
96,0.37943545
97,0.37943545
98,0.37943545
99,0.37943545
100,0.37943545
101,0.37943545
102,0.37943545
103,0.37943545
104,0.37943545
105,0.37943545
106,0.37943545
107,0.37943545
108,0.37943545
109,0.37943545
110,0.37943545
111,0.37943545
112,0.37943545
113,0.37943545
114,0.37943545
115,0.37943545
116,0.37943545
117,0.37943545
118,0.37943545
119,0.37943545
120,0.37943545
121,0.37943545
122,0.37943545
123,0.37943545
124,0.37943545
125,0.37943545
126,0.37943545
127,0.37943545
128,0.37943545
129,0.37943545
130,0.37943545
131,0.37943545
132,0.37943545
133,0.37943545
134,0.37943545
135,0.37943545
136,0.37943545
137,0.37943545
138,0.37943545
139,0.37943545
140,0.37943545
141,0.37943545
142,0.37943545
143,0.37943545
144,0.37943545
145,0.37943545
146,0.37943545
147,0.37943545
148,0.37943545
149,0.37943545
150,0.37943545
151,0.37943545
152,0.37943545
153,0.37943545
154,0.37943545
155,0.37943545
156,0.37943545
157,0.37943545
158,0.37943545
159,0.37943545
160,0.37943545
161,0.37943545
162,0.37943545
163,0.37943545
164,0.37943545
165,0.37943545
166,0.37943545
167,0.37943545
168,0.37943545
169,0.37943545
170,0.37943545
171,0.37943545
172,0.37943545
173,0.37943545
174,0.37943545
175,0.37943545
176,0.37943545
177,0.37943545
178,0.37943545
179,0.37943545
180,0.37943545
181,0.37943545
182,0.37943545
183,0.37943545
184,0.37943545
185,0.37943545
186,0.37943545
187,0.37943545
188,0.37943545
189,0.37943545
190,0.37943545
191,0.37943545
192,0.37943545
193,0.37943545
194,0.37943545
195,0.37943545
196,0.37943545
197,0.37943545
198,0.37943545
199,0.37943545
200,0.37943545
201,0.37943545
202,0.37943545
203,0.37943545
204,0.37943545
205,0.37943545
206,0.37943545
207,0.37943545
208,0.37943545
209,0.37943545
210,0.37943545
211,0.37943545
212,0.37943545
213,0.37943545
214,0.37943545
215,0.37943545
216,0.37943545
217,0.37943545
218,0.37943545
219,0.37943545
220,0.37943545
221,0.37943545
222,0.37943545
223,0.37943545
224,0.37943545
225,0.37943545
226,0.37943545
227,0.37943545
228,0.37943545
229,0.37943545
230,0.37943545
231,0.37943545
232,0.37943545
233,0.37943545
234,0.37943545
235,0.37943545
236,0.37943545
237,0.37943545
238,0.37943545
239,0.37943545
240,0.37943545
241,0.37943545
242,0.37943545
243,0.37943545
244,0.37943545
245,0.37943545
246,0.37943545
247,0.37943545
248,0.37943545
249,0.37943545
250,0.37943545
251,0.37943545
252,0.37943545
253,0.37943545
254,0.37943545
255,0.37943545
256,0.37943545
257,0.37943545
258,0.37943545
259,0.37943545
260,0.37943545
261,0.37943545
262,0.37943545
263,0.37943545
264,0.37943545
265,0.37943545
266,0.37943545
267,0.37943545
268,0.37943545
269,0.37943545
270,0.37943545
271,0.37943545
272,0.37943545
273,0.37943545
274,0.37943545
275,0.37943545
276,0.37943545
277,0.37943545
278,0.37943545
279,0.37943545
280,0.37943545
281,0.37943545
282,0.37943545
283,0.37943545
284,0.37943545
285,0.37943545
286,0.37943545
287,0.37943545
288,0.37943545
289,0.37943545
290,0.37943545
291,0.37943545
292,0.37943545
293,0.37943545
294,0.37943545
295,0.37943545
296,0.37943545
297,0.37943545
298,0.37943545
299,0.37943545
300,0.37943545
301,0.37943545
302,0.37943545
303,0.37943545
304,0.37943545
305,0.37943545
306,0.37943545
307,0.37943545
308,0.37943545
309,0.37943545
310,0.37943545
311,0.37943545
312,0.37943545
313,0.37943545
314,0.37943545
315,0.37943545
316,0.37943545
317,0.37943545
318,0.37943545
319,0.37943545
320,0.37943545
321,0.37943545
322,0.37943545
323,0.37943545
324,0.37943545
325,0.37943545
326,0.37943545
327,0.37943545
328,0.37943545
329,0.37943545
330,0.37943545
331,0.37943545
332,0.37943545
333,0.37943545
334,0.37943545
335,0.37943545
336,0.37943545
337,0.37943545
338,0.37943545
339,0.37943545
340,0.37943545
341,0.37943545
342,0.37943545
343,0.37943545
344,0.37943545
345,0.37943545
346,0.37943545
347,0.37943545
348,0.37943545
349,0.37943545
350,0.37943545
351,0.37943545
352,0.37943545
353,0.37943545
354,0.37943545
355,0.37943545
356,0.37943545
357,0.37943545
358,0.37943545
359,0.37943545
360,0.37943545
361,0.37943545
362,0.37943545
363,0.37943545
364,0.37943545
365,0.37943545
366,0.37943545
367,0.37943545
368,0.37943545
369,0.37943545
370,0.37943545
371,0.37943545
372,0.37943545
373,0.37943545
374,0.37943545
375,0.37943545
376,0.37943545
377,0.37943545
378,0.37943545
379,0.37943545
380,0.37943545
381,0.37943545
382,0.37943545
383,0.37943545
384,0.37943545
385,0.37943545
386,0.37943545
387,0.37943545
388,0.37943545
389,0.37943545
390,0.37943545
391,0.37943545
392,0.37943545
393,0.37943545
394,0.37943545
395,0.37943545
396,0.37943545
397,0.37943545
398,0.37943545
399,0.37943545
400,0.37943545
401,0.37943545
402,0.37943545
403,0.37943545
404,0.37943545
405,0.37943545
406,0.37943545
407,0.37943545
408,0.37943545
409,0.37943545
410,0.37943545
411,0.37943545
412,0.37943545
413,0.37943545
414,0.37943545
415,0.37943545
416,0.37943545
417,0.37943545
418,0.37943545
419,0.37943545
420,0.37943545
421,0.37943545
422,0.37943545
423,0.37943545
424,0.37943545
425,0.37943545
426,0.37943545
427,0.37943545
428,0.37943545
429,0.37943545
430,0.37943545
431,0.37943545
432,0.37943545
433,0.37943545
434,0.37943545
435,0.37943545
436,0.37943545
437,0.37943545
438,0.37943545
439,0.37943545
440,0.37943545
441,0.37943545
442,0.37943545
443,0.37943545
444,0.37943545
445,0.37943545
446,0.37943545
447,0.37943545
448,0.37943545
449,0.37943545
450,0.37943545
451,0.37943545
452,0.37943545
453,0.37943545
454,0.37943545
455,0.37943545
456,0.37943545
457,0.37943545
458,0.37943545
459,0.37943545
460,0.37943545
461,0.37943545
462,0.37943545
463,0.37943545
464,0.37943545
465,0.37943545
466,0.37943545
467,0.37943545
468,0.37943545
469,0.37943545
470,0.37943545
471,0.37943545
472,0.37943545
473,0.37943545
474,0.37943545
475,0.37943545
476,0.37943545
477,0.37943545
478,0.37943545
479,0.37943545
480,0.37943545
481,0.37943545
482,0.37943545
483,0.37943545
484,0.37943545
485,0.37943545
486,0.37943545
487,0.37943545
488,0.37943545
489,0.37943545
490,0.37943545
491,0.37943545
492,0.37943545
493,0.37943545
494,0.37943545
495,0.37943545
496,0.37943545
497,0.37943545
498,0.37943545
499,0.37943545
500,0.37943545
501,0.37943545
502,0.37943545
503,0.37943545
504,0.37943545
505,0.37943545
506,0.37943545
507,0.37943545
508,0.37943545
509,0.37943545
510,0.37943545
511,0.37943545
512,0.37943545
513,0.37943545
514,0.37943545
515,0.37943545
516,0.37943545
517,0.37943545
518,0.37943545
519,0.37943545
520,0.37943545
521,0.37943545
522,0.37943545
523,0.37943545
524,0.37943545
525,0.37943545
526,0.37943545
527,0.37943545
528,0.37943545
529,0.37943545
530,0.37943545
531,0.37943545
532,0.37943545
533,0.37943545
534,0.37943545
535,0.37943545
536,0.37943545
537,0.37943545
538,0.37943545
539,0.37943545
540,0.37943545
541,0.37943545
542,0.37943545
543,0.37943545
544,0.37943545
545,0.37943545
546,0.37943545
547,0.37943545
548,0.37943545
549,0.37943545
550,0.37943545
551,0.37943545
552,0.37943545
553,0.37943545
554,0.37943545
555,0.37943545
556,0.37943545
557,0.37943545
558,0.37943545
559,0.37943545
560,0.37943545
561,0.37943545
562,0.37943545
563,0.37943545
