,date,account_value
0,2021-01-04,1000000.0
1,2021-01-05,1000015.0602291108
2,2021-01-06,1000226.4425105095
3,2021-01-07,1000137.0457433701
4,2021-01-08,1000166.2398382187
5,2021-01-11,1000297.8651765824
6,2021-01-12,1000530.003450489
7,2021-01-13,1000674.8400149345
8,2021-01-14,1001181.9820486068
9,2021-01-15,1000455.0702453613
10,2021-01-19,1000055.4693267822
11,2021-01-20,999793.4403837203
12,2021-01-21,999769.5053547858
13,2021-01-22,1000458.8378326416
14,2021-01-25,1002316.6640624045
15,2021-01-26,1004534.7882205008
16,2021-01-27,1007401.5322661399
17,2021-01-28,1003916.9789586066
18,2021-01-29,1003010.6407034873
19,2021-02-01,1002414.5056305885
20,2021-02-02,1000497.1558063506
21,2021-02-03,1002587.2847449302
22,2021-02-04,1003483.1583986282
23,2021-02-05,1003241.7484731674
24,2021-02-08,1004264.6957715035
25,2021-02-09,1003694.1280974388
26,2021-02-10,1003815.9795418739
27,2021-02-11,1003507.2164455414
28,2021-02-12,1002629.3638742446
29,2021-02-16,1003178.0801170348
30,2021-02-17,1002095.3633579253
31,2021-02-18,1000976.6456734657
32,2021-02-19,1002948.1542515755
33,2021-02-22,1003917.0465702057
34,2021-02-23,1005850.5223508835
35,2021-02-24,1003923.5748775481
36,2021-02-25,1005356.2446230887
37,2021-02-26,1003564.9478923797
38,2021-03-01,1003959.9739679336
39,2021-03-02,1003625.5962232589
40,2021-03-03,1006014.3570505141
41,2021-03-04,1003212.9062404631
42,2021-03-05,1003131.7861538886
43,2021-03-08,1008758.7240329741
44,2021-03-09,1011302.9273743628
45,2021-03-10,1010618.3840451239
46,2021-03-11,1011053.0537373541
47,2021-03-12,1018540.7616976736
48,2021-03-15,1027781.1146853445
49,2021-03-16,1024851.1440175055
50,2021-03-17,1022809.9642983435
51,2021-03-18,1018067.5260787009
52,2021-03-19,1018016.4272255896
53,2021-03-22,1013339.5473080634
54,2021-03-23,1004681.8943177222
55,2021-03-24,1000350.485092449
56,2021-03-25,1006563.5777910231
57,2021-03-26,1006507.948084545
58,2021-03-29,1003480.6916144369
59,2021-03-30,1007396.4686500548
60,2021-03-31,1005232.3355792044
61,2021-04-01,1002511.4675587652
62,2021-04-05,1002921.6243230818
63,2021-04-06,1004892.0369372367
64,2021-04-07,1003979.9610902785
65,2021-04-08,1005211.4909699438
66,2021-04-09,1008715.5841245649
67,2021-04-12,1010811.1082334516
68,2021-04-13,1008036.0888427732
69,2021-04-14,1009212.5525744436
70,2021-04-15,1008746.1945150374
71,2021-04-16,1009013.9944584845
72,2021-04-19,1009148.9766772268
73,2021-04-20,1003608.167356777
74,2021-04-21,1008309.3070849417
75,2021-04-22,1009943.8734446523
76,2021-04-23,1010086.4317143437
77,2021-04-26,1006725.2780079838
78,2021-04-27,1013900.0074897762
79,2021-04-28,1011500.5898683544
80,2021-04-29,1008994.9234159465
81,2021-04-30,1007456.7530925747
82,2021-05-03,1017799.4756101604
83,2021-05-04,1016302.0012533184
84,2021-05-05,1013830.458919334
85,2021-05-06,1013183.7947357174
86,2021-05-07,1016037.1276500698
87,2021-05-10,1014962.6861255642
88,2021-05-11,1012457.0008281703
89,2021-05-12,1005195.6129751201
90,2021-05-13,1000669.7339765544
91,2021-05-14,1019829.696263885
92,2021-05-17,1029252.2398099895
93,2021-05-18,1028632.9508007045
94,2021-05-19,1025867.2294507977
95,2021-05-20,1019287.6483821865
96,2021-05-21,1020651.7566631314
97,2021-05-24,1017981.9235622403
98,2021-05-25,1018444.964418411
99,2021-05-26,1022856.5942441938
100,2021-05-27,1027028.2394197461
101,2021-05-28,1021374.3849069593
102,2021-06-01,1023501.0621623991
103,2021-06-02,1027602.4868082044
104,2021-06-03,1021682.0780611036
105,2021-06-04,1017895.9080093382
106,2021-06-07,1024931.9547477721
107,2021-06-08,1025336.1756395339
108,2021-06-09,1034758.6546464919
109,2021-06-10,1027829.9292577743
110,2021-06-11,1033357.842621231
111,2021-06-14,1026302.0743898391
112,2021-06-15,1022582.2044012069
113,2021-06-16,1024723.991373825
114,2021-06-17,1019207.719521141
115,2021-06-18,1014733.860543251
116,2021-06-21,1019793.3294092178
117,2021-06-22,1025007.3849241256
118,2021-06-23,1026460.6075143814
119,2021-06-24,1034021.1395133972
120,2021-06-25,1035954.2159576416
121,2021-06-28,1031705.9494113922
122,2021-06-29,1026844.093577385
123,2021-06-30,1028358.904357338
124,2021-07-01,1026828.1791637421
125,2021-07-02,1024336.5640861512
126,2021-07-06,1020032.4351671219
127,2021-07-07,1006900.7149284363
128,2021-07-08,1010541.2738643647
129,2021-07-09,1025222.308229065
130,2021-07-12,1030522.6156381608
131,2021-07-13,1023686.9350345613
132,2021-07-14,1017425.1154586794
133,2021-07-15,1011242.0216293337
134,2021-07-16,1003360.2958784106
135,2021-07-19,992730.8200006487
136,2021-07-20,1002403.9173737528
137,2021-07-21,1011758.2239367487
138,2021-07-22,1003641.2969328882
139,2021-07-23,999684.4340186121
140,2021-07-26,1010173.2274394991
141,2021-07-27,1004688.3405824663
142,2021-07-28,1000511.4279468538
143,2021-07-29,999153.4647548677
144,2021-07-30,1004205.4747511866
145,2021-08-02,1005304.1230463984
146,2021-08-03,1008210.5955178263
147,2021-08-04,1000400.9544352533
148,2021-08-05,1010787.2689112665
149,2021-08-06,1026190.1147612573
150,2021-08-09,1030172.0427111627
151,2021-08-10,1037331.3563269617
152,2021-08-11,1044105.6068398478
153,2021-08-12,1036702.5956711771
154,2021-08-13,1031150.1760888102
155,2021-08-16,1031001.3602448466
156,2021-08-17,1021529.7958300592
157,2021-08-18,1018549.8158616067
158,2021-08-19,1071599.2551161768
159,2021-08-20,1083360.3813853266
160,2021-08-23,1084724.1329520228
161,2021-08-24,1099992.6920372965
162,2021-08-25,1101680.7355887415
163,2021-08-26,1085445.0613165859
164,2021-08-27,1092442.815073872
165,2021-08-30,1084146.0082503322
166,2021-08-31,1083041.692493153
167,2021-09-01,1085415.6226258283
168,2021-09-02,1087166.2618201259
169,2021-09-03,1072256.6378193859
170,2021-09-07,1075640.7127921109
171,2021-09-08,1064285.1535504344
172,2021-09-09,1070971.9376580243
173,2021-09-10,1054560.9726492886
174,2021-09-13,1061985.662906933
175,2021-09-14,1061649.375843716
176,2021-09-15,1068204.408630467
177,2021-09-16,1081898.360994244
178,2021-09-17,1078665.455278874
179,2021-09-20,1072507.5040085798
180,2021-09-21,1073021.2515572552
181,2021-09-22,1090828.6079575545
182,2021-09-23,1100215.021503735
183,2021-09-24,1109478.1674075131
184,2021-09-27,1120373.8098687176
185,2021-09-28,1134333.1136145596
186,2021-09-29,1127045.6841391567
187,2021-09-30,1089529.1175000197
188,2021-10-01,1094735.140311337
189,2021-10-04,1094732.9536568648
190,2021-10-05,1084022.0305827146
191,2021-10-06,1088763.4074802175
192,2021-10-07,1088211.0777322545
193,2021-10-08,1092633.359164597
194,2021-10-11,1082253.9969081653
195,2021-10-12,1092866.747377129
196,2021-10-13,1087062.9072667852
197,2021-10-14,1099096.6375197377
198,2021-10-15,1116671.768228537
199,2021-10-18,1196642.225946242
200,2021-10-19,1163611.3384754243
201,2021-10-20,1160347.0535806718
202,2021-10-21,1158801.9636213365
203,2021-10-22,1165000.4299453797
204,2021-10-25,1169671.5000824037
205,2021-10-26,1159101.6312027038
206,2021-10-27,1144940.5716810287
207,2021-10-28,1159165.457977301
208,2021-10-29,1162736.9938135208
209,2021-11-01,1201639.2946676316
210,2021-11-02,1205846.403976256
211,2021-11-03,1244718.212757689
212,2021-11-04,1248358.0815589968
213,2021-11-05,1260555.1840368332
214,2021-11-08,1258100.629112822
215,2021-11-09,1245577.8297800128
216,2021-11-10,1229285.1653377595
217,2021-11-11,1251447.7643611971
218,2021-11-12,1242496.1384063784
219,2021-11-15,1254828.0855856007
220,2021-11-16,1280867.6461376254
221,2021-11-17,1250273.1666868273
222,2021-11-18,1388660.8622764652
223,2021-11-19,1332029.5690139835
224,2021-11-22,1311925.1475952212
225,2021-11-23,1308914.961119086
226,2021-11-24,1276764.6273315493
227,2021-11-26,1240801.0447129505
228,2021-11-29,1224928.2749777879
229,2021-11-30,1197659.7003523454
230,2021-12-01,1168781.534932721
231,2021-12-02,1180186.2958161705
232,2021-12-03,1160391.21903711
233,2021-12-06,1167665.6252505844
234,2021-12-07,1183135.9752577655
235,2021-12-08,1172277.5348446853
236,2021-12-09,1159838.8181481939
237,2021-12-10,1158724.3518382767
238,2021-12-13,1119004.6618492056
239,2021-12-14,1141053.8931839035
240,2021-12-15,1123685.6539433333
241,2021-12-16,1106955.0716166827
242,2021-12-17,1113298.543055682
243,2021-12-20,1091036.738106696
244,2021-12-21,1119953.9733380761
245,2021-12-22,1120637.4105397137
246,2021-12-23,1126814.1538445116
247,2021-12-27,1142181.6957636268
248,2021-12-28,1147698.8789959191
249,2021-12-29,1169133.2462760494
250,2021-12-30,1165897.1152461155
251,2021-12-31,1150608.1597482213
252,2022-01-03,1178472.1825429467
253,2022-01-04,1195003.2663530472
254,2022-01-05,1156469.03788255
255,2022-01-06,1163491.9813937116
256,2022-01-07,1154567.526622975
257,2022-01-10,1135728.8774708372
258,2022-01-11,1163353.7644797638
259,2022-01-12,1160747.1279174904
260,2022-01-13,1165969.8566436488
261,2022-01-14,1147153.961904002
262,2022-01-18,1127329.8164594178
263,2022-01-19,1128525.5000577837
264,2022-01-20,1093947.66530568
265,2022-01-21,1072519.623875592
266,2022-01-24,1172196.8057949014
267,2022-01-25,1166871.8337659556
268,2022-01-26,1146489.1357282451
269,2022-01-27,1138216.808734179
270,2022-01-28,1132606.0272907836
271,2022-01-31,1136516.5120080668
272,2022-02-01,1151222.6229531104
273,2022-02-02,1128857.3839129168
274,2022-02-03,1123435.683992827
275,2022-02-04,1130102.5159249827
276,2022-02-07,1136043.0595439095
277,2022-02-08,1154905.1435844065
278,2022-02-09,1173815.8450873457
279,2022-02-10,1161087.4609993482
280,2022-02-11,1132808.1173264491
281,2022-02-14,1108222.5644838281
282,2022-02-15,1132109.1400339035
283,2022-02-16,1149248.8929237658
284,2022-02-17,1126248.6471756578
285,2022-02-18,1138913.9870790965
286,2022-02-22,1106405.20836587
287,2022-02-23,1073812.8383547617
288,2022-02-24,1125089.81636455
289,2022-02-25,1156029.3689330735
290,2022-02-28,1144744.9336901954
291,2022-03-01,1109001.6134092659
292,2022-03-02,1151789.4585032677
293,2022-03-03,1147652.5278479238
294,2022-03-04,1115777.3699681323
295,2022-03-07,1027984.565625876
296,2022-03-08,1073268.1591799874
297,2022-03-09,1099348.2581028962
298,2022-03-10,1115031.9056118682
299,2022-03-11,1085681.4238592056
300,2022-03-14,1093823.7684175554
301,2022-03-15,1122178.144338904
302,2022-03-16,1173442.5073640808
303,2022-03-17,1188357.3199018387
304,2022-03-18,1196102.8725997412
305,2022-03-21,1173055.4476412435
306,2022-03-22,1176278.4633893094
307,2022-03-23,1144737.226903956
308,2022-03-24,1161492.7721973327
309,2022-03-25,1157154.9739345536
310,2022-03-28,1140577.4299087662
311,2022-03-29,1168360.4307778687
312,2022-03-30,1140227.6009552255
313,2022-03-31,1107095.933175673
314,2022-04-01,1103800.9758777719
315,2022-04-04,1112877.1123235459
316,2022-04-05,1116184.0159472604
317,2022-04-06,1095181.6090999702
318,2022-04-07,1073855.9914358752
319,2022-04-08,1089674.6990633854
320,2022-04-11,1110257.5053746342
321,2022-04-12,1117782.7196667255
322,2022-04-13,1147953.7163143163
323,2022-04-14,1147392.0468040565
324,2022-04-18,1143179.9034793058
325,2022-04-19,1175813.6768603693
326,2022-04-20,1165375.7363372636
327,2022-04-21,1146144.7096588444
328,2022-04-22,1103907.715823853
329,2022-04-25,1124928.585793736
330,2022-04-26,1105565.0122042089
331,2022-04-27,1114695.0740031246
332,2022-04-28,1145580.764132157
333,2022-04-29,1100864.5760759092
334,2022-05-02,1120108.252767571
335,2022-05-03,1103698.1853021132
336,2022-05-04,1135140.936784989
337,2022-05-05,1090613.5726731133
338,2022-05-06,1070330.5666850437
339,2022-05-09,1048844.2077542043
340,2022-05-10,1045933.7644014289
341,2022-05-11,987924.2562818837
342,2022-05-12,1014500.5903911253
343,2022-05-13,1024741.9589343762
344,2022-05-16,1006265.4016808228
345,2022-05-17,1017431.0795600362
346,2022-05-18,950578.8032472748
347,2022-05-19,960316.1961346116
348,2022-05-20,924826.7080454507
349,2022-05-23,931049.2405645624
350,2022-05-24,908476.4948431076
351,2022-05-25,956095.0098256841
352,2022-05-26,1066734.4401088262
353,2022-05-27,1082271.3995996937
354,2022-05-31,1088558.5139798876
355,2022-06-01,1078952.1565477967
356,2022-06-02,1093391.0387903962
357,2022-06-03,1093690.90162752
358,2022-06-06,1104572.555194897
359,2022-06-07,1113056.663723675
360,2022-06-08,1106369.935016396
361,2022-06-09,1097837.8604179195
362,2022-06-10,1069736.4477875943
363,2022-06-13,1014014.2393251176
364,2022-06-14,1036830.4600787873
365,2022-06-15,1040548.0337737794
366,2022-06-16,975000.0194260926
367,2022-06-17,976866.8019763569
368,2022-06-21,978737.7497629779
369,2022-06-22,966539.0309423909
370,2022-06-23,951805.7762246977
371,2022-06-24,1011174.3268517957
372,2022-06-27,987248.3238544925
373,2022-06-28,961379.075263291
374,2022-06-29,943990.9416801992
375,2022-06-30,927833.4850877157
376,2022-07-01,916721.5009836279
