,raw_actions
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,0.99609977
101,0.9873846
102,0.96874684
103,0.96578115
104,0.96475667
105,0.94571227
106,0.9509335
107,0.95419127
108,0.9606296
109,0.95599514
110,0.96801823
111,0.95531994
112,0.9388092
113,0.93303496
114,0.9161741
115,0.8880991
116,0.87852585
117,0.8858976
118,0.88672775
119,0.90397406
120,0.9135662
121,0.91596824
122,0.9293232
123,0.94534945
124,0.94747585
125,0.9564367
126,0.9723383
127,0.9734095
128,0.9640597
129,0.9796118
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,0.9962824
140,0.9794147
141,0.950996
142,0.9290578
143,0.892054
144,0.8522367
145,0.8254146
146,0.80379575
147,0.76349264
148,0.7234093
149,0.699833
150,0.6389538
151,0.6156933
152,0.6010957
153,0.53341657
154,0.471426
155,0.4313153
156,0.3562962
157,0.26887113
158,0.25466487
159,0.25183684
160,0.25003672
161,0.28040737
162,0.299603
163,0.3157508
164,0.33732116
165,0.35828146
166,0.36863783
167,0.37312704
168,0.39850575
169,0.39187264
170,0.40357432
171,0.38440546
172,0.36668262
173,0.32316405
174,0.2939879
175,0.25303102
176,0.2068131
177,0.1934411
178,0.17147222
179,0.15165095
180,0.10513621
181,0.08797676
182,0.10977439
183,0.11329941
