,date,account_value
0,2021-01-19,1000000.0
1,2021-01-20,1000000.0
2,2021-01-21,999996.9325095176
3,2021-01-22,1000038.1054910717
4,2021-01-25,1000112.1986414719
5,2021-01-26,1000159.2224506455
6,2021-01-27,1000165.9723907853
7,2021-01-28,1000165.9051235963
8,2021-01-29,1000165.9051235963
9,2021-02-01,1000165.9051235963
10,2021-02-02,1000165.9051235963
11,2021-02-03,1000165.9051235963
12,2021-02-04,1000165.9051235963
13,2021-02-05,1000165.9051235963
14,2021-02-08,1000165.9051235963
15,2021-02-09,1000141.669236641
16,2021-02-10,1000149.7046105195
17,2021-02-11,1000114.1051189232
18,2021-02-12,1000031.5499809418
19,2021-02-16,1000074.1177176152
20,2021-02-17,1000004.068645487
21,2021-02-18,999897.0692771055
22,2021-02-19,1000138.0037404158
23,2021-02-22,1000281.5426092246
24,2021-02-23,1000617.567008219
25,2021-02-24,1000311.1396130602
26,2021-02-25,1000571.0171222726
27,2021-02-26,1000271.5046052343
28,2021-03-01,1000331.4700437299
29,2021-03-02,1000284.649878439
30,2021-03-03,1000586.4908192502
31,2021-03-04,1000265.647661194
32,2021-03-05,1000256.9202584277
33,2021-03-08,1000951.8335556041
34,2021-03-09,1001237.059206298
35,2021-03-10,1001167.3754396087
36,2021-03-11,1001206.2030885421
37,2021-03-12,1001806.3118725101
38,2021-03-15,1002452.5325618107
39,2021-03-16,1002276.6033159668
40,2021-03-17,1002174.2075500061
41,2021-03-18,1001981.0114083702
42,2021-03-19,1001978.6840580971
43,2021-03-22,1001872.9338749764
44,2021-03-23,1001748.7979061577
45,2021-03-24,1001607.928268859
46,2021-03-25,1001913.8786544296
47,2021-03-26,1001908.7439821693
48,2021-03-29,1001658.3488926383
49,2021-03-30,1002039.9405625793
50,2021-03-31,1001794.3598951789
51,2021-04-01,1001446.443745658
52,2021-04-05,1001503.1809581253
53,2021-04-06,1001807.485881469
54,2021-04-07,1001673.4375560381
55,2021-04-08,1001843.5912087423
56,2021-04-09,1002373.2130804044
57,2021-04-12,1002673.3887856656
