,date,actions
0,2021-01-19,[83]
1,2021-01-20,[100]
2,2021-01-21,[81]
3,2021-01-22,[79]
4,2021-01-25,[79]
5,2021-01-26,[78]
6,2021-01-27,[79]
7,2021-01-28,[78]
8,2021-01-29,[74]
9,2021-02-01,[74]
10,2021-02-02,[70]
11,2021-02-03,[62]
12,2021-02-04,[59]
13,2021-02-05,[49]
14,2021-02-08,[67]
15,2021-02-09,[71]
16,2021-02-10,[76]
17,2021-02-11,[61]
18,2021-02-12,[60]
19,2021-02-16,[58]
20,2021-02-17,[75]
21,2021-02-18,[71]
22,2021-02-19,[73]
23,2021-02-22,[75]
24,2021-02-23,[56]
25,2021-02-24,[77]
26,2021-02-25,[57]
27,2021-02-26,[58]
28,2021-03-01,[57]
29,2021-03-02,[57]
30,2021-03-03,[56]
31,2021-03-04,[52]
32,2021-03-05,[69]
33,2021-03-08,[51]
34,2021-03-09,[55]
35,2021-03-10,[52]
36,2021-03-11,[52]
37,2021-03-12,[50]
38,2021-03-15,[51]
39,2021-03-16,[46]
40,2021-03-17,[37]
41,2021-03-18,[30]
42,2021-03-19,[20]
43,2021-03-22,[14]
44,2021-03-23,[16]
45,2021-03-24,[5]
46,2021-03-25,[7]
47,2021-03-26,[12]
48,2021-03-29,[20]
49,2021-03-30,[31]
50,2021-03-31,[44]
51,2021-04-01,[48]
52,2021-04-05,[58]
53,2021-04-06,[44]
54,2021-04-07,[43]
55,2021-04-08,[60]
56,2021-04-09,[43]
57,2021-04-12,[44]
58,2021-04-13,[43]
59,2021-04-14,[44]
60,2021-04-15,[44]
61,2021-04-16,[41]
62,2021-04-19,[39]
63,2021-04-20,[37]
64,2021-04-21,[34]
65,2021-04-22,[36]
66,2021-04-23,[51]
67,2021-04-26,[52]
68,2021-04-27,[35]
69,2021-04-28,[37]
70,2021-04-29,[53]
71,2021-04-30,[52]
72,2021-05-03,[36]
73,2021-05-04,[34]
74,2021-05-05,[32]
75,2021-05-06,[30]
76,2021-05-07,[31]
77,2021-05-10,[28]
78,2021-05-11,[29]
79,2021-05-12,[41]
80,2021-05-13,[40]
81,2021-05-14,[24]
82,2021-05-17,[30]
83,2021-05-18,[27]
84,2021-05-19,[25]
85,2021-05-20,[25]
86,2021-05-21,[25]
87,2021-05-24,[27]
88,2021-05-25,[21]
89,2021-05-26,[14]
90,2021-05-27,[8]
91,2021-05-28,[22]
92,2021-06-01,[25]
93,2021-06-02,[13]
94,2021-06-03,[14]
95,2021-06-04,[26]
96,2021-06-07,[12]
97,2021-06-08,[10]
98,2021-06-09,[9]
99,2021-06-10,[9]
100,2021-06-11,[7]
101,2021-06-14,[8]
102,2021-06-15,[21]
103,2021-06-16,[5]
104,2021-06-17,[6]
105,2021-06-18,[13]
106,2021-06-21,[16]
107,2021-06-22,[17]
108,2021-06-23,[21]
109,2021-06-24,[23]
110,2021-06-25,[11]
111,2021-06-28,[10]
112,2021-06-29,[10]
113,2021-06-30,[9]
114,2021-07-01,[7]
115,2021-07-02,[2]
116,2021-07-06,[13]
117,2021-07-07,[11]
118,2021-07-08,[11]
119,2021-07-09,[19]
120,2021-07-12,[23]
121,2021-07-13,[23]
122,2021-07-14,[24]
123,2021-07-15,[27]
124,2021-07-16,[30]
125,2021-07-19,[30]
126,2021-07-20,[31]
127,2021-07-21,[15]
128,2021-07-22,[31]
129,2021-07-23,[33]
130,2021-07-26,[42]
131,2021-07-27,[47]
132,2021-07-28,[48]
133,2021-07-29,[51]
134,2021-07-30,[32]
135,2021-08-02,[30]
136,2021-08-03,[49]
137,2021-08-04,[49]
138,2021-08-05,[30]
139,2021-08-06,[32]
140,2021-08-09,[33]
141,2021-08-10,[30]
142,2021-08-11,[30]
143,2021-08-12,[25]
144,2021-08-13,[20]
145,2021-08-16,[17]
146,2021-08-17,[11]
147,2021-08-18,[3]
148,2021-08-19,[2]
149,2021-08-20,[4]
150,2021-08-23,[-3]
151,2021-08-24,[-3]
152,2021-08-25,[-1]
153,2021-08-26,[-9]
154,2021-08-27,[-13]
155,2021-08-30,[-28]
156,2021-08-31,[-45]
157,2021-09-01,[-56]
158,2021-09-02,[-61]
159,2021-09-03,[-48]
160,2021-09-07,[-44]
161,2021-09-08,[-43]
162,2021-09-09,[-40]
