,raw_actions
0,0.8307807
1,1.0
2,0.8112578
3,0.7950203
4,0.7963033
5,0.78889847
6,0.7924107
7,0.7830995
8,0.7422682
9,0.74954927
10,0.70691943
11,0.6276454
12,0.59910464
13,0.49458194
14,0.67648834
15,0.71940774
16,0.76444006
17,0.6123605
18,0.60231656
19,0.58373576
20,0.75265074
21,0.7198459
22,0.7367486
23,0.7559016
24,0.5654616
25,0.7724943
26,0.57129383
27,0.58659154
28,0.5766386
29,0.5716266
30,0.5615824
31,0.5264157
32,0.6987636
33,0.5171324
34,0.55307895
35,0.520328
36,0.5204331
37,0.50747836
38,0.51145464
39,0.46975344
40,0.37475193
41,0.301216
42,0.2069567
43,0.14524141
44,0.16742423
45,0.053908672
46,0.07441309
47,0.12069845
48,0.20607336
49,0.3116425
50,0.44160327
51,0.4862309
52,0.5826277
53,0.44962505
54,0.43953818
55,0.60619235
56,0.43399468
57,0.44841075
58,0.4375518
59,0.44005764
60,0.44183737
61,0.41991848
62,0.3996877
63,0.379488
64,0.344497
65,0.36400765
66,0.51930654
67,0.523798
68,0.3591872
69,0.37007332
70,0.53254205
71,0.5237366
72,0.366205
73,0.3475917
74,0.3238245
75,0.3036093
76,0.31256688
77,0.28725815
78,0.2931896
79,0.4192658
80,0.40108293
81,0.24090627
82,0.30459982
83,0.27573776
84,0.2586431
85,0.25917274
86,0.25080478
87,0.27292627
88,0.21315603
89,0.14900024
90,0.08997139
91,0.22067243
92,0.25016338
93,0.13292705
94,0.145548
95,0.2623193
96,0.12223826
97,0.10981722
98,0.09058127
99,0.098327264
100,0.074542746
101,0.08118738
102,0.21516588
103,0.05699758
104,0.06382634
105,0.13091946
106,0.16876088
107,0.17550942
108,0.21003787
109,0.23439096
110,0.1118799
111,0.10884236
112,0.10061994
113,0.09836432
114,0.07232219
115,0.028333101
116,0.13637905
117,0.11817093
118,0.11491817
119,0.19157645
120,0.23177718
121,0.23327464
122,0.24953745
123,0.27426153
124,0.30219036
125,0.30859548
126,0.31315216
127,0.1544383
128,0.3113967
129,0.332067
130,0.42541587
131,0.47716576
132,0.48862267
133,0.51249397
134,0.32204586
135,0.3045691
136,0.49404374
137,0.49579436
138,0.3085183
139,0.3264858
140,0.33940062
141,0.30957884
142,0.3007233
143,0.25202024
144,0.20937233
145,0.17288913
146,0.115498126
147,0.03434685
148,0.020103078
149,0.04766124
150,-0.03188315
151,-0.03526575
152,-0.018201815
153,-0.09356247
154,-0.1383733
155,-0.28890187
156,-0.4570626
157,-0.5671873
158,-0.6142918
159,-0.48834568
160,-0.44784427
161,-0.4355381
162,-0.40435803
163,-0.39419976
164,-0.3755773
165,-0.35186833
166,-0.30166233
167,-0.28450507
168,-0.36798632
169,-0.25044388
170,-0.33571017
