,account_value
0,1000000.0
1,1000000.0
2,1000000.0
3,999976.2877464294
4,999972.493648529
5,1000131.8400382996
6,1000397.418308258
7,1000545.3835487366
8,1000545.3835487366
9,1000545.3835487366
10,1000545.3835487366
11,1000545.3835487366
12,1000545.3835487366
13,1000644.9753761292
14,1000644.9753761292
15,1000644.9753761292
16,1000644.9753761292
17,1000644.9753761292
18,1000644.9753761292
19,1000644.9753761292
20,1000644.9753761292
21,1000644.9753761292
22,1000644.9753761292
23,1000644.9753761292
24,1000706.6274642944
25,1000706.6274642944
26,1000706.6274642944
27,1000706.6274642944
28,1000706.6274642944
29,1000706.6274642944
30,1000706.6274642944
31,1000706.6274642944
32,1000706.6274642944
33,1000706.6274642944
34,1000706.6274642944
35,1000706.6274642944
36,1000706.6274642944
37,1000706.6274642944
38,1000706.6274642944
39,1000706.6274642944
40,1000706.6274642944
41,1000706.6274642944
42,1000706.6274642944
43,1000706.6274642944
44,1000706.6274642944
45,1000706.6274642944
46,1000546.3317871094
47,1000388.8814926147
48,1000721.8032836914
49,1000718.0088043213
50,1000561.5071296692
51,1000827.0855903625
52,1000718.9575195312
53,1000629.799079895
54,1000636.4385604858
55,1000636.4385604858
56,1000636.4385604858
57,1000636.4385604858
58,1000636.4385604858
59,1000636.4385604858
60,1000636.4385604858
61,1000636.4385604858
62,1000636.4385604858
63,1000636.4385604858
64,1000636.4385604858
65,1000636.4385604858
66,1000699.9879837036
67,1000699.9879837036
68,1000699.9879837036
69,1000699.9879837036
70,1000699.9879837036
71,1000699.9879837036
72,1000699.9879837036
73,1000699.9879837036
74,1000699.9879837036
75,1000699.9879837036
76,1000699.9879837036
77,1000699.9879837036
78,1000699.9879837036
79,1000699.9879837036
80,1000699.9879837036
81,1000699.9879837036
82,1000649.7177124023
83,1001070.8488464355
84,1001173.2864379883
85,1001173.2864379883
86,1001173.2864379883
87,1001173.2864379883
88,1001173.2864379883
89,1001173.2864379883
90,1001173.2864379883
91,1001173.2864379883
92,1001173.2864379883
93,1001173.2864379883
94,1001173.2864379883
95,1001173.2864379883
96,1001173.2864379883
97,1001173.2864379883
98,1001173.2864379883
99,1001173.2864379883
100,1001173.2864379883
101,1001173.2864379883
102,1001173.2864379883
103,1001173.2864379883
104,1001173.2864379883
105,1001192.255783081
106,1001192.255783081
107,1001153.3676147461
108,1001240.6288146973
109,1001285.2081298828
110,1001285.2081298828
111,1001285.2081298828
112,1001285.2081298828
113,1001285.2081298828
114,1001285.2081298828
115,1001285.2081298828
116,1001285.2081298828
117,1001285.2081298828
118,1001285.2081298828
119,1001181.8223953247
120,1001238.7315750122
121,1001580.1895141602
122,1001661.7599487305
123,1001609.5930099487
124,1001609.5930099487
125,1001609.5930099487
126,1001550.7865905762
127,1001393.3366775513
128,1001606.7475318909
129,1001743.3300971985
130,1001684.5238685608
131,1001684.5238685608
132,1001684.5238685608
133,1001684.5238685608
134,1001684.5238685608
135,1001684.5238685608
136,1001684.5238685608
137,1001684.5238685608
138,1001684.5238685608
139,1001684.5238685608
140,1001684.5238685608
141,1001684.5238685608
142,1001684.5238685608
143,1001684.5238685608
144,1001684.5238685608
145,1001684.5238685608
146,1001684.5238685608
147,1001684.5238685608
148,1001684.5238685608
149,1001665.5541419983
150,1002337.087726593
151,1002411.0699653625
152,1002411.0699653625
153,1002411.0699653625
154,1002411.0699653625
155,1002411.0699653625
156,1002411.0699653625
157,1002411.0699653625
158,1002411.0699653625
159,1002411.0699653625
160,1002411.0699653625
161,1002411.0699653625
162,1002430.988407135
163,1002430.988407135
164,1002469.8767662048
165,1002469.8767662048
166,1002512.5586509705
167,1002512.5586509705
168,1002512.5586509705
169,1002512.5586509705
170,1002512.5586509705
171,1002512.5586509705
172,1002512.5586509705
173,1002512.5586509705
174,1002512.5586509705
175,1002512.5586509705
176,1002512.5586509705
177,1002512.5586509705
178,1002512.5586509705
179,1002512.5586509705
180,1002540.2617454529
181,1002540.2617454529
182,1002540.2617454529
183,1002540.2617454529
184,1002540.2617454529
185,1002540.2617454529
186,1002540.2617454529
187,1002540.2617454529
188,1002540.2617454529
189,1002540.2617454529
190,1002540.2617454529
191,1002540.2617454529
192,1002540.2617454529
193,1002540.2617454529
194,1002540.2617454529
195,1002540.2617454529
196,1002540.2617454529
197,1002540.2617454529
198,1002540.2617454529
199,1002540.2617454529
200,1002540.2617454529
201,1002540.2617454529
202,1002540.2617454529
203,1002540.2617454529
204,1002540.2617454529
205,1002540.2617454529
206,1002540.2617454529
207,1002540.2617454529
208,1002540.2617454529
209,1002540.2617454529
210,1002540.2617454529
211,1002540.2617454529
212,1002540.2617454529
213,1002540.2617454529
214,1002540.2617454529
215,1002540.2617454529
216,1002540.2617454529
217,1002540.2617454529
218,1002540.2617454529
219,1002540.2617454529
220,1002540.2617454529
221,1002540.2617454529
222,1002414.1640663147
223,1002513.5140419006
224,1002427.5376319885
225,1002427.5376319885
226,1002427.5376319885
227,1002427.5376319885
228,1002427.5376319885
229,1002427.5376319885
230,1002427.5376319885
231,1002521.722316742
232,1002521.722316742
233,1002521.722316742
234,1002521.722316742
235,1002521.722316742
236,1002521.722316742
237,1002521.722316742
238,1002521.722316742
239,1002521.722316742
240,1002521.722316742
241,1002521.722316742
242,1002521.722316742
243,1002521.722316742
244,1002521.722316742
245,1002521.722316742
246,1002521.722316742
247,1002521.722316742
248,1002521.722316742
249,1002521.722316742
250,1002521.722316742
251,1002521.722316742
252,1002521.722316742
253,1002521.722316742
254,1002521.722316742
255,1002521.722316742
256,1002521.722316742
257,1002436.1872673035
258,1003230.0276756287
259,1003208.8841438293
260,1003208.8841438293
261,1003208.8841438293
262,1003208.8841438293
263,1003208.8841438293
264,1003208.8841438293
265,1003208.8841438293
266,1003208.8841438293
267,1003208.8841438293
268,1003208.8841438293
269,1003208.8841438293
270,1003208.8841438293
271,1003208.8841438293
272,1003208.8841438293
273,1003208.8841438293
274,1003208.8841438293
275,1003208.8841438293
276,1003208.8841438293
277,1003208.8841438293
278,1003208.8841438293
279,1003208.8841438293
280,1003402.058506012
281,1003402.058506012
282,1003402.058506012
283,1003402.058506012
284,1003402.058506012
285,1003402.058506012
286,1003402.058506012
287,1003402.058506012
288,1003569.2841529846
289,1003569.2841529846
290,1003569.2841529846
291,1003569.2841529846
292,1003569.2841529846
293,1003569.2841529846
294,1003569.2841529846
295,1003569.2841529846
296,1003569.2841529846
297,1003569.2841529846
298,1003569.2841529846
299,1003569.2841529846
300,1003569.2841529846
301,1003569.2841529846
302,1003569.2841529846
303,1003569.2841529846
304,1003569.2841529846
305,1003569.2841529846
306,1003569.2841529846
307,1003569.2841529846
308,1003569.2841529846
309,1003569.2841529846
310,1003569.2841529846
311,1003569.2841529846
312,1003569.2841529846
313,1003569.2841529846
314,1003569.2841529846
315,1003569.2841529846
316,1003569.2841529846
317,1003569.2841529846
318,1003569.2841529846
319,1003569.2841529846
320,1003569.2841529846
321,1003569.2841529846
322,1003569.2841529846
323,1003569.2841529846
324,1003569.2841529846
325,1003569.2841529846
326,1003569.2841529846
327,1003569.2841529846
328,1003569.2841529846
329,1003569.2841529846
330,1003569.2841529846
331,1003569.2841529846
332,1003559.6089363098
333,1003174.530506134
334,1003438.6675834656
