,raw_actions
0,-0.8389381
1,-0.8389381
2,-0.8389381
3,-0.8389381
4,-0.8389381
5,-0.8389381
6,-0.8389381
7,-0.8389381
8,-0.8389381
9,-0.8389381
10,-0.8389381
11,-0.8389381
12,-0.8389381
13,-0.8389381
14,-0.8389381
15,-0.8389381
16,-0.8389381
17,-0.8389381
18,-0.8389381
19,-0.8389381
20,-0.8389381
21,-0.8389381
22,-0.8389381
23,-0.8389381
24,-0.8389381
25,-0.8389381
26,-0.8389381
27,-0.8389381
28,-0.8389381
29,-0.8389381
30,-0.8389381
31,-0.8389381
32,-0.8389381
33,-0.8389381
34,-0.8389381
35,-0.8389381
36,-0.8389381
37,-0.8389381
38,-0.8389381
39,-0.8389381
40,-0.8389381
41,-0.8389381
42,-0.8389381
43,-0.8389381
44,-0.8389381
45,-0.8389381
46,-0.8389381
47,-0.8389381
48,-0.8389381
49,-0.8389381
50,-0.8389381
51,-0.8389381
52,-0.8389381
53,-0.8389381
54,-0.8389381
55,-0.8389381
56,-0.8389381
57,-0.8389381
58,-0.8389381
59,-0.8389381
60,-0.8389381
61,-0.8389381
62,-0.8389381
63,-0.8389381
64,-0.8389381
65,-0.8389381
66,-0.8389381
67,-0.8389381
68,-0.8389381
69,-0.8389381
70,-0.8389381
71,-0.8389381
72,-0.8389381
73,-0.8389381
74,-0.8389381
75,-0.8389381
76,-0.8389381
77,-0.8389381
78,-0.8389381
79,-0.8389381
80,-0.8389381
81,-0.8389381
82,-0.8389381
83,-0.8389381
84,-0.8389381
85,-0.8389381
86,-0.8389381
87,-0.8389381
88,-0.8389381
89,-0.8389381
90,-0.8389381
91,-0.8389381
92,-0.8389381
93,-0.8389381
94,-0.8389381
95,-0.8389381
96,-0.8389381
97,-0.8389381
98,-0.8389381
99,-0.8389381
100,-0.8389381
101,-0.8389381
102,-0.8389381
103,-0.8389381
104,-0.8389381
105,-0.8389381
106,-0.8389381
107,-0.8389381
108,-0.8389381
109,-0.8389381
110,-0.8389381
111,-0.8389381
112,-0.8389381
113,-0.8389381
114,-0.8389381
115,-0.8389381
116,-0.8389381
117,-0.8389381
118,-0.8389381
119,-0.8389381
120,-0.8389381
121,-0.8389381
