,date,account_value
0,1990-01-02,1000000.0
1,1990-01-03,999881.8879765439
2,1990-01-04,999547.556498468
3,1990-01-05,999951.817809501
4,1990-01-08,1000281.9765749704
5,1990-01-09,1000099.3045182277
6,1990-01-10,1000077.4260677565
7,1990-01-11,1000077.4260677565
8,1990-01-12,1000077.4260677565
9,1990-01-15,1000077.4260677565
10,1990-01-16,1000077.4260677565
11,1990-01-17,1000077.4260677565
12,1990-01-18,1000077.4260677565
13,1990-01-19,1000077.4260677565
14,1990-01-22,1000077.4260677565
15,1990-01-23,1000077.4260677565
16,1990-01-24,1000077.4260677565
17,1990-01-25,1000077.4260677565
18,1990-01-26,1000077.4260677565
19,1990-01-29,1000077.4260677565
20,1990-01-30,1000077.4260677565
21,1990-01-31,1000077.4260677565
22,1990-02-01,1000077.4260677565
23,1990-02-02,1000077.4260677565
24,1990-02-05,1000077.4260677565
25,1990-02-06,1000077.4260677565
26,1990-02-07,1000077.4260677565
27,1990-02-08,1000077.4260677565
28,1990-02-09,1000077.4260677565
29,1990-02-12,1000077.4260677565
30,1990-02-13,1000077.4260677565
31,1990-02-14,1000077.4260677565
32,1990-02-15,1000077.4260677565
33,1990-02-16,1000077.4260677565
34,1990-02-20,1000077.4260677565
35,1990-02-21,1000077.4260677565
36,1990-02-22,1000077.4260677565
37,1990-02-23,1000077.4260677565
38,1990-02-26,1000077.4260677565
39,1990-02-27,1000077.4260677565
40,1990-02-28,1000077.4260677565
41,1990-03-01,1000077.4260677565
42,1990-03-02,1000077.4260677565
43,1990-03-05,1000077.4260677565
44,1990-03-06,1000077.4260677565
45,1990-03-07,1000077.4260677565
46,1990-03-08,1000077.4260677565
47,1990-03-09,1000077.4260677565
48,1990-03-12,1000077.4260677565
49,1990-03-13,1000077.4260677565
50,1990-03-14,1000077.4260677565
51,1990-03-15,1000077.4260677565
52,1990-03-16,1000077.4260677565
53,1990-03-19,1000077.4260677565
54,1990-03-20,1000077.4260677565
55,1990-03-21,1000077.4260677565
56,1990-03-22,1000077.4260677565
57,1990-03-23,1000077.4260677565
58,1990-03-26,1000077.4260677565
59,1990-03-27,1000077.4260677565
60,1990-03-28,1000077.4260677565
61,1990-03-29,1000077.4260677565
62,1990-03-30,1000077.4260677565
63,1990-04-02,1000077.4260677565
64,1990-04-03,1000077.4260677565
65,1990-04-04,1000077.4260677565
66,1990-04-05,1000077.4260677565
67,1990-04-06,1000077.4260677565
68,1990-04-09,1000077.4260677565
69,1990-04-10,1000077.4260677565
70,1990-04-11,1000077.4260677565
71,1990-04-12,1000077.4260677565
72,1990-04-16,1000077.4260677565
73,1990-04-17,1000077.4260677565
74,1990-04-18,1000077.4260677565
75,1990-04-19,1000077.4260677565
76,1990-04-20,1000077.4260677565
77,1990-04-23,1000077.4260677565
78,1990-04-24,1000077.4260677565
79,1990-04-25,1000077.4260677565
80,1990-04-26,1000077.4260677565
81,1990-04-27,1000077.4260677565
82,1990-04-30,1000077.4260677565
83,1990-05-01,1000077.4260677565
84,1990-05-02,1000077.4260677565
85,1990-05-03,1000077.4260677565
86,1990-05-04,1000077.4260677565
87,1990-05-07,1000077.4260677565
88,1990-05-08,1000077.4260677565
89,1990-05-09,1000077.4260677565
90,1990-05-10,1000077.4260677565
91,1990-05-11,1000077.4260677565
92,1990-05-14,1000077.4260677565
93,1990-05-15,1000077.4260677565
94,1990-05-16,1000077.4260677565
95,1990-05-17,1000077.4260677565
96,1990-05-18,1000077.4260677565
97,1990-05-21,1000077.4260677565
98,1990-05-22,1000077.4260677565
99,1990-05-23,1000077.4260677565
100,1990-05-24,1000077.4260677565
101,1990-05-25,1000077.4260677565
102,1990-05-29,1000077.4260677565
103,1990-05-30,1000077.4260677565
104,1990-05-31,1000077.4260677565
105,1990-06-01,1000077.4260677565
106,1990-06-04,1000077.4260677565
107,1990-06-05,1000077.4260677565
108,1990-06-06,1000077.4260677565
109,1990-06-07,1000077.4260677565
110,1990-06-08,1000077.4260677565
111,1990-06-11,1000077.4260677565
112,1990-06-12,1000077.4260677565
113,1990-06-13,1000077.4260677565
114,1990-06-14,1000077.4260677565
115,1990-06-15,1000077.4260677565
116,1990-06-18,1000077.4260677565
117,1990-06-19,1000077.4260677565
118,1990-06-20,1000077.4260677565
119,1990-06-21,1000077.4260677565
120,1990-06-22,1000077.4260677565
121,1990-06-25,1000077.4260677565
122,1990-06-26,1000077.4260677565
123,1990-06-27,1000077.4260677565
124,1990-06-28,1000077.4260677565
125,1990-06-29,1000077.4260677565
126,1990-07-02,1000077.4260677565
127,1990-07-03,1000077.4260677565
128,1990-07-05,1000077.4260677565
129,1990-07-06,1000077.4260677565
130,1990-07-09,1000077.4260677565
131,1990-07-10,1000077.4260677565
132,1990-07-11,1000077.4260677565
133,1990-07-12,1000077.4260677565
134,1990-07-13,1000077.4260677565
135,1990-07-16,1000077.4260677565
136,1990-07-17,1000077.4260677565
137,1990-07-18,1000077.4260677565
138,1990-07-19,1000077.4260677565
139,1990-07-20,1000077.4260677565
140,1990-07-23,1000077.4260677565
141,1990-07-24,1000077.4260677565
142,1990-07-25,1000077.4260677565
143,1990-07-26,1000077.4260677565
144,1990-07-27,1000077.4260677565
145,1990-07-30,1000077.4260677565
146,1990-07-31,1000077.4260677565
147,1990-08-01,1000077.4260677565
