,account_value
0,1000000.0
1,1000000.0
2,1000000.0
3,1000000.0
4,1000000.0
5,1000000.0
6,1000000.0
7,1000000.0
8,1000000.0
9,1000000.0
10,1000000.0
11,1000000.0
12,1000000.0
13,1000000.0
14,1000000.0
15,1000000.0
16,1000000.0
17,1000000.0
18,1000000.0
19,1000000.0
20,1000000.0
21,1000000.0
22,1000000.0
23,1000000.0
24,1000000.0
25,1000000.0
26,1000000.0
27,1000000.0
28,1000000.0
29,1000000.0
30,1000000.0
31,1000000.0
32,1000000.0
33,1000000.0
34,1000000.0
35,1000076.015098346
36,1000076.015098346
37,1000076.015098346
38,1000076.015098346
39,1000076.015098346
40,1000076.015098346
41,1000076.015098346
42,1000076.015098346
43,1000076.015098346
44,1000076.015098346
45,1000076.015098346
46,1000076.015098346
47,1000076.015098346
48,1000076.015098346
49,1000076.015098346
50,1000076.015098346
51,1000076.015098346
52,1000076.015098346
53,1000076.015098346
54,1000076.015098346
55,1000076.015098346
56,1000076.015098346
57,1000076.015098346
58,1000076.015098346
59,1000076.015098346
60,1000076.015098346
61,1000076.015098346
62,1000076.015098346
63,1000076.015098346
64,1000076.015098346
65,1000076.015098346
66,1000076.015098346
67,1000076.015098346
68,1000076.015098346
69,1000076.015098346
70,1000192.5460932243
71,1000192.5460932243
72,1000192.5460932243
73,1000192.5460932243
74,1000192.5460932243
75,1000192.5460932243
76,1000192.5460932243
77,1000192.5460932243
78,1000192.5460932243
79,1000192.5460932243
80,1000192.5460932243
81,1000192.5460932243
82,1000192.5460932243
83,1000192.5460932243
84,1000192.5460932243
85,1000192.5460932243
86,1000192.5460932243
87,1000192.5460932243
88,1000192.5460932243
89,1000447.2634418013
90,1000447.2634418013
91,1000447.2634418013
92,1000447.2634418013
93,1000447.2634418013
94,1000447.2634418013
95,1000447.2634418013
96,1000447.2634418013
97,1000447.2634418013
98,1000693.2038753397
99,1000693.2038753397
100,1000954.694103138
101,1000954.694103138
102,1000954.694103138
103,1000954.694103138
104,1000954.694103138
105,1000954.694103138
106,1001021.9900742777
107,1001021.9900742777
108,1001021.9900742777
109,1001021.9900742777
110,1001021.9900742777
111,1001021.9900742777
112,1001021.9900742777
113,1001021.9900742777
114,1001138.1902847973
115,1001138.1902847973
116,1001138.1902847973
117,1001138.1902847973
118,1001138.1902847973
119,1001138.1902847973
120,1001138.1902847973
121,1001138.1902847973
122,1001138.1902847973
123,1001138.1902847973
124,1001138.1902847973
125,1001138.1902847973
126,1001138.1902847973
127,1001138.1902847973
128,1001138.1902847973
129,1001138.1902847973
130,1001138.1902847973
131,1001138.1902847973
132,1001138.1902847973
133,1001138.1902847973
134,1001172.9454627869
135,1001172.9454627869
136,1001172.9454627869
137,1001172.9454627869
138,1001172.9454627869
139,1001336.8752790383
140,1001336.8752790383
141,1001336.8752790383
142,1001336.8752790383
143,1001571.0756293569
144,1001571.0756293569
145,1001571.0756293569
146,1001571.0756293569
147,1001571.0756293569
148,1001571.0756293569
149,1001571.0756293569
150,1001571.0756293569
151,1001571.0756293569
152,1001571.0756293569
153,1001571.0756293569
154,1001571.0756293569
155,1001571.0756293569
156,1001571.0756293569
157,1001571.0756293569
158,1001571.0756293569
159,1001571.0756293569
160,1001571.0756293569
161,1001571.0756293569
162,1001571.0756293569
163,1001571.0756293569
164,1001571.0756293569
165,1001571.0756293569
166,1001571.0756293569
167,1001571.0756293569
168,1001571.0756293569
169,1001571.0756293569
170,1001571.0756293569
171,1001571.0756293569
172,1001571.0756293569
173,1001571.0756293569
174,1001571.0756293569
175,1001646.8346195302
176,1001646.8346195302
177,1001646.8346195302
178,1001646.8346195302
179,1001698.1937071426
180,1001698.1937071426
181,1001698.1937071426
182,1001698.1937071426
183,1001698.1937071426
184,1001698.1937071426
185,1001698.1937071426
186,1001698.1937071426
187,1001874.5664055214
188,1001874.5664055214
189,1001874.5664055214
190,1001874.5664055214
191,1001874.5664055214
192,1001874.5664055214
193,1001874.5664055214
194,1001874.5664055214
195,1001874.5664055215
196,1001708.2856966732
197,1002143.9798672157
198,1002126.2408196704
199,1002126.2408196704
200,1002126.2408196704
201,1002126.2408196704
202,1002126.2408196704
203,1002126.2408196704
204,1002126.2408196704
205,1002126.2408196704
206,1002126.2408196704
207,1002263.429941057
208,1002263.429941057
209,1002263.429941057
210,1002263.429941057
211,1002263.429941057
212,1002263.429941057
213,1002263.429941057
214,1002263.429941057
215,1002263.429941057
216,1002263.429941057
217,1002263.429941057
218,1002263.429941057
219,1002263.429941057
220,1002263.429941057
221,1002263.429941057
222,1002263.429941057
223,1002263.429941057
224,1002263.429941057
225,1002263.429941057
226,1002263.429941057
227,1002263.429941057
228,1002263.429941057
229,1002263.429941057
230,1002522.8779272689
231,1002522.8779272689
232,1002498.3472064848
233,1002498.3472064848
234,1002498.3472064848
235,1002498.3472064848
236,1002498.3472064848
237,1002498.3472064848
238,1002866.4216922763
239,1002866.4216922763
240,1002866.4216922763
241,1002866.4216922763
242,1002866.4216922763
243,1003085.0323538474
244,1003085.0323538474
245,1003085.0323538474
246,1003209.5512366841
247,1003209.5512366841
248,1003209.5512366841
249,1003209.5512366841
250,1003209.5512366841
251,1003440.8868549002
252,1003440.8868549002
253,1003440.8868549002
254,1003440.8868549002
255,1003440.8868549002
256,1003440.8868549002
257,1003440.8868549002
258,1003440.8868549002
259,1003440.8868549002
260,1003440.8868549002
261,1003440.8868549002
262,1003440.8868549002
263,1003440.8868549002
264,1003687.9165636128
265,1003687.9165636128
266,1003953.0167115667
267,1003953.0167115667
268,1003953.0167115667
269,1003953.0167115667
270,1004036.587266832
271,1004036.587266832
272,1004036.587266832
273,1004036.587266832
274,1004036.587266832
275,1004036.587266832
276,1004036.587266832
277,1004036.587266832
278,1004036.587266832
279,1004036.587266832
280,1004036.587266832
281,1004036.587266832
282,1004036.587266832
283,1004036.587266832
284,1004036.587266832
285,1004036.587266832
286,1004036.587266832
287,1004036.587266832
288,1004036.587266832
289,1004036.587266832
290,1004036.587266832
291,1004036.587266832
292,1004036.587266832
293,1004036.587266832
294,1004036.587266832
295,1004036.587266832
296,1004036.587266832
297,1004036.587266832
298,1004036.587266832
299,1004268.3931533388
300,1004268.3931533388
301,1004268.3931533388
302,1004268.3931533388
303,1004504.0214846219
304,1004504.0214846219
305,1004504.0214846218
306,1004650.8264677615
307,1004650.8264677615
308,1004650.8264677615
309,1004650.8264677615
310,1004650.8264677615
311,1004650.8264677615
312,1004650.8264677615
313,1004650.8264677615
314,1004650.8264677615
315,1004543.1743539702
316,1004711.5425739271
317,1004573.506721101
318,1004605.3548600465
319,1004580.9948420579
320,1004580.9948420579
321,1004580.9948420579
322,1004580.9948420579
323,1004580.9948420579
324,1004580.9948420579
325,1004580.9948420579
326,1004580.9948420579
327,1004580.9948420579
328,1004580.9948420579
329,1004580.9948420579
330,1004580.9948420579
331,1004620.554684099
332,1004620.554684099
333,1004620.554684099
334,1004620.554684099
335,1004620.554684099
336,1004643.797860323
337,1004643.797860323
338,1004643.797860323
339,1004643.797860323
340,1004663.0583672767
341,1004663.0583672767
342,1004663.0583672767
343,1004663.0583672767
344,1004744.2272006406
345,1004744.2272006406
346,1004901.9571989606
347,1004901.9571989606
348,1005021.6113574118
