,date,account_value
0,2018-11-05,1000000.0
1,2018-11-06,1000036.5977710724
2,2018-11-07,1000147.1564731598
3,2018-11-08,999900.6570610047
4,2018-11-09,999857.2396713257
5,2018-11-12,998818.8299163819
6,2018-11-13,999103.6309307099
7,2018-11-14,999394.3806488038
8,2018-11-15,999583.0909915925
9,2018-11-16,1000047.7729701997
10,2018-11-19,998354.4073436739
11,2018-11-20,997339.2092597963
12,2018-11-21,997996.1046331407
13,2018-11-23,997355.943930626
14,2018-11-26,999732.8303283693
15,2018-11-27,999414.5497016908
16,2018-11-28,999603.2869926454
17,2018-11-29,997169.0134738924
18,2018-11-30,997435.8862205506
19,2018-12-03,1001631.7394809724
20,2018-12-04,999428.3765327454
21,2018-12-06,1000265.1157260896
22,2018-12-07,999975.8257686616
23,2018-12-10,1001352.539258957
24,2018-12-11,1003797.1973575593
25,2018-12-12,1008293.7504501344
26,2018-12-13,1007354.1238632203
27,2018-12-14,1007296.5336273195
28,2018-12-17,1000460.9504726412
29,2018-12-18,1001356.6114551546
30,2018-12-19,998923.2333351137
31,2018-12-20,987635.942227173
32,2018-12-21,981297.0085884096
33,2018-12-24,978456.2818685534
34,2018-12-26,985967.6337556841
35,2018-12-27,986034.7693578722
36,2018-12-28,985131.9013578417
37,2018-12-31,986276.056381798
38,2019-01-02,986539.1812221529
39,2019-01-03,983338.3014123918
40,2019-01-04,991175.5063796999
41,2019-01-07,996871.5088771823
42,2019-01-08,998800.3710319522
43,2019-01-09,1000732.1943126682
44,2019-01-10,1004424.9699840549
45,2019-01-11,1003431.6554908756
46,2019-01-14,1001128.3684909825
47,2019-01-15,1004180.1386627201
48,2019-01-16,1001536.8403247837
49,2019-01-17,1003395.5798664097
50,2019-01-18,1005492.3047847751
51,2019-01-22,1000286.9754501346
52,2019-01-23,993627.746879578
53,2019-01-24,997016.6567537311
54,2019-01-25,1003979.5006975177
55,2019-01-28,1005241.2081796649
56,2019-01-29,996893.885780144
57,2019-01-30,1000424.7156919482
58,2019-01-31,1007961.5073923114
59,2019-02-01,1005775.1351873401
60,2019-02-04,1010271.8161874774
61,2019-02-05,1012891.424049187
62,2019-02-06,1011585.9927255634
63,2019-02-07,990414.5728803638
64,2019-02-08,985355.4992280963
65,2019-02-11,986782.4937648777
66,2019-02-12,987835.4697578434
67,2019-02-13,992723.4404701237
68,2019-02-14,991632.3165376667
69,2019-02-15,993492.2236963277
70,2019-02-19,996429.1012304311
71,2019-02-20,994437.9448974613
72,2019-02-21,990042.8035028462
73,2019-02-22,996974.7191486362
74,2019-02-25,999043.5532299045
75,2019-02-26,991690.357663155
76,2019-02-27,987127.2537639622
77,2019-02-28,989973.2192260746
78,2019-03-01,988722.1424161915
79,2019-03-04,987771.0737861637
80,2019-03-05,992008.0292793277
81,2019-03-06,990141.9145376208
82,2019-03-07,984562.8476755145
83,2019-03-08,983895.8363086703
84,2019-03-11,990864.8316677096
85,2019-03-12,993326.7362371448
86,2019-03-13,994527.6149881366
87,2019-03-14,992175.497599602
88,2019-03-15,993844.3825145722
89,2019-03-18,992595.2659467699
90,2019-03-19,994302.1627532962
91,2019-03-20,1006129.0288105014
92,2019-03-21,1006493.7802333835
93,2019-03-22,1010303.5178142551
94,2019-03-25,1006258.212945557
95,2019-03-26,1010719.9655422214
96,2019-03-27,1003228.6346397403
97,2019-03-28,1008948.408119965
98,2019-03-29,1009043.1420551304
99,2019-04-01,1014583.8298851018
100,2019-04-02,1017680.4996181492
101,2019-04-03,1024040.1354061131
102,2019-04-04,1024444.6678344731
103,2019-04-05,1027531.2572677616
104,2019-04-08,1028983.7789199833
105,2019-04-09,1031920.2801025395
106,2019-04-10,1027782.772572327
107,2019-04-11,1025960.3171646122
108,2019-04-12,1023688.827853394
109,2019-04-15,1027391.3925167088
110,2019-04-16,1024637.9215168004
111,2019-04-17,1024856.4805980687
112,2019-04-18,1023957.0548149113
113,2019-04-22,1023840.5906753545
114,2019-04-23,1085169.1638519291
115,2019-04-24,1079645.1921161655
116,2019-04-25,1070245.2471858982
117,2019-04-26,1072464.383118439
118,2019-04-29,1085558.5233207708
119,2019-04-30,1087101.558031464
120,2019-05-01,1079657.5798488623
121,2019-05-02,1087639.649002457
122,2019-05-03,1098005.6353866584
123,2019-05-06,1090990.5591403968
124,2019-05-07,1071022.528572083
125,2019-05-08,1070518.702811814
126,2019-05-09,1073160.8332759864
127,2019-05-10,1068838.9523380285
128,2019-05-13,1045027.0995254521
129,2019-05-14,1049409.4424938206
130,2019-05-15,1062015.765362931
131,2019-05-16,1067251.9453792577
132,2019-05-17,1056688.1254501347
133,2019-05-20,1052030.1707412726
134,2019-05-21,1056310.7003057485
135,2019-05-22,1071266.8062313467
136,2019-05-23,1052390.8747257618
137,2019-05-24,1055395.9296102338
138,2019-05-28,1053739.3981424682
139,2019-05-29,1047631.0752703061
140,2019-05-30,1051677.0784039502
141,2019-05-31,1041838.0993639417
142,2019-06-03,1013423.7121291853
143,2019-06-04,1037192.6930640913
144,2019-06-05,1040486.181185887
145,2019-06-06,1044235.6239570356
146,2019-06-07,1063708.8671748855
147,2019-06-10,1059462.2224997755
148,2019-06-11,1053124.124004292
149,2019-06-12,1057271.6647203413
150,2019-06-13,1040112.4553871236
151,2019-06-14,1037255.4220111929
152,2019-06-17,1041635.9831813893
153,2019-06-18,1044828.1633010947
154,2019-06-19,1039311.5955540242
155,2019-06-20,1026206.0312740866
156,2019-06-21,1019686.6356812062
157,2019-06-24,1028426.9951237263
158,2019-06-25,1014909.3875324789
159,2019-06-26,1022812.9155323568
160,2019-06-27,1015329.7941059652
161,2019-06-28,1017728.44354139
162,2019-07-01,1036739.4784588399
163,2019-07-02,1039005.8205624166
164,2019-07-03,1035739.3861157002
165,2019-07-05,1039510.9966019215
166,2019-07-08,1042810.1842011036
167,2019-07-09,1062743.3518765036
168,2019-07-10,1059731.061775643
169,2019-07-11,1055355.6388569418
170,2019-07-12,1066007.7559231343
171,2019-07-15,1080295.7345192495
172,2019-07-16,1068483.2300217215
173,2019-07-17,1063487.3552616658
174,2019-07-18,1062791.0094101492
175,2019-07-19,1047288.7940388265
176,2019-07-22,1061471.4810905997
177,2019-07-23,1067104.1977150503
178,2019-07-24,1081802.9925766531
179,2019-07-25,1070932.5687038961
180,2019-07-26,1131836.3840385976
181,2019-07-29,1131471.9437923972
182,2019-07-30,1122410.793792397
183,2019-07-31,1146267.0588055197
184,2019-08-01,1142050.616188866
185,2019-08-02,1156225.1263741078
186,2019-08-05,1110306.129849297
187,2019-08-06,1127985.4070507588
188,2019-08-07,1135654.0121952596
189,2019-08-08,1142046.0055257878
190,2019-08-09,1131829.3012113655
191,2019-08-12,1111872.3864796148
192,2019-08-13,1137252.152065331
193,2019-08-14,1115015.0065698705
194,2019-08-15,1104233.4081380162
195,2019-08-16,1113695.5143492704
196,2019-08-19,1135400.65536694
197,2019-08-20,1146878.2574360892
198,2019-08-21,1156841.1345654149
199,2019-08-22,1144668.7775293775
200,2019-08-23,1121424.5810986143
201,2019-08-26,1130113.5369719968
202,2019-08-27,1143976.8728843771
203,2019-08-28,1134831.06556144
204,2019-08-29,1150979.0571034704
205,2019-08-30,1154177.1672206847
206,2019-09-03,1140323.8906642348
207,2019-09-04,1168529.3324492383
208,2019-09-05,1207762.5093143813
209,2019-09-06,1210196.6588092847
210,2019-09-09,1186507.376185002
211,2019-09-10,1165799.8355320287
212,2019-09-11,1165797.5432820288
213,2019-09-12,1164765.0167523962
214,2019-09-13,1152987.0602569815
215,2019-09-16,1155676.080838185
216,2019-09-17,1165626.493837548
217,2019-09-18,1165624.6777574774
218,2019-09-19,1159172.7422619825
219,2019-09-20,1165424.123810025
220,2019-09-23,1168554.6629319196
221,2019-09-24,1127551.7138441436
222,2019-09-25,1150167.1209483
223,2019-09-26,1148908.582162747
224,2019-09-27,1126039.572601479
225,2019-09-30,1122887.4542327276
226,2019-10-01,1102906.008186566
227,2019-10-02,1091319.5362571226
228,2019-10-03,1097648.6115575454
229,2019-10-04,1105260.0644652601
230,2019-10-07,1114583.5387997022
231,2019-10-08,1091219.976006352
232,2019-10-09,1086960.8541663862
233,2019-10-10,1087812.3407037398
234,2019-10-11,1105354.8399341474
235,2019-10-14,1092915.9637508132
236,2019-10-15,1103660.9349708755
237,2019-10-16,1095686.0228666884
238,2019-10-17,1089203.2842077147
239,2019-10-18,1075771.8099630552
240,2019-10-21,1099670.9864971167
241,2019-10-22,1071772.0872511107
242,2019-10-23,1072206.6417500158
243,2019-10-24,894904.1328310401
244,2019-10-25,884981.6910135656
245,2019-10-28,879664.3460817725
246,2019-10-29,874990.3304459006
247,2019-10-30,875210.7805597691
248,2019-10-31,877676.4954512028
249,2019-11-01,869783.4828491599
250,2019-11-04,879516.974571076
251,2019-11-05,874055.654776612
252,2019-11-06,867885.0968895346
253,2019-11-07,856640.0343803794
254,2019-11-08,860324.0058643728
255,2019-11-11,863329.6995838552
256,2019-11-12,856586.2743042379
257,2019-11-13,857283.6753326802
258,2019-11-14,852826.5848127754
259,2019-11-15,861299.1901823431
260,2019-11-18,866970.5797708898
261,2019-11-19,865780.4988853842
262,2019-11-20,859339.9339708716
263,2019-11-21,874181.6970646292
264,2019-11-22,879949.0325615316
265,2019-11-25,892258.9650873572
266,2019-11-26,902437.9266970068
267,2019-11-27,907546.8848410039
268,2019-11-29,901188.5822464377
269,2019-12-02,889159.4268638998
270,2019-12-03,878067.0160627752
271,2019-12-04,878806.3260525137
272,2019-12-05,879797.0687969595
273,2019-12-06,883535.5052818685
274,2019-12-09,884033.3099798589
275,2019-12-10,874727.4058355718
276,2019-12-11,892646.9287248999
277,2019-12-12,886308.1237249761
278,2019-12-13,888594.9676073462
279,2019-12-16,903406.8666586308
280,2019-12-17,896480.1968304068
281,2019-12-18,921705.2550461203
282,2019-12-19,930747.0976128011
283,2019-12-20,933338.253991738
284,2019-12-23,941147.9211223989
285,2019-12-24,942974.680144158
286,2019-12-26,946383.048174706
287,2019-12-27,944272.2969391256
288,2019-12-30,930518.6698345571
289,2019-12-31,931046.3389851004
290,2020-01-02,937703.8839851767
291,2020-01-03,916841.1466305166
292,2020-01-06,920059.1259590536
293,2020-01-07,944304.70307087
294,2020-01-08,958093.3336800009
295,2020-01-09,962704.3925220877
296,2020-01-10,950714.0840107352
297,2020-01-13,948249.9318386465
298,2020-01-14,951814.2821510702
299,2020-01-15,963103.6259483724
300,2020-01-16,989637.5576404958
301,2020-01-17,990466.5006058126
302,2020-01-21,986843.458866158
303,2020-01-22,984884.0483936697
304,2020-01-23,981235.0264404684
305,2020-01-24,961531.5159691244
306,2020-01-27,949948.5712788015
307,2020-01-28,968084.7959797293
308,2020-01-29,974054.5664410024
309,2020-01-30,962348.5777962118
310,2020-01-31,941149.3877197653
311,2020-02-03,958104.5141056448
312,2020-02-04,983771.4595013051
313,2020-02-05,967270.5623340993
314,2020-02-06,1112689.1008446126
315,2020-02-07,1072713.2299034507
316,2020-02-10,1041717.4787437826
317,2020-02-11,1032737.4694664389
318,2020-02-12,1065760.9717857747
319,2020-02-13,1076479.1008446126
320,2020-02-14,1069237.1008446126
321,2020-02-18,1102550.3450462727
322,2020-02-19,1123117.5985252766
323,2020-02-20,1131228.6031639485
324,2020-02-21,1109792.3450462727
325,2020-02-24,1039689.7275841146
326,2020-02-25,1019991.4787437826
327,2020-02-26,1003190.0962059408
328,2020-02-27,956261.8566429525
329,2020-02-28,961765.8473656088
330,2020-03-02,1037661.9764244467
331,2020-03-03,1011880.4741051107
332,2020-03-04,1042876.2252647787
333,2020-03-05,1013039.2206261068
334,2020-03-06,969297.4787437826
335,2020-03-09,940329.4787437826
336,2020-03-10,993920.3450462729
337,2020-03-11,906726.6031639486
338,2020-03-12,775791.2851555258
339,2020-03-13,848503.455006003
340,2020-03-16,696416.205006003
341,2020-03-17,709162.5252231356
342,2020-03-18,637319.4184840914
343,2020-03-19,699023.3641723391
344,2020-03-20,693808.9905856844
345,2020-03-23,715246.0439552065
346,2020-03-24,748850.0795348879
347,2020-03-25,752326.3285926576
348,2020-03-26,765072.7040637728
349,2020-03-27,732627.455006003
350,2020-03-30,741318.13290441
351,2020-03-31,711480.0430129763
352,2020-04-01,675558.4896434542
353,2020-04-02,666867.8117450472
354,2020-04-03,668895.63290441
355,2020-04-06,722198.5973247286
356,2020-04-07,741897.5261653657
357,2020-04-08,807077.7761653657
358,2020-04-09,804470.5617450472
359,2020-04-13,788247.8819621798
360,2020-04-14,809395.2939552065
361,2020-04-15,796938.6151145694
362,2020-04-16,769128.3463824984
363,2020-04-17,773473.7405856844
364,2020-04-20,782454.1151145694
365,2020-04-21,745953.1684840914
366,2020-04-22,823879.7939552065
367,2020-04-23,807077.7761653657
368,2020-04-24,832570.4718536135
369,2020-04-27,869071.4184840914
370,2020-04-28,834018.955006003
371,2020-04-29,900647.63290441
372,2020-04-30,830832.3473247286
373,2020-05-01,806498.38290441
374,2020-05-04,817796.2752231356
375,2020-05-05,813161.2396434542
376,2020-05-06,801863.3473247286
377,2020-05-07,833439.5617450472
378,2020-05-08,867043.5973247286
379,2020-05-11,860091.0439552065
380,2020-05-12,844447.7574332951
381,2020-05-13,814899.3641723391
382,2020-05-14,827356.0430129763
383,2020-05-15,840102.4184840914
384,2020-05-18,858642.5608028171
385,2020-05-19,865595.1141723391
386,2020-05-20,933672.2752231356
387,2020-05-21,936858.88290441
388,2020-05-22,944970.1675418612
389,2020-05-26,985237.0598605868
390,2020-05-27,958006.2396434542
391,2020-05-28,915421.8295348879
392,2020-05-29,897171.3285926576
393,2020-06-01,923822.8108028171
394,2020-06-02,934541.3098605868
395,2020-06-03,1010440.1694263216
396,2020-06-04,976836.1338466402
397,2020-06-05,1010150.4175418612
398,2020-06-08,1061425.5608028169
399,2020-06-09,1040567.8454402682
400,2020-06-10,1017972.060802817
401,2020-06-11,956847.4531215426
402,2020-06-12,967566.0626872774
403,2020-06-15,988134.0261653658
404,2020-06-16,1003197.9194263216
405,2020-06-17,994796.88290441
406,2020-06-18,985816.4531215426
407,2020-06-19,967855.7040637728
408,2020-06-22,969593.8838466402
409,2020-06-23,953371.2040637728
410,2020-06-24,919187.7752231356
411,2020-06-25,908758.9727958437
412,2020-06-26,841550.8463824984
413,2020-06-29,854297.2218536135
414,2020-06-30,862987.955006003
415,2020-07-01,892536.2930129763
416,2020-07-02,894274.4727958437
417,2020-07-06,936858.88290441
418,2020-07-07,955688.777107596
419,2020-07-08,1025793.7040637728
420,2020-07-09,1034774.1338466402
421,2020-07-10,1025504.0626872774
422,2020-07-13,979732.9896434542
423,2020-07-14,995955.6694263216
424,2020-07-15,1033325.5954402682
425,2020-07-16,1022027.7031215426
426,2020-07-17,1037381.3482669588
427,2020-07-20,1073592.5982669587
428,2020-07-21,1072144.0598605867
429,2020-07-22,1070116.2387012236
430,2020-07-23,1113569.7387012236
431,2020-07-24,1087497.705006003
432,2020-07-27,1067509.024280905
433,2020-07-28,1060556.5261653657
434,2020-07-29,1076489.4540637727
435,2020-07-30,1063743.1338466401
436,2020-07-31,1054473.0626872773
437,2020-08-03,1054183.3108028169
438,2020-08-04,1053024.524280905
439,2020-08-05,1065770.955006003
440,2020-08-06,1091842.9887012236
441,2020-08-07,1075910.0608028169
442,2020-08-10,1084600.7387012236
443,2020-08-11,1079965.7031215427
444,2020-08-12,1084600.7387012236
445,2020-08-13,1095608.989643454
446,2020-08-14,1097926.5626872773
447,2020-08-17,1099954.3838466401
448,2020-08-18,1101113.0598605867
449,2020-08-19,1126605.8108028169
450,2020-08-20,1128633.6319621797
451,2020-08-21,1137324.3098605867
452,2020-08-24,1172956.277107596
453,2020-08-25,1174694.3463824983
454,2020-08-26,1190047.9915279145
455,2020-08-27,1170059.3108028169
456,2020-08-28,1189758.239643454
457,2020-08-31,1175563.4915279145
458,2020-09-01,1192075.8126872773
459,2020-09-02,1265077.595440268
460,2020-09-03,1205980.9194263215
461,2020-09-04,1154995.417541861
462,2020-09-08,1106327.4887012236
463,2020-09-09,1146015.0982669587
464,2020-09-10,1128343.9905856843
465,2020-09-11,1127764.5973247285
466,2020-09-14,1123129.561745047
467,2020-09-15,1132399.63290441
468,2020-09-16,1147173.774280905
469,2020-09-17,1139931.524280905
470,2020-09-18,1163106.8126872773
471,2020-09-21,1155864.5626872773
472,2020-09-22,1237846.7752231355
473,2020-09-23,1313166.2415279145
474,2020-09-24,1249724.0608028169
475,2020-09-25,1270002.38290441
476,2020-09-28,1278982.8126872773
477,2020-09-29,1296074.527107596
478,2020-09-30,1289121.9184840913
479,2020-10-01,1352853.7405856843
480,2020-10-02,1336051.667541861
481,2020-10-05,1370524.8482669587
482,2020-10-06,1320987.774280905
483,2020-10-07,1328809.417541861
484,2020-10-08,1332865.0598605867
485,2020-10-09,1329678.5626872773
486,2020-10-12,1397755.6684840913
487,2020-10-13,1361544.4184840913
488,2020-10-14,1331996.0252231355
489,2020-10-15,1333444.4531215427
490,2020-10-16,1327071.3482669587
491,2020-10-19,1327360.989643454
492,2020-10-20,1342714.524280905
493,2020-10-21,1455404.027107596
494,2020-10-22,1456562.7031215427
495,2020-10-23,1461197.7387012236
496,2020-10-26,1419482.4184840913
497,2020-10-27,1485242.061745047
498,2020-10-28,1405866.9531215427
499,2020-10-29,1518846.0973247285
500,2020-10-30,1198159.2761653657
