,date,account_value
0,2018-11-19,1000000.0
1,2018-11-20,1000000.0
2,2018-11-21,1000000.5189411449
3,2018-11-23,999995.3344534283
4,2018-11-26,1000040.705382515
5,2018-11-27,1000030.9074828033
6,2018-11-28,1000037.4108808441
7,2018-11-29,999936.9180994873
8,2018-11-30,999949.5548337784
9,2018-12-03,1000185.4271858025
10,2018-12-04,1000045.0541795922
11,2018-12-06,1000103.2026431084
12,2018-12-07,1000082.137559826
13,2018-12-10,1000182.0746649896
14,2018-12-11,1000359.3207346384
15,2018-12-12,1000684.879446541
16,2018-12-13,1000621.3380891191
17,2018-12-14,1000617.6114445116
18,2018-12-17,1000277.5907554247
19,2018-12-18,1000312.0951619722
20,2018-12-19,1000239.1615397073
21,2018-12-20,999987.3429818155
22,2018-12-21,999874.1314191781
23,2018-12-24,999825.1114931069
24,2018-12-26,999986.0182262613
25,2018-12-27,999987.166516163
26,2018-12-28,999944.8677961465
27,2018-12-31,1000012.5734464991
28,2019-01-02,1000031.1415567934
29,2019-01-03,999721.3080612775
30,2019-01-04,1000637.9174664632
31,2019-01-07,1001414.9517239857
32,2019-01-08,1001709.8758916265
33,2019-01-09,1002033.646044817
34,2019-01-10,1002695.9576655141
35,2019-01-11,1002508.2697740117
36,2019-01-14,1002059.6591440641
37,2019-01-15,1002666.7010323316
38,2019-01-16,1002134.4111693173
39,2019-01-17,1002510.176697424
40,2019-01-18,1002933.3673989469
41,2019-01-22,1001891.5476915647
42,2019-01-23,1000570.2322329464
43,2019-01-24,1001239.8490409127
44,2019-01-25,1002610.6142541085
45,2019-01-28,1002858.8486587793
46,2019-01-29,1001216.2042090875
47,2019-01-30,1001910.0334928095
48,2019-01-31,1003385.0530565798
49,2019-02-01,1002957.835809746
50,2019-02-04,1003836.9220097734
51,2019-02-05,1004346.4611517298
52,2019-02-06,1004096.4247612116
53,2019-02-07,1000094.6298742831
54,2019-02-08,999147.9954624904
55,2019-02-11,999413.2645437071
56,2019-02-12,999608.8499866431
57,2019-02-13,1000523.4208844397
58,2019-02-14,1000317.0450313018
59,2019-02-15,1000670.8968328307
60,2019-02-19,1001236.772655844
61,2019-02-20,1000845.3734062999
62,2019-02-21,999965.4981373542
63,2019-02-22,1001379.458432173
64,2019-02-25,1001808.0808269026
65,2019-02-26,1000257.2620006374
66,2019-02-27,999280.2659303573
67,2019-02-28,999896.4897010444
68,2019-03-01,999621.0556423973
69,2019-03-04,999408.1137836269
70,2019-03-05,1000367.4495285152
71,2019-03-06,999937.6663593544
72,2019-03-07,998635.25862435
73,2019-03-08,998476.1621744502
74,2019-03-11,1000155.9996998257
75,2019-03-12,1000758.8263018287
76,2019-03-13,1001057.3642320236
77,2019-03-14,1000460.4720269531
78,2019-03-15,1000888.131243277
79,2019-03-18,1000562.3155562786
80,2019-03-19,1001011.0663425334
81,2019-03-20,1004163.1446416172
82,2019-03-21,1004260.5584084782
83,2019-03-22,1005293.0779636235
84,2019-03-25,1004190.5594020505
85,2019-03-26,1005409.5419209905
86,2019-03-27,1003359.4502465252
87,2019-03-28,1004927.2276922954
88,2019-03-29,1004953.2288081021
89,2019-04-01,1006469.473074307
90,2019-04-02,1007314.521460671
91,2019-04-03,1009042.7043915791
92,2019-04-04,1009152.5126072546
93,2019-04-05,1009980.5800931707
94,2019-04-08,1010367.328966767
95,2019-04-09,1011140.6507351843
96,2019-04-10,1010065.6015773169
97,2019-04-11,1009598.439105393
98,2019-04-12,1009024.4024877325
99,2019-04-15,1009946.9529820257
100,2019-04-16,1009272.0782020421
101,2019-04-17,1009325.0391484075
102,2019-04-18,1009111.5893049055
103,2019-04-22,1009084.5200630919
104,2019-04-23,1023195.6438447691
105,2019-04-24,1021949.3717021948
106,2019-04-25,1019875.9737492835
107,2019-04-26,1020350.7947837188
108,2019-04-29,1023065.717407971
109,2019-04-30,1023372.2451291014
110,2019-05-01,1021937.8738953902
111,2019-05-02,1023403.7724856535
112,2019-05-03,1025210.4340354583
113,2019-05-06,1024049.2546550414
114,2019-05-07,1020937.9304771087
115,2019-05-08,1020860.8737826964
116,2019-05-09,1021220.314198651
117,2019-05-10,1020662.2349498412
118,2019-05-13,1017810.7674653174
119,2019-05-14,1018295.1550442664
120,2019-05-15,1019592.4552612006
121,2019-05-16,1020089.8792954641
122,2019-05-17,1019152.2629866415
123,2019-05-20,1018769.089643746
124,2019-05-21,1019087.3230372245
125,2019-05-22,1020111.1134717033
126,2019-05-23,1018929.4200942771
127,2019-05-24,1019096.6917879836
128,2019-05-28,1019010.3745503356
129,2019-05-29,1018735.9844239166
130,2019-05-30,1018890.4011702468
131,2019-05-31,1018559.3895924727
132,2019-06-03,1017760.7701372458
133,2019-06-04,1018309.5971529776
134,2019-06-05,1018368.2015426642
135,2019-06-06,1018419.3213984687
136,2019-06-07,1018614.1792008902
137,2019-06-10,1018587.1774630515
138,2019-06-11,1018576.5232172934
139,2019-06-12,1018575.8162273108
140,2019-06-13,1018575.8162273108
141,2019-06-14,1018575.8162273108
142,2019-06-17,1018575.8162273108
143,2019-06-18,1018575.8162273108
144,2019-06-19,1018575.8162273108
145,2019-06-20,1018575.8162273108
146,2019-06-21,1018575.8162273108
147,2019-06-24,1018575.8162273108
148,2019-06-25,1018575.8162273108
149,2019-06-26,1018575.8162273108
150,2019-06-27,1018575.8162273108
151,2019-06-28,1018575.8162273108
152,2019-07-01,1018575.8162273108
153,2019-07-02,1018575.8162273108
154,2019-07-03,1018575.8162273108
155,2019-07-05,1018575.8162273108
156,2019-07-08,1018575.8162273108
157,2019-07-09,1018575.8162273108
158,2019-07-10,1018575.8162273108
159,2019-07-11,1018575.8162273108
160,2019-07-12,1018575.8162273108
161,2019-07-15,1018575.8162273108
162,2019-07-16,1018575.8162273108
163,2019-07-17,1018575.8162273108
164,2019-07-18,1018575.8162273108
165,2019-07-19,1018575.8162273108
166,2019-07-22,1018575.8162273108
167,2019-07-23,1018575.8162273108
168,2019-07-24,1018575.8162273108
169,2019-07-25,1018575.8162273108
170,2019-07-26,1018575.8162273108
171,2019-07-29,1018575.8162273108
172,2019-07-30,1018575.8162273108
173,2019-07-31,1018575.8162273108
174,2019-08-01,1018575.8162273108
175,2019-08-02,1018575.8162273108
176,2019-08-05,1018575.8162273108
177,2019-08-06,1018575.8162273108
178,2019-08-07,1018575.8162273108
179,2019-08-08,1018575.8162273108
180,2019-08-09,1018575.8162273108
181,2019-08-12,1018575.8162273108
182,2019-08-13,1018575.8162273108
183,2019-08-14,1018575.8162273108
184,2019-08-15,1018575.8162273108
185,2019-08-16,1018575.8162273108
186,2019-08-19,1018575.8162273108
187,2019-08-20,1018575.8162273108
188,2019-08-21,1018575.8162273108
189,2019-08-22,1018575.8162273108
190,2019-08-23,1018575.8162273108
191,2019-08-26,1018575.8162273108
192,2019-08-27,1018575.8162273108
193,2019-08-28,1018575.8162273108
194,2019-08-29,1018575.8162273108
195,2019-08-30,1018575.8162273108
196,2019-09-03,1018575.8162273108
197,2019-09-04,1018575.8162273108
198,2019-09-05,1018575.8162273108
199,2019-09-06,1018575.8162273108
200,2019-09-09,1018575.8162273108
201,2019-09-10,1018575.8162273108
202,2019-09-11,1018575.8162273108
203,2019-09-12,1018575.8162273108
204,2019-09-13,1018575.8162273108
205,2019-09-16,1018575.8162273108
206,2019-09-17,1018575.8162273108
207,2019-09-18,1018575.8162273108
208,2019-09-19,1018575.8162273108
209,2019-09-20,1018575.8162273108
210,2019-09-23,1018575.8162273108
211,2019-09-24,1018575.8162273108
212,2019-09-25,1018575.8162273108
213,2019-09-26,1018575.8162273108
214,2019-09-27,1018575.8162273108
215,2019-09-30,1018575.8162273108
216,2019-10-01,1018575.8162273108
217,2019-10-02,1018575.8162273108
218,2019-10-03,1018575.8162273108
219,2019-10-04,1018575.8162273108
220,2019-10-07,1018575.8162273108
221,2019-10-08,1018575.8162273108
222,2019-10-09,1018575.8162273108
223,2019-10-10,1018575.8162273108
224,2019-10-11,1018575.8162273108
225,2019-10-14,1018575.8162273108
226,2019-10-15,1018575.8162273108
227,2019-10-16,1018575.8162273108
228,2019-10-17,1018575.8162273108
229,2019-10-18,1018575.8162273108
230,2019-10-21,1018575.8162273108
231,2019-10-22,1018575.8162273108
232,2019-10-23,1018575.8162273108
233,2019-10-24,1018575.8162273108
234,2019-10-25,1018575.8162273108
235,2019-10-28,1018575.8162273108
236,2019-10-29,1018575.8162273108
237,2019-10-30,1018575.8162273108
238,2019-10-31,1018575.8162273108
239,2019-11-01,1018575.8162273108
240,2019-11-04,1018584.6245520446
241,2019-11-05,1018567.7324169547
242,2019-11-06,1018533.0934238345
243,2019-11-07,1018439.0234682224
244,2019-11-08,1018478.1389790599
245,2019-11-11,1018518.7054194667
246,2019-11-12,1018399.9538914134
247,2019-11-13,1018412.086419688
248,2019-11-14,1018304.3969632918
249,2019-11-15,1018530.6861509138
250,2019-11-18,1018700.3674868055
251,2019-11-19,1018657.920427176
252,2019-11-20,1018417.0665029264
253,2019-11-21,1019014.1570344587
254,2019-11-22,1019263.6842240568
255,2019-11-25,1019839.0219933229
256,2019-11-26,1020346.0365721803
257,2019-11-27,1020614.1958497148
258,2019-11-29,1020258.642468659
259,2019-12-02,1019557.3109152837
260,2019-12-03,1018883.4520562101
261,2019-12-04,1018928.2451067358
262,2019-12-05,1018991.2665944678
263,2019-12-06,1019242.933309342
264,2019-12-09,1019276.078222386
265,2019-12-10,1018599.5763096204
266,2019-12-11,1019940.1554583479
267,2019-12-12,1019447.7669584013
268,2019-12-13,1019628.5556686674
269,2019-12-16,1020847.2674281126
270,2019-12-17,1020257.8526810079
271,2019-12-18,1022454.8533537337
272,2019-12-19,1023261.5772674071
273,2019-12-20,1023496.8968388487
274,2019-12-23,1024224.3314440809
275,2019-12-24,1024396.4918960081
276,2019-12-26,1024723.9970994078
277,2019-12-27,1024516.556664395
278,2019-12-30,1023155.4534673735
279,2019-12-31,1023207.3216009489
280,2020-01-02,1023877.6998509757
