,date,actions
0,2018-11-19,[0]
1,2018-11-20,[1]
2,2018-11-21,[9]
3,2018-11-23,[17]
4,2018-11-26,[17]
5,2018-11-27,[14]
6,2018-11-28,[12]
7,2018-11-29,[18]
8,2018-11-30,[19]
9,2018-12-03,[20]
10,2018-12-04,[20]
11,2018-12-06,[12]
12,2018-12-07,[8]
13,2018-12-10,[7]
14,2018-12-11,[7]
15,2018-12-12,[-5]
16,2018-12-13,[-13]
17,2018-12-14,[-24]
18,2018-12-17,[-25]
19,2018-12-18,[-25]
20,2018-12-19,[-20]
21,2018-12-20,[-12]
22,2018-12-21,[0]
23,2018-12-24,[16]
24,2018-12-26,[36]
25,2018-12-27,[54]
26,2018-12-28,[61]
27,2018-12-31,[70]
28,2019-01-02,[81]
29,2019-01-03,[94]
30,2019-01-04,[92]
31,2019-01-07,[86]
32,2019-01-08,[78]
33,2019-01-09,[66]
34,2019-01-10,[54]
35,2019-01-11,[49]
36,2019-01-14,[42]
37,2019-01-15,[30]
38,2019-01-16,[25]
39,2019-01-17,[18]
40,2019-01-18,[12]
41,2019-01-22,[11]
42,2019-01-23,[15]
43,2019-01-24,[16]
44,2019-01-25,[19]
45,2019-01-28,[20]
46,2019-01-29,[18]
47,2019-01-30,[15]
48,2019-01-31,[18]
49,2019-02-01,[20]
50,2019-02-04,[13]
51,2019-02-05,[4]
52,2019-02-06,[1]
53,2019-02-07,[7]
54,2019-02-08,[9]
55,2019-02-11,[19]
56,2019-02-12,[28]
57,2019-02-13,[30]
58,2019-02-14,[30]
59,2019-02-15,[36]
60,2019-02-19,[43]
61,2019-02-20,[47]
62,2019-02-21,[50]
63,2019-02-22,[46]
64,2019-02-25,[45]
65,2019-02-26,[45]
66,2019-02-27,[43]
67,2019-02-28,[44]
68,2019-03-01,[49]
69,2019-03-04,[51]
70,2019-03-05,[49]
71,2019-03-06,[51]
72,2019-03-07,[55]
73,2019-03-08,[58]
74,2019-03-11,[59]
75,2019-03-12,[61]
76,2019-03-13,[58]
77,2019-03-14,[56]
78,2019-03-15,[55]
79,2019-03-18,[56]
80,2019-03-19,[55]
81,2019-03-20,[50]
82,2019-03-21,[46]
83,2019-03-22,[39]
84,2019-03-25,[35]
85,2019-03-26,[31]
86,2019-03-27,[32]
87,2019-03-28,[26]
88,2019-03-29,[24]
89,2019-04-01,[19]
90,2019-04-02,[16]
91,2019-04-03,[10]
92,2019-04-04,[7]
93,2019-04-05,[2]
94,2019-04-08,[-1]
95,2019-04-09,[-6]
96,2019-04-10,[-10]
97,2019-04-11,[-15]
98,2019-04-12,[-16]
99,2019-04-15,[-18]
100,2019-04-16,[-18]
101,2019-04-17,[-19]
