,date,account_value
0,2018-11-19,1000000.0
1,2018-11-20,999904.8019924164
2,2018-11-21,1000011.6962213516
3,2018-11-23,999861.5352899551
4,2018-11-26,1000538.4228321075
5,2018-11-27,1000430.1412899017
6,2018-11-28,1000498.8796489715
7,2018-11-29,999494.6064353943
8,2018-11-30,999611.4776561736
9,2018-12-03,1001597.3318321228
10,2018-12-04,1000493.9673580169
11,2018-12-06,1000930.7088401794
12,2018-12-07,1000771.4161361693
13,2018-12-10,1001548.1311523437
14,2018-12-11,1002972.7887931823
15,2018-12-12,1005667.5770994605
16,2018-12-13,1005091.4811283912
17,2018-12-14,1005055.0214921455
18,2018-12-17,1000779.8219068603
19,2018-12-18,1001348.3554491806
20,2018-12-19,999773.7137448349
21,2018-12-20,992344.8219899215
22,2018-12-21,988104.6898877182
23,2018-12-24,986175.561793045
24,2018-12-26,991344.3146506348
25,2018-12-27,991390.2497675933
26,2018-12-28,990752.3817675628
27,2018-12-31,991567.9373576202
28,2019-01-02,991756.8625214614
29,2019-01-03,989425.182388214
30,2019-01-04,995184.7863041916
31,2019-01-07,999407.3894486466
32,2019-01-08,1000848.6525738755
33,2019-01-09,1002303.4750458756
34,2019-01-10,1005105.8505555192
35,2019-01-11,1004345.7373562852
36,2019-01-14,1002572.4503563921
37,2019-01-15,1004935.2189106981
38,2019-01-16,1002874.9197640459
39,2019-01-17,1004330.8622170488
40,2019-01-18,1005982.3850327531
41,2019-01-22,1001858.2561833421
42,2019-01-23,996555.8283406297
43,2019-01-24,999266.3368399659
44,2019-01-25,1004861.7798132935
45,2019-01-28,1005879.6877806702
46,2019-01-29,999111.7671603241
47,2019-01-30,1001985.3982043305
48,2019-01-31,1008144.1866698303
49,2019-02-01,1006350.017376236
50,2019-02-04,1010051.6983763734
51,2019-02-05,1012215.5059145966
52,2019-02-06,1011132.673620514
53,2019-02-07,993536.4310647278
54,2019-02-08,989317.9163571625
55,2019-02-11,990510.8316245347
56,2019-02-12,991393.5677798539
57,2019-02-13,995504.8169497758
58,2019-02-14,994583.9348843843
59,2019-02-15,996156.5615559847
60,2019-02-19,998646.5590089113
61,2019-02-20,996953.3213771135
62,2019-02-21,993207.2206319124
63,2019-02-22,999128.3374953538
64,2019-02-25,1000899.2508460312
65,2019-02-26,994588.7747922211
66,2019-02-27,990664.0712989122
67,2019-02-28,993116.3558680803
68,2019-03-01,992035.5188958436
69,2019-03-04,991212.1311587602
70,2019-03-05,994885.1659213334
71,2019-03-06,993263.7727219849
72,2019-03-07,988408.2241551667
73,2019-03-08,987826.3327071457
74,2019-03-11,993912.2081473618
75,2019-03-12,996065.5537720948
76,2019-03-13,997117.4731725006
77,2019-03-14,995052.6342416076
78,2019-03-15,996519.3606177596
79,2019-03-18,995419.2034005432
80,2019-03-19,996923.9396388321
81,2019-03-20,1007367.606507805
82,2019-03-21,1007689.7969565659
83,2019-03-22,1011063.294699791
84,2019-03-25,1007475.5101557999
85,2019-03-26,1011437.1814536363
86,2019-03-27,1004775.7733111649
87,2019-03-28,1009867.7866290361
88,2019-03-29,1009951.8782912523
89,2019-04-01,1014896.7287188799
90,2019-04-02,1017663.5569907457
91,2019-04-03,1023352.871642235
92,2019-04-04,1023714.8471553117
93,2019-04-05,1026481.4365923692
94,2019-04-08,1027783.9472195054
95,2019-04-09,1030418.2937404253
96,2019-04-10,1026706.6620843126
97,2019-04-11,1025071.7221606066
98,2019-04-12,1023033.8918703845
99,2019-04-15,1026355.9656927913
100,2019-04-16,1023885.6265028728
101,2019-04-17,1024081.7096618236
102,2019-04-18,1023274.706395489
103,2019-04-22,1023170.1099318354
104,2019-04-23,1078220.4969819146
105,2019-04-24,1073272.277798222
106,2019-04-25,1064875.876166752
107,2019-04-26,1066853.3169784588
108,2019-04-29,1078480.5505132182
109,2019-04-30,1079847.804525883
110,2019-05-01,1073280.4806961634
111,2019-05-02,1080302.1167022744
112,2019-05-03,1089384.2526451722
113,2019-05-06,1083268.8447185175
114,2019-05-07,1065938.9196393206
115,2019-05-08,1065504.3427538988
116,2019-05-09,1067783.025292107
117,2019-05-10,1064073.9180782472
118,2019-05-13,1043686.1581887514
119,2019-05-14,1047431.6747007181
120,2019-05-15,1058184.6477858545
121,2019-05-16,1062641.9103677254
122,2019-05-17,1053673.259218796
123,2019-05-20,1049726.8389139255
124,2019-05-21,1053351.0178552705
125,2019-05-22,1065999.296731369
126,2019-05-23,1050070.2866358643
127,2019-05-24,1052603.1261633378
128,2019-05-28,1051211.6009810525
129,2019-05-29,1046089.6070427971
130,2019-05-30,1049481.2719582329
131,2019-05-31,1041239.0745977135
132,2019-06-03,1017432.0407958947
133,2019-06-04,1037339.0389960366
134,2019-06-05,1040096.0695760003
135,2019-06-06,1043233.235565014
136,2019-06-07,1059510.2629387933
137,2019-06-10,1055967.3659611016
138,2019-06-11,1050689.9014572413
139,2019-06-12,1054139.0552508659
140,2019-06-13,1039890.511968174
141,2019-06-14,1037519.8335834885
142,2019-06-17,1041151.3290538864
143,2019-06-18,1043794.8512235222
144,2019-06-19,1039232.6645927086
145,2019-06-20,1028403.6088499641
146,2019-06-21,1023018.5679950371
147,2019-06-24,1030238.0340663338
148,2019-06-25,1019074.064165043
149,2019-06-26,1025603.0782449379
150,2019-06-27,1019420.5437150307
151,2019-06-28,1021402.6754085121
152,2019-07-01,1037117.2780733223
153,2019-07-02,1038990.4874138527
154,2019-07-03,1036291.3795285682
155,2019-07-05,1039406.163864006
156,2019-07-08,1042128.928010582
157,2019-07-09,1058566.2776127968
158,2019-07-10,1056085.908511646
159,2019-07-11,1052487.3834153633
160,2019-07-12,1061238.2740258141
161,2019-07-15,1072957.3657550164
162,2019-07-16,1063287.5902361795
163,2019-07-17,1059206.0199173624
164,2019-07-18,1058638.9757873267
165,2019-07-19,1046016.6378221207
166,2019-07-22,1057549.62440913
167,2019-07-23,1062125.3797628593
168,2019-07-24,1074044.5188717155
169,2019-07-25,1065250.6435747414
170,2019-07-26,1114419.5977620545
171,2019-07-29,1114127.767282631
172,2019-07-30,1106854.107282631
173,2019-07-31,1125956.2583093338
174,2019-08-01,1122592.3718413315
175,2019-08-02,1133875.885682045
176,2019-08-05,1097450.8040552675
177,2019-08-06,1111435.3023372993
178,2019-08-07,1117483.1178460275
179,2019-08-08,1122508.4282019006
180,2019-08-09,1114509.3387520334
181,2019-08-12,1098929.4202917977
182,2019-08-13,1118715.527854248
183,2019-08-14,1101410.179540348
184,2019-08-15,1093030.8110458488
185,2019-08-16,1100381.9320929146
186,2019-08-19,1117222.098051609
187,2019-08-20,1126109.831050476
188,2019-08-21,1133805.6261790313
189,2019-08-22,1124432.0323257484
190,2019-08-23,1106562.1910244636
191,2019-08-26,1113236.6611888923
192,2019-08-27,1123885.3908770753
193,2019-08-28,1116871.440634308
194,2019-08-29,1129241.424568573
195,2019-08-30,1131687.9224743957
196,2019-09-03,1121116.104122017
197,2019-09-04,1142614.375034973
198,2019-09-05,1172450.5566337432
199,2019-09-06,1174297.6341847838
200,2019-09-09,1156413.1443972625
201,2019-09-10,1140824.0778827476
202,2019-09-11,1140823.2128827476
203,2019-09-12,1140048.5664392356
204,2019-09-13,1131214.9439682236
205,2019-09-16,1133232.264526516
206,2019-09-17,1140694.1070367927
207,2019-09-18,1140692.8098367425
208,2019-09-19,1135853.3212037391
209,2019-09-20,1140543.3784428826
210,2019-09-23,1142892.5189934196
211,2019-09-24,1112141.2092883224
212,2019-09-25,1129122.7469617233
213,2019-09-26,1128175.6378186569
214,2019-09-27,1110957.6000085792
215,2019-09-30,1108581.306295208
216,2019-10-01,1093504.2197880936
217,2019-10-02,1084750.3109287492
218,2019-10-03,1089536.4328521995
219,2019-10-04,1095297.4026227074
220,2019-10-07,1102359.6836544916
221,2019-10-08,1084651.2946165963
222,2019-10-09,1081420.8561004295
223,2019-10-10,1082066.6154246484
224,2019-10-11,1095383.8539276314
225,2019-10-14,1085933.1068178904
226,2019-10-15,1094100.697377949
227,2019-10-16,1088040.51478838
228,2019-10-17,1083112.0515473788
229,2019-10-18,1072898.1082502748
230,2019-10-21,1091072.4165665628
231,2019-10-22,1069870.2332750626
232,2019-10-23,1070200.503951191
233,2019-10-24,935512.8954392434
234,2019-10-25,927970.9689069558
235,2019-10-28,923922.9827646066
236,2019-10-29,920359.6522865106
237,2019-10-30,920527.2111898232
238,2019-10-31,922411.1429410744
239,2019-11-01,916369.2722686578
240,2019-11-04,923828.5024644661
241,2019-11-05,919636.5414594461
242,2019-11-06,914894.0059055139
243,2019-11-07,906240.5622737694
244,2019-11-08,909078.2945648003
245,2019-11-11,911396.4126350213
246,2019-11-12,906186.8021976281
247,2019-11-13,906725.5295944023
248,2019-11-14,903273.3518991282
249,2019-11-15,909841.9140405464
250,2019-11-18,914243.9448396493
251,2019-11-19,913318.3099189568
252,2019-11-20,908305.7774255562
253,2019-11-21,919868.3560806084
254,2019-11-22,924366.3327880669
255,2019-11-25,933978.8741033364
256,2019-11-26,941936.4653974343
257,2019-11-27,945934.7282956888
258,2019-11-29,940951.5669116783
259,2019-12-02,931514.0203185845
260,2019-12-03,922801.6635526465
261,2019-12-04,923382.299910717
262,2019-12-05,924161.4778129386
263,2019-12-06,927106.5663154412
264,2019-12-09,927498.5986802864
265,2019-12-10,920149.6188867379
266,2019-12-11,934313.9566182899
267,2019-12-12,929297.4016183662
268,2019-12-13,931108.234693699
269,2019-12-16,942852.5141485021
270,2019-12-17,937353.8666534233
271,2019-12-18,957395.7072902488
272,2019-12-19,964586.4079273033
273,2019-12-20,966648.6522006798
274,2019-12-23,972871.6233665275
275,2019-12-24,974328.1540023612
276,2019-12-26,977048.9463836479
277,2019-12-27,975361.3248325158
278,2019-12-30,964357.9801490593
279,2019-12-31,964779.8668784904
280,2020-01-02,970115.1618785667
281,2020-01-03,953377.838067608
282,2020-01-06,955961.1430454066
283,2020-01-07,975446.6120868493
284,2020-01-08,986537.8615733909
285,2020-01-09,990249.7799239922
286,2020-01-10,980586.6443252373
287,2020-01-13,978598.502960186
288,2020-01-14,981475.2776233483
289,2020-01-15,990596.1322276879
290,2020-01-16,1012052.6287620354
291,2020-01-17,1012722.8880077172
292,2020-01-21,1009787.9145805321
293,2020-01-22,1008199.4629415283
294,2020-01-23,1005239.7127304077
295,2020-01-24,989248.3740849304
296,2020-01-27,979839.658585434
