,date,actions
0,2018-11-19,[100]
1,2018-11-20,[100]
2,2018-11-21,[100]
3,2018-11-23,[100]
4,2018-11-26,[100]
5,2018-11-27,[100]
6,2018-11-28,[100]
7,2018-11-29,[100]
8,2018-11-30,[100]
9,2018-12-03,[100]
10,2018-12-04,[100]
11,2018-12-06,[100]
12,2018-12-07,[100]
13,2018-12-10,[100]
14,2018-12-11,[99]
15,2018-12-12,[92]
16,2018-12-13,[83]
17,2018-12-14,[77]
18,2018-12-17,[93]
19,2018-12-18,[96]
20,2018-12-19,[100]
21,2018-12-20,[100]
22,2018-12-21,[100]
23,2018-12-24,[100]
24,2018-12-26,[100]
25,2018-12-27,[100]
26,2018-12-28,[100]
27,2018-12-31,[100]
28,2019-01-02,[100]
29,2019-01-03,[100]
30,2019-01-04,[100]
31,2019-01-07,[100]
32,2019-01-08,[100]
33,2019-01-09,[100]
34,2019-01-10,[100]
35,2019-01-11,[100]
36,2019-01-14,[100]
37,2019-01-15,[100]
38,2019-01-16,[100]
39,2019-01-17,[100]
40,2019-01-18,[100]
41,2019-01-22,[100]
42,2019-01-23,[100]
43,2019-01-24,[100]
44,2019-01-25,[100]
45,2019-01-28,[100]
46,2019-01-29,[100]
47,2019-01-30,[100]
48,2019-01-31,[100]
49,2019-02-01,[100]
50,2019-02-04,[100]
51,2019-02-05,[100]
52,2019-02-06,[96]
53,2019-02-07,[100]
54,2019-02-08,[100]
55,2019-02-11,[100]
56,2019-02-12,[100]
57,2019-02-13,[100]
58,2019-02-14,[100]
59,2019-02-15,[100]
60,2019-02-19,[100]
61,2019-02-20,[100]
62,2019-02-21,[100]
63,2019-02-22,[100]
64,2019-02-25,[100]
65,2019-02-26,[100]
66,2019-02-27,[100]
67,2019-02-28,[100]
68,2019-03-01,[100]
69,2019-03-04,[100]
70,2019-03-05,[100]
71,2019-03-06,[100]
72,2019-03-07,[100]
73,2019-03-08,[100]
74,2019-03-11,[100]
75,2019-03-12,[100]
76,2019-03-13,[100]
77,2019-03-14,[100]
78,2019-03-15,[100]
79,2019-03-18,[100]
80,2019-03-19,[100]
81,2019-03-20,[100]
82,2019-03-21,[100]
83,2019-03-22,[100]
84,2019-03-25,[100]
85,2019-03-26,[100]
86,2019-03-27,[100]
87,2019-03-28,[100]
88,2019-03-29,[100]
89,2019-04-01,[100]
90,2019-04-02,[100]
91,2019-04-03,[100]
92,2019-04-04,[97]
93,2019-04-05,[94]
94,2019-04-08,[93]
95,2019-04-09,[89]
96,2019-04-10,[90]
97,2019-04-11,[90]
98,2019-04-12,[91]
99,2019-04-15,[89]
100,2019-04-16,[90]
101,2019-04-17,[90]
102,2019-04-18,[92]
103,2019-04-22,[92]
104,2019-04-23,[70]
105,2019-04-24,[60]
106,2019-04-25,[56]
107,2019-04-26,[58]
108,2019-04-29,[58]
109,2019-04-30,[54]
110,2019-05-01,[53]
111,2019-05-02,[45]
112,2019-05-03,[39]
113,2019-05-06,[37]
114,2019-05-07,[52]
115,2019-05-08,[44]
116,2019-05-09,[45]
117,2019-05-10,[56]
118,2019-05-13,[63]
119,2019-05-14,[65]
120,2019-05-15,[61]
121,2019-05-16,[59]
122,2019-05-17,[61]
123,2019-05-20,[64]
124,2019-05-21,[64]
125,2019-05-22,[61]
126,2019-05-23,[66]
127,2019-05-24,[55]
128,2019-05-28,[57]
129,2019-05-29,[68]
130,2019-05-30,[67]
131,2019-05-31,[72]
132,2019-06-03,[79]
133,2019-06-04,[77]
134,2019-06-05,[78]
135,2019-06-06,[72]
136,2019-06-07,[60]
137,2019-06-10,[59]
138,2019-06-11,[58]
139,2019-06-12,[62]
140,2019-06-13,[75]
141,2019-06-14,[68]
142,2019-06-17,[69]
143,2019-06-18,[66]
144,2019-06-19,[71]
145,2019-06-20,[78]
146,2019-06-21,[82]
147,2019-06-24,[81]
148,2019-06-25,[86]
149,2019-06-26,[84]
150,2019-06-27,[86]
151,2019-06-28,[86]
152,2019-07-01,[81]
153,2019-07-02,[80]
154,2019-07-03,[73]
155,2019-07-05,[73]
156,2019-07-08,[73]
157,2019-07-09,[66]
158,2019-07-10,[65]
159,2019-07-11,[63]
160,2019-07-12,[60]
161,2019-07-15,[57]
162,2019-07-16,[56]
163,2019-07-17,[56]
164,2019-07-18,[57]
165,2019-07-19,[61]
166,2019-07-22,[66]
167,2019-07-23,[56]
168,2019-07-24,[50]
169,2019-07-25,[49]
170,2019-07-26,[42]
171,2019-07-29,[40]
172,2019-07-30,[39]
173,2019-07-31,[36]
174,2019-08-01,[37]
175,2019-08-02,[31]
176,2019-08-05,[35]
177,2019-08-06,[32]
178,2019-08-07,[30]
179,2019-08-08,[27]
180,2019-08-09,[26]
181,2019-08-12,[41]
182,2019-08-13,[39]
183,2019-08-14,[43]
184,2019-08-15,[46]
185,2019-08-16,[31]
186,2019-08-19,[29]
187,2019-08-20,[26]
188,2019-08-21,[25]
189,2019-08-22,[26]
190,2019-08-23,[29]
191,2019-08-26,[43]
192,2019-08-27,[30]
193,2019-08-28,[28]
194,2019-08-29,[24]
195,2019-08-30,[23]
196,2019-09-03,[37]
197,2019-09-04,[23]
198,2019-09-05,[20]
199,2019-09-06,[17]
200,2019-09-09,[17]
201,2019-09-10,[20]
202,2019-09-11,[21]
203,2019-09-12,[21]
204,2019-09-13,[33]
205,2019-09-16,[18]
206,2019-09-17,[30]
207,2019-09-18,[30]
208,2019-09-19,[31]
209,2019-09-20,[32]
210,2019-09-23,[19]
211,2019-09-24,[36]
212,2019-09-25,[35]
213,2019-09-26,[35]
214,2019-09-27,[37]
215,2019-09-30,[37]
216,2019-10-01,[44]
217,2019-10-02,[47]
218,2019-10-03,[48]
219,2019-10-04,[47]
220,2019-10-07,[42]
221,2019-10-08,[46]
222,2019-10-09,[49]
223,2019-10-10,[51]
224,2019-10-11,[48]
225,2019-10-14,[48]
226,2019-10-15,[36]
227,2019-10-16,[47]
228,2019-10-17,[49]
229,2019-10-18,[53]
230,2019-10-21,[39]
231,2019-10-22,[53]
232,2019-10-23,[53]
233,2019-10-24,[85]
234,2019-10-25,[100]
235,2019-10-28,[100]
236,2019-10-29,[100]
237,2019-10-30,[100]
238,2019-10-31,[100]
239,2019-11-01,[100]
240,2019-11-04,[100]
241,2019-11-05,[100]
242,2019-11-06,[100]
243,2019-11-07,[100]
244,2019-11-08,[100]
245,2019-11-11,[100]
246,2019-11-12,[100]
247,2019-11-13,[100]
248,2019-11-14,[100]
249,2019-11-15,[100]
