,raw_actions
0,0.6604024
1,0.70582616
2,0.81564045
3,0.8626623
4,1.0
5,1.0
6,0.7805433
7,0.8451389
8,0.9147512
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,0.45915455
19,1.0
20,0.46055746
21,0.53855324
22,0.58609545
23,0.8130095
24,0.9239019
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,0.69930863
43,0.7559266
44,1.0
45,1.0
46,0.7269253
47,0.7127274
48,1.0
49,0.7578349
50,1.0
51,1.0
52,1.0
53,0.626348
54,0.68658644
55,0.70457757
56,0.77537614
57,0.76090133
58,0.8013518
59,0.81812644
60,0.94032204
61,0.9950879
62,0.9822329
63,1.0
64,1.0
65,1.0
66,0.9061468
67,0.91267204
68,0.9304421
69,0.9617915
70,0.93773496
71,1.0
72,0.9734273
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,0.040420026
103,0.070457004
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,0.7917
112,0.724259
113,0.7263888
114,-0.8506075
115,0.7000187
116,0.71329904
117,-0.82946527
118,-0.8031517
119,-0.783905
120,-0.73613656
121,-0.6635934
122,-0.6448662
123,-0.61993086
124,-0.59238815
125,-0.53303313
126,-0.5267499
127,1.0
128,1.0
129,-0.53554654
130,-0.5277811
131,-0.492777
132,-0.48415852
133,-0.41832638
134,-0.36427456
135,-0.364807
136,1.0
137,1.0
138,1.0
139,1.0
140,-0.3942306
141,1.0
142,1.0
143,1.0
144,-0.4781717
145,-0.41677356
146,-0.38133353
147,-0.305081
148,-0.24231614
149,-0.24127878
150,-0.2109956
151,-0.16714136
152,-0.14794372
153,-0.116061315
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,-0.6362879
167,1.0
168,0.94075155
169,0.9399896
170,0.8733753
171,0.8049107
172,0.7536181
173,0.6023187
174,0.5539039
175,0.39238703
176,0.39300996
177,0.22993186
178,0.19316217
179,0.22203635
180,0.13495296
181,-1.0
182,-1.0
183,-1.0
184,-1.0
185,0.28798783
186,0.29861575
187,0.27750325
188,0.28867096
189,0.21762407
190,0.24955662
191,-1.0
192,0.25181586
193,0.19147408
194,0.12492081
195,0.10426818
196,-1.0
197,0.13627446
198,0.082748875
199,-0.017159507
200,-0.074664146
201,-0.11758947
202,-0.12880222
203,-0.10343146
204,-1.0
205,-0.19623028
206,-1.0
207,-1.0
208,-1.0
209,-1.0
210,-0.020936698
211,-1.0
212,-1.0
213,-1.0
214,-1.0
215,-1.0
216,-1.0
217,-1.0
218,-1.0
219,-1.0
220,-1.0
221,-0.9629147
222,-0.9357681
223,-0.89367986
224,-0.8681874
225,-0.8700792
226,0.6643329
227,-0.88980377
228,-0.85263723
229,-0.8338517
230,0.7484486
231,-0.83610225
232,-0.8141409
233,-0.68552876
234,-0.5287123
235,-0.30055064
236,-0.021936812
237,0.031565204
238,0.34571958
239,0.4806438
240,0.91590106
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,0.89519083
265,0.9199388
266,0.92996705
267,0.9544208
268,0.9419806
269,1.0
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,1.0
278,1.0
279,1.0
280,1.0
281,0.44715583
282,0.4462239
283,1.0
284,1.0
285,1.0
286,1.0
287,1.0
288,1.0
289,1.0
290,1.0
291,1.0
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,0.0072079077
300,0.045396112
301,0.07543131
302,0.10096772
303,0.1246112
304,1.0
305,1.0
306,1.0
307,1.0
308,1.0
309,1.0
310,1.0
311,0.8757389
312,0.84402615
313,0.8319683
314,0.8027258
315,-0.800902
316,-0.790658
317,-0.7180363
318,-0.66194963
319,-0.6216171
320,-0.5823822
321,-0.50027066
322,-0.422616
323,-0.33334738
324,-0.2506768
325,-0.15315974
326,-0.10311104
327,-0.14989804
328,0.052836865
329,0.14318265
330,0.5566551
331,0.76776695
332,1.0
333,1.0
334,1.0
335,1.0
336,1.0
337,1.0
338,1.0
339,1.0
340,1.0
341,1.0
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
349,1.0
350,1.0
351,1.0
352,1.0
353,1.0
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,1.0
364,1.0
365,0.96056724
366,0.88228846
367,1.0
368,0.8457496
369,1.0
370,0.91598797
371,0.92149454
372,1.0
373,1.0
374,1.0
375,1.0
376,1.0
377,1.0
378,1.0
379,1.0
380,1.0
381,1.0
382,1.0
383,1.0
384,1.0
385,1.0
386,1.0
387,1.0
388,1.0
389,1.0
390,1.0
391,1.0
392,0.97821015
393,1.0
394,-0.53260005
395,0.9078013
396,-0.5733869
397,-0.50344646
398,-0.3787197
399,-0.34245247
400,-0.31995755
401,-0.29002094
402,-0.1341589
403,-0.021333814
404,0.119287275
405,0.18196791
406,0.21488617
407,0.2757411
408,1.0
409,1.0
410,1.0
411,1.0
412,1.0
413,1.0
414,1.0
415,0.9623836
416,0.81178755
417,0.7426218
418,0.7143829
419,0.7084349
420,0.62967485
421,0.542565
422,0.49848574
423,0.4716547
424,0.42610234
425,0.4078079
426,-0.99240506
427,-1.0
428,-0.9779047
429,-0.9523864
430,0.50289106
431,0.47526264
432,0.4553839
433,0.46246767
434,0.4498747
435,0.41435456
436,0.38555604
437,0.31846505
438,0.31781572
439,0.27895084
440,0.25307232
441,0.20795292
442,0.1331468
443,0.089258626
444,0.015748188
445,-0.019875407
446,-0.09027085
447,-0.123663634
448,-0.15732805
449,-0.26749504
450,-0.27235585
451,-1.0
452,-1.0
453,-1.0
454,-1.0
455,-1.0
456,-1.0
457,-1.0
458,-1.0
459,-1.0
460,0.06528835
461,0.068174124
462,-0.0020036697
463,-0.10160205
464,-0.16991155
465,-0.30402732
466,-0.3296911
467,-0.40325713
468,-0.47456318
469,-0.59221077
470,-0.6979743
471,-0.70373
472,-0.7257482
473,-0.74341536
474,-0.77592885
475,-0.7608353
476,-0.84607375
477,-0.8318922
478,-1.0
479,-1.0
480,-1.0
481,-0.807776
482,-0.79880667
483,-0.8768754
484,-0.88681245
485,-0.9107902
486,-0.93483186
487,-0.95964825
488,-0.9709039
489,-1.0
490,-1.0
