,account_value
0,1000000.0
1,1000000.0
2,1000000.0
3,1000000.0
4,1000000.0
5,1000000.0
6,1000000.0
7,1000000.0
8,1000011.9998931885
9,999725.9998321533
10,999740.9999847412
11,999740.9999847412
12,999631.0001373291
13,999710.9996795654
14,999672.00050354
15,999911.9998931885
16,1000422.0001220703
17,1001501.9996643066
18,1001249.9992370605
19,1001233.9988708496
20,999038.0001068115
21,999286.0012054443
22,998719.0002441406
23,996535.0006103516
24,995544.9998855591
25,995029.0006637573
26,996576.0000228882
27,996588.0002975464
28,996463.0002975464
29,996587.0000839233
30,996607.9999923706
31,996444.0000534058
32,997032.0003509521
33,997310.0002288818
34,997447.9999542236
35,997628.0002593994
36,998048.0003356934
37,997915.9996032715
38,997565.9996032715
39,998086.0008239746
40,997591.0015106201
41,997970.9987640381
42,998433.0009460449
43,997209.0003967285
44,995544.9995040894
45,996313.0010604858
46,997732.0020675659
47,997962.0016098022
48,996322.9997634888
49,996942.9986953735
50,998113.0014419556
51,997742.9986953735
52,998567.9986953735
53,999083.9990615845
54,998811.00025177
55,994106.9993972778
56,993080.0006866455
57,993343.9998626709
58,993519.9996948242
59,994250.0011444092
60,994105.9995651245
61,994321.9999313354
62,994615.9999847412
63,994448.0007171631
64,994021.000289917
65,994780.9993743896
66,995032.9999923706
67,994053.0004501343
68,993393.0000305176
69,993763.000869751
70,993619.0010070801
71,993523.0003356934
72,993894.0008163452
73,993755.9999465942
74,993416.0007476807
75,993384.0007781982
76,993633.0007553101
77,993691.0005569458
78,993733.0003738403
79,993625.0009536743
80,993720.0002670288
81,993636.0006332397
82,993769.0010070801
83,994809.0003967285
84,994845.0012207031
85,995255.0010681152
86,994782.0007324219
87,995346.0021972656
88,994331.9988250732
89,995157.9990386963
90,995173.002243042
91,996068.998336792
92,996596.0006713867
93,997730.0025939941
94,997805.9970855713
95,998406.0031890869
96,998700.0019073486
97,999315.9992218018
98,998419.0006256104
99,998011.0050201416
100,997527.9983520508
101,998275.9986877441
102,997750.9986877441
103,997790.9996032715
104,997639.0033721924
105,997620.9995269775
106,1006767.0013427734
107,1005903.002166748
108,1004363.9995574951
109,1004743.9968109131
110,1007074.9980926514
111,1007361.0004425049
112,1006059.0026855469
113,1007379.0023803711
114,1008993.9994812012
115,1007968.0000305176
116,1005230.9989929199
117,1005167.0036315918
118,1005482.0022583008
119,1005006.0020446777
120,1002588.0012512207
121,1002996.0014343262
122,1004063.0027770996
123,1004463.0004882812
124,1003743.0011749268
125,1003463.0023956299
126,1003687.0021820068
127,1004353.0025482178
128,1003658.0009460449
129,1003746.0014343262
130,1003710.0017547607
131,1003622.0012664795
132,1003651.0013580322
133,1003651.0013580322
134,1003651.0013580322
135,1003651.0013580322
136,1003651.0013580322
137,1003651.0013580322
138,1003651.0013580322
139,1003651.0013580322
140,1003608.0013275146
141,1003608.0013275146
142,1003608.0013275146
143,1003608.0013275146
144,1003608.0013275146
145,1003608.0013275146
146,1003608.0013275146
147,1003608.0013275146
148,1003608.0013275146
149,1003608.0013275146
150,1003608.0013275146
151,1003608.0013275146
152,1003608.0013275146
153,1003608.0013275146
154,1003608.0013275146
155,1003608.0013275146
156,1003588.0012512207
157,1003634.001159668
158,1003654.0012359619
159,1003654.0012359619
160,1003636.0012054443
161,1003584.0007781982
162,1003647.0008850098
163,1003647.0008850098
164,1003647.0008850098
165,1003647.0008850098
166,1003647.0008850098
167,1003647.0008850098
168,1003647.0008850098
169,1003647.0008850098
170,1003647.0008850098
171,1003647.0008850098
172,1003647.0008850098
173,1003647.0008850098
174,1003597.0008850098
175,1003859.001159668
176,1003790.0012969971
177,1003944.0006256104
178,1003696.0006713867
179,1003696.0006713867
180,1003696.0006713867
181,1003696.0006713867
182,1003696.0006713867
183,1003696.0006713867
184,1003696.0006713867
185,1003696.0006713867
186,1003696.0006713867
187,1003696.0006713867
188,1003696.0006713867
189,1003696.0006713867
190,1003696.0006713867
191,1003696.0006713867
192,1003696.0006713867
193,1003696.0006713867
194,1003696.0006713867
195,1003696.0006713867
196,1003696.0006713867
197,1003696.0006713867
198,1003696.0006713867
199,1003696.0006713867
200,1003696.0006713867
201,1003696.0006713867
202,1003696.0006713867
203,1003696.0006713867
204,1003696.0006713867
205,1003696.0006713867
206,1003696.0006713867
207,1003696.0006713867
208,1003696.0006713867
209,1003696.0006713867
210,1003696.0006713867
211,1003696.0006713867
212,1003696.0006713867
213,1003696.0006713867
214,1003696.0006713867
215,1003696.0006713867
216,1003696.0006713867
217,1003696.0006713867
218,1003696.0006713867
219,1003696.0006713867
220,1003696.0006713867
221,1003696.0006713867
222,1003696.0006713867
223,1003696.0006713867
224,1003696.0006713867
225,1003696.0006713867
226,1003696.0006713867
227,1003696.0006713867
228,1003696.0006713867
229,1003696.0006713867
230,1003696.0006713867
231,1003696.0006713867
232,1003696.0006713867
233,1003696.0006713867
234,1003696.0006713867
235,1003696.0006713867
236,1003696.0006713867
237,1003696.0006713867
238,1003696.0006713867
239,1003696.0006713867
240,1003696.0006713867
241,1003696.0006713867
242,1003696.0006713867
243,1003696.0006713867
244,1003696.0006713867
245,1003696.0006713867
246,1003696.0006713867
247,1003696.0006713867
248,1003696.0006713867
249,1003696.0006713867
250,1003696.0006713867
251,1003696.0006713867
252,1003696.0006713867
253,1003696.0006713867
254,1003696.0006713867
255,1003696.0006713867
256,1003696.0006713867
257,1003747.0006942749
258,1003831.000328064
259,1003894.0006256104
260,1003790.0005340576
261,1003545.0006484985
262,1003275.0001907349
263,1003296.0006713867
264,1003320.0012207031
265,1003395.0010299683
266,1003403.0004501343
267,1003292.0007705688
268,1003434.0005874634
269,1003409.0005874634
270,1003427.000617981
271,1003601.0005950928
272,1003493.0011749268
273,1003983.0009460449
274,1004193.0000305176
275,1004263.0016326904
276,1004503.0010223389
277,1004566.0007476807
278,1004696.0018157959
279,1004607.9998016357
280,1003983.9992523193
281,1004009.9998474121
282,1004309.9998474121
283,1003452.0011901855
284,1003572.0001220703
285,1004382.0014953613
286,1004790.0001525879
287,1004943.0019378662
288,1004502.99949646
289,1004403.9993286133
290,1004560.0006103516
291,1005093.0004119873
292,1006436.999130249
293,1006482.0030212402
294,1006274.0013122559
295,1006155.0018310547
296,1005920.9999084473
297,1004590.9984588623
298,1003852.9987335205
299,1004940.9976959229
300,1005277.0023345947
301,1004662.0025634766
302,1003626.000213623
303,1004393.0004119873
304,1005460.9996795654
305,1004720.000076294
306,1011748.0007171631
307,1009677.9991149902
308,1007965.9996032715
309,1007439.0037536621
310,1009491.0026550293
311,1010120.0008392334
312,1009720.0008392334
313,1011445.0031280518
314,1012439.0018463135
315,1012859.0000152588
316,1011675.0034332275
317,1008045.0004577637
318,1007093.0000305176
319,1006339.0026092529
320,1004394.9993133545
321,1004604.0019989014
322,1007224.0009307861
323,1006423.0014801025
324,1007279.0012359619
325,1006558.0020904541
326,1005652.0008087158
327,1005152.0008087158
328,1005892.0017242432
329,1004989.001083374
330,1004085.001373291
331,1004838.0014419556
332,1003788.0014419556
333,1003920.0010299683
334,1002928.0012130737
335,1003993.000793457
336,1003921.0014343262
337,1004143.0013656616
338,1004375.001335144
339,1004387.0012283325
340,1004387.0012283325
341,1004387.0012283325
342,1004417.0011520386
